Company,Country,Sales,Profits,Assets($B),Market Value,Sector,LogAssets
ICBC,China,134.8,37.80,2813.5,237.3,Finance,3.4492469
JPMorgan Chase,United States,108.2,21.30,2359.1,191.4,Finance,3.3727464
Exxon Mobil,United States,420.7,44.90,333.8,400.4,Oil and Gas,2.5234863
HSBC Holdings,United Kingdom,104.9,14.30,2684.1,201.3,Finance,3.4287987
Royal Dutch Shell,Netherlands,467.2,26.60,360.3,213.1,Oil and Gas,2.5566643
PetroChina,China,308.9,18.30,347.8,261.2,Oil and Gas,2.5413296
Bank of China,China,98.1,22.10,2033.8,131.7,Finance,3.3083082
Wells Fargo,United States,91.2,18.90,1423,201.3,Finance,3.1532049
Chevron,United States,222.6,26.20,233,232.5,Oil and Gas,2.3673559
Apple,United States,164.7,41.70,196.1,416.6,Computer Hardware,2.2924776
Gazprom,Russia,144,40.60,339.3,111.4,Oil and Gas,2.5305839
BP,United Kingdom,370.9,11.60,301,130.4,Oil and Gas,2.4785665
Citigroup,United States,90.7,7.50,1864.7,143.6,Finance,3.270609
Petrobras,Brazil,144.1,11.00,331.6,120.7,Oil and Gas,2.5206145
BNP Paribas,France,126.2,8.60,2504.2,71.3,Finance,3.398669
Total,France,240.5,14.10,224.1,115.5,Oil and Gas,2.3504419
Sinopec-China Petroleum,China,411.7,10.10,200,106.9,Oil and Gas,2.30103
Mitsubishi UFJ Financial,Japan,59,11.90,2653.1,85.7,Finance,3.4237536
Bank of America,United States,100.1,4.20,2210,135.5,Finance,3.3443923
ENI,Italy,163.7,10.00,185.2,86.3,Oil and Gas,2.267641
Statoil,Norway,126.8,12.40,140.2,78.1,Oil and Gas,2.146748
Commonwealth Bank,Australia,47.8,7.30,735.2,117.5,Finance,2.8664055
Ita̼ Unibanco Holding,Brazil,70.5,6.20,453.6,82,Finance,2.656673
Banco Santander,Spain,108.8,2.90,1647.8,82.1,Finance,3.2169045
Westpac Banking Group,Australia,43.9,6.20,699.6,98.9,Finance,2.8448498
Royal Bank of Canada,Canada,38.3,7.70,838.5,87.2,Finance,2.9235031
Sumitomo Mitsui Financial,Japan,47.3,6.30,1733.2,57.6,Finance,3.2388487
Bank of Communications,China,43.5,9.40,846.4,56.7,Finance,2.9275757
National Australia Bank,Australia,49.2,4.20,791.3,76.3,Finance,2.8983412
Rosneft,Russia,68.8,11.20,126.3,73.2,Oil and Gas,2.1014034
Lukoil,Russia,116.3,11.00,99,55.4,Oil and Gas,1.9956352
ANZ,Australia,37.5,5.90,666.9,81.2,Finance,2.8240607
Banco do Brasil,Brazil,69,6.00,552.2,37.9,Finance,2.7420964
TD Bank Group,Canada,30.6,6.70,819.4,76.9,Finance,2.913496
ConocoPhillips,United States,58.4,8.40,117.1,72.1,Oil and Gas,2.0685569
Mizuho Financial,Japan,32.8,5.90,2005,53.7,Finance,3.3021144
Bank of Nova Scotia,Canada,27.6,6.40,737.2,70.6,Finance,2.8675853
BBVA-Banco Bilbao Vizcaya,Spain,52.1,2.20,840.8,54.7,Finance,2.9246927
Standard Chartered,United Kingdom,26.9,4.90,636.5,64.4,Finance,2.8037984
China Merchants Bank,China,28.4,7.30,547,44.1,Finance,2.7379873
Tesco,United Kingdom,102.8,4.50,81.1,46.9,Food Retail,1.9090209
Cnooc,Hong Kong-China,39.2,10.10,73.2,84.3,Oil and Gas,1.8645111
