Year,Persons (millions),Total,Long guns,false information,Handguns,explosives,Other,articles,incendiary
1977,508.8,2034,64,44,1730,810,240,NA,5
1978,579.7,2058,67,64,1827,896,164,NA,3
1979,592.5,2161,55,47,1962,1060,144,NA,3
1980,585,2022,36,32,1878,1031,108,NA,8
1981,598.5,2255,44,49,2124,1187,87,NA,11
1982,630.2,2676,57,27,2559,1314,60,NA,1
1983,709.1,2784,67,34,2634,1282,83,NA,4
1984,775.6,2957,100,27,2766,1285,91,NA,6
1985,992.9,2987,90,42,2823,1310,74,NA,12
1986,1055.3,3241,146,89,2981,1415,114,NA,11
1987,1095.6,3252,99,81,3012,1581,141,NA,14
1988,1054.9,2773,74,222,2591,1493,108,NA,11
1989,1113.3,2879,92,83,2397,1436,390,NA,26
1990,1145.1,2853,59,18,2490,1336,304,NA,15
1991,1015.1,1919,47,28,1597,893,275,NA,94
1992,1110.8,2608,105,13,2503,1282,NA,"2,341",167
1993,1150,2798,91,31,2707,1354,NA,"3,867",251
1994,1261.3,2994,134,35,2860,1433,NA,"6,051",505
1995,1263,2390,160,68,2230,1194,NA,"4,414",631
1996,1496.9,2155,156,131,1999,999,NA,NA,NA
1997,1659.7,2067,162,72,1905,924,NA,NA,NA
1998,1666.5,1515,114,86,1401,660,NA,NA,NA
1999,1767,1552,131,58,1421,633,NA,NA,NA
2000,1812,1937,294,61,1643,600,NA,NA,NA
