Efficiency (hiway mpg),MSRP
44,26750
48,28790
43,27150
40,31250
40,30900
36,25490
40,25795
40,26500
41,19455
36,28600
39,23455
36,28600
36,28345
38,17500
34,39100
34,9990
35,21750
42,27840
36,18100
36,17600
34,19390
35,21650
31,18200
34,19390
36,23955
36,23955
28,46325
31,13300
32,18199
33,18100
35,27950
35,13900
35,24900
42,28065
33,23195
34,18390
43,25995
35,17770
36,17395
36,24800
36,27850
33,22995
33,19995
42,23885
34,17410
34,25105
40,17300
37,14560
40,20445
40,20195
37,19400
35,14515
34,25105
35,15635
33,29305
35,15900
33,29305
34,15345
36,16395
36,16095
31,33080
37,22700
31,33080
31,30115
35,27050
37,17500
38,16400
40,16500
38,20605
40,15795
38,17500
35,15365
35,15365
37,21300
37,19500
