Team Abbv,Team,League,Wins,Runs Scored,Avg Home Attendance
ARI,Arizona,NL,81,685,26355
ATL,Atlanta,NL,96,688,31465
BAL,Baltimore,AL,85,745,29105
BOS,Boston,AL,97,853,34979
CHC,Chicago Cubs,NL,66,602,32625
CHW,Chicago Sox,AL,63,598,22105
CIN,Cincinnati,NL,90,698,31288
CLE,Cleveland,AL,92,745,19661
COL,Colorado,NL,74,706,34491
DET,Detroit,AL,93,796,38066
HOU,Houston,AL,51,610,20393
KCR,Kansas City,AL,86,648,21614
LAA,LA Angels,AL,78,733,37277
LAD,LA Dodgers,NL,92,649,46216
MIA,Miami,NL,62,513,19584
MIL,Milwaukee,NL,74,640,31248
MIN,Minnesota,AL,66,614,30588
NYM,NY Mets,NL,74,619,26695
NYY,NY Yankees,AL,85,650,40488
OAK,Oakland,AL,96,767,22337
PHI,Philadelphia,NL,73,610,37190
PIT,Pittsburgh,NL,94,634,28210
SDP,San Diego,NL,76,618,26749
SFG,San Francisco,NL,76,629,41584
SEA,Seattle,AL,71,624,21747
STL,St. Louis,NL,97,783,41602
TBR,Tampa Bay,AL,92,700,18645
TEX,Texas,AL,91,730,38759
TOR,Toronto,AL,74,712,31315
WSN,Washington,NL,81,656,32745
