Item,Servingsize,Calories,Fatcal,Fat,Sat,Transfat(g),Chol(mg),Sodium(mg),Carb(g),Fiber(g),Sugar(g),Protein
Hamburger,109,260,90,10,4,0,35,490,28,1,6,13
Cheeseburger,121,300,130,14,6,0,45,710,28,1,6,16
Double_Hamburger,146,360,160,18,8,0,70,520,28,1,6,22
Double_Cheeseburger,171,450,230,26,12,1,95,960,29,1,6,26
Buck_Double,158,410,200,22,10,0.5,85,740,28,1,6,24
Rodeo_Cheeseburger,128,350,160,17,7,0,45,600,37,2,9,16
Bacon_Cheeseburger,126,330,150,16,7,0,55,810,28,1,6,18
Double-Bacon_Cheeseburger,181,510,270,30,14,1,105,1150,29,1,7,31
BK__Double_Stacker,173,560,320,36,15,1,110,1040,29,1,7,30
BK__Triple_Stacker,227,740,450,50,22,1.5,165,1390,30,1,7,43
BK__Quad_Stacker,282,920,570,63,28,2,220,1730,31,1,8,58
Triple Whopper with Cheese,NA,1230,NA,82,32,2,225,1550,53,NA,11,71
Whopper,NA,670,NA,40,11,1,75,980,51,NA,11,28
Whopper with Cheese,NA,710,NA,43,14,1,85,1190,52,NA,11,30
Double Whopper,NA,900,NA,57,19,1.5,140,980,51,NA,11,47
Double Whopper with Cheese,NA,950,NA,61,22,1.5,150,1200,52,NA,11,50
Triple Whopper,NA,1140,NA,75,27,2,205,1110,51,NA,11,67
A1__Steakhouse_XT»,316,910,540,60,23,1,135,1790,42,4,10,40
Steakhouse_XT»,284,710,410,45,17,0,115,1200,40,2,9,35
TENDERGRILL_ChickenSandwich_on_ciabata,250,470,170,18,3.5,0,85,1100,40,2,7,37
TENDERGRILL_ChickenSandwich w/o_Mayo,236,360,60,7,1.5,0,75,1010,40,2,7,37
TENDERCRISP__Chicken_Sandwich,284,800,410,46,8,0.5,70,1640,68,3,9,32
TENDERCRISP__Chicken_Sandwichw/oMayo,256,590,200,22,4,0,55,1450,68,3,9,31
Original_Chicken_Sandwich,218,630,350,39,7,0.5,65,1390,46,3,4,24
Original_Chicken_Sandwichw/oMayo,190,420,140,16,3.5,0,45,1210,46,3,4,24
AmericanOriginalChicken_Sandwich,271,730,420,47,12,1,85,1830,49,3,5,29
OriginalChickenClubSandwich,256,690,390,43,9,0.5,75,1590,48,3,5,29
ItalianOriginalChickenSandiwch,246,520,200,22,7,0,65,1670,50,3,5,32
SpicyCHICK'NCRISP_Sandwich,136,460,270,30,5,0,30,810,34,2,4,13
SpicyCHICK'NCRISP_Sandwichw/oMayo,114,300,110,12,2.5,0,20,670,35,2,4,12
CHICKENTENDERS_(4pc),62,180,100,11,2,0,30,310,13,0,0,9
CHICKENTENDERS_(5pc),78,230,120,13,2.5,0,35,380,16,0,0,11
CHICKENTENDERS_(6pc),93,270,140,16,3,0,45,460,19,0,0,14
CHICKENTENDERS_(8pc),123,360,190,21,4,0,60,610,25,0,0,18
CHICKENTENDERS_Sandwich,142,440,250,28,4.5,0,35,610,35,1,4,12
KRAFT_MacaroniandCheese,113,160,45,5,1.5,0,10,340,22,1,5,7
Tacos(2),174,330,200,23,8,0.5,30,750,18,5,4,14
SpicyChickenBKWrapper»,135,360,170,19,5,0,30,1010,32,2,0,14
BK_CHICKENFRIES(6pc),85,250,130,15,2.5,0,30,820,16,1,1,14
BK_CHICKENFRIES(9pc),127,380,200,22,4,0,40,1220,24,2,1,21
BK_CHICKENFRIES(12pc),170,500,260,29,5,0,55,1630,32,3,1,28
CountryPorkSandwich,301,1040,430,48,15,0.5,85,3310,112,3,9,39
BKBIGFISH_Sandwich,248,640,280,31,5,0.5,45,1560,67,3,9,23
BKBIGFISH_Sandwich w/oTartarSauce,219,460,120,13,2.5,0,30,1320,64,3,6,23
BKVEGGIE_Burger,209,410,150,16,2.5,0,5,1030,44,7,8,22
BKVEGGIE_Burger w/Cheese,221,450,180,20,5,0,20,1250,44,7,8,24
BKVEGGIE_Burgerw/oMayo,198,320,70,7,1,0,0,960,43,7,8,22
BK_FreshAppleFries,57,25,0,0,0,0,0,0,6,1,5,0
Motts'_HarvestPlusApplesauce,108,50,0,0,0,0,0,0,13,1,11,0
OnionRingsvalue,43,150,70,8,1.5,0,0,230,17,1,2,2
OnionRingssmall,91,310,150,17,3,0,0,490,36,3,4,4
OnionRingsmedium,117,400,190,21,3.5,0,0,630,47,4,5,6
OnionRingslarge,142,490,230,26,4.5,0,0,770,57,5,7,7
FrenchFriesvalue(Salted),74,220,100,11,2.5,0,0,340,28,2,0,2
FrenchFriessmall(Salted),116,340,160,17,3.5,0,0,530,44,4,0,4
FrenchFriesmedium(Salted),148,440,200,22,4.5,0,0,670,56,5,0,5
FrenchFries large(salted),182,540,240,27,6,0,0,830,69,6,0,6
MozzarellaSticks(4pc),88,280,140,15,5,0,35,650,24,2,2,11
