Year,CO2,Global Avg Temp,DJIA
1970,325.68,14.05,753.1180709
1971,326.32,14.08,884.8719368
1972,327.45,14.1,950.1169721
1973,329.68,14.04,924.0696825
1974,330.18,13.95,759.1293676
1975,331.08,13.87,802.8885771
1976,332.05,13.95,975.2009881
1977,333.78,14.25,894.3286111
1978,335.41,14.2,821.1335714
1979,336.78,14.25,844.3960079
1980,338.68,14.29,891.1242293
1981,340.1,14.18,932.9466008
1982,341.44,14.12,884.5283399
1983,343.03,14.41,1190.780395
1984,344.58,14.02,1178.55004
1985,346.04,14.09,1327.994206
1986,347.39,14.11,1793.104032
1987,349.16,14.29,2277.533636
1988,351.56,14.2,2061.475889
1989,353.07,14.21,2510.335754
1990,354.35,14.44,2679.45253
1991,355.57,14.3,2929.036206
1992,356.38,14.06,3284.077559
1993,357.07,14.08,3524.917708
1994,358.82,14.44,3794.221905
1995,360.8,14.45,4494.27623
1996,362.59,14.3,5739.626299
1997,363.71,14.56,7447.032846
1998,366.65,14.41,8630.740198
1999,368.33,14.37,10481.21234
2000,369.52,14.25,10729.33726
2001,371.13,14.68,10208.62766
2002,373.22,14.61,9213.416587
2003,375.77,14.58,9006.50381
2004,377.49,14.75,10315.49238
2005,379.8,14.71,10546.19579
2006,381.9,14.63,11409.51849
2007,383.76,14.51,13178.26259
2008,385.59,14.65,11243.75229
2009,387.37,14.63,8886.089881
2010,389.85,14.74,10668.59409
2011,391.63,14.45,11958.35282
2012,393.82,14.66,12964.78036
2013,396.48,14.78,13764.0827
