Year,Month,Month number,Ontime%,Delayed%,Cancelled%
1994,January,1,70.47,24.28,4.86
1994,February,2,73.83,21.42,4.37
1994,March,3,82.56,16.04,1.2
1994,April,4,83.03,16.19,0.59
1994,May,5,87.63,11.84,0.38
1994,June,6,81.77,17.33,0.63
1994,July,7,79.45,19.4,0.86
1994,August,8,83.75,15.46,0.54
1994,September,9,87.95,11.52,0.41
1994,October,10,85.93,13.43,0.49
1994,November,11,80.75,18.43,0.62
1994,December,12,79.25,19.56,0.97
1995,January,1,73.83,22.82,3.07
1995,February,2,78.91,18.53,2.38
1995,March,3,79.3,18.95,1.59
1995,April,4,81.3,17.2,1.32
1995,May,5,80.68,17.71,1.43
1995,June,6,75.94,22.53,1.32
1995,July,7,80.08,18.39,1.29
1995,August,8,79.85,18.27,1.66
1995,September,9,85.58,13.15,1.16
1995,October,10,82.09,16.66,1.09
1995,November,11,77.85,20.49,1.47
1995,December,12,67.66,29.21,2.87
1996,January,1,62.67,30.28,6.62
1996,February,2,71.9,24.3,3.47
1996,March,3,75.94,21.87,1.98
1996,April,4,80.18,18.38,1.27
1996,May,5,78.92,19.29,1.57
1996,June,6,74.67,23.24,1.81
1996,July,7,75.29,22.42,2.04
1996,August,8,74.69,23.34,1.72
1996,September,9,78.69,19.34,1.76
1996,October,10,77.19,20.82,1.74
1996,November,11,77.91,19.65,2.19
1996,December,12,66.63,30.36,2.7
1997,January,1,68.41,27.32,3.95
1997,February,2,75.21,22.51,2.07
1997,March,3,78.1,19.88,1.81
1997,April,4,79.85,18.38,1.58
1997,May,5,83.16,15.54,1.13
1997,June,6,76.14,22.04,1.51
1997,July,7,77.5,20.54,1.69
1997,August,8,78.56,19.73,1.48
1997,September,9,85.03,13.37,1.43
1997,October,10,81.55,16.68,1.64
1997,November,11,78.22,20.02,1.55
1997,December,12,73.54,24.38,1.82
1998,January,1,75.05,21.59,3.07
1998,February,2,75.39,21.82,2.54
1998,March,3,75.85,21.76,2.14
1998,April,4,79.12,19.09,1.57
1998,May,5,77.48,20.21,2.09
1998,June,6,70.42,26.3,2.88
1998,July,7,78.86,18.89,2.02
1998,August,8,77.03,19.56,3.16
1998,September,9,78.94,13.51,7.41
1998,October,10,81.75,16.35,1.71
1998,November,11,83.29,15.09,1.47
1998,December,12,73.22,24.27,2.18
1999,January,1,67.66,26.04,5.85
1999,February,2,78.91,17.43,3.48
1999,March,3,78.09,19.03,2.66
1999,April,4,75.73,22.05,1.98
1999,May,5,76.19,21,2.57
1999,June,6,70.88,26.02,2.75
1999,July,7,71.07,25.44,3.14
1999,August,8,76.11,21.21,2.44
1999,September,9,79.35,17.17,3.31
1999,October,10,80.06,17.77,2.04
1999,November,11,81.41,16.74,1.68
1999,December,12,78,20.07,1.74
2000,January,1,73.75,20.77,5.21
2000,February,2,74.76,21.58,3.42
2000,March,3,76.99,20.68,2.12
2000,April,4,75.37,21.9,2.51
2000,May,5,74.25,22.01,3.45
2000,June,6,66.34,29.37,3.95
2000,July,7,70.31,26.21,3.21
2000,August,8,69.96,26.71,3.05
2000,September,9,78.1,19.45,2.24
2000,October,10,76.07,21.6,2.13
2000,November,11,72.82,24.67,2.34
2000,December,12,62.75,30.99,5.95
2001,January,1,75.42,20.64,3.75
2001,February,2,72.73,23.31,3.65
2001,March,3,75.22,21.24,3.37
2001,April,4,79.29,18.31,2.22
2001,May,5,81.47,16.59,1.78
2001,June,6,75.18,21.52,2.98
2001,July,7,78.12,19.56,2.1
2001,August,8,76.18,21.08,2.45
2001,September,9,67.66,11.82,20.24
2001,October,10,84.78,13.51,1.54
2001,November,11,84.71,14.06,1.08
2001,December,12,80.22,18.63,1.01
2002,January,1,81.02,17.19,1.67
2002,February,2,84.69,14.12,1.08
2002,March,3,78.59,19.9,1.35
2002,April,4,82.58,16.23,1.03
2002,May,5,82.76,16.13,0.99
2002,June,6,78.64,19.42,1.71
2002,July,7,79.66,18.75,1.34
2002,August,8,82.62,16.05,1.14
2002,September,9,87.95,11.07,0.86
2002,October,10,84.18,14.7,1.02
2002,November,11,85.21,13.8,0.89
2002,December,12,78.34,19.71,1.72
2003,January,1,83.32,15.02,1.51
2003,February,2,76.54,19.22,4
2003,March,3,82.58,15.55,1.71
2003,April,4,86.85,11.84,1.2
2003,May,5,84.93,14.13,0.81
2003,June,6,82.36,16.67,0.78
