Manufacturer,Model,Engine Displ(l),Comb MPG
Audi,A4 quattro,2,26
LEXUS,IS 250,2.5,24
Mercedes-Benz,CL 63,5.5,18
Chrysler,Mini Cooper Paceman,1.6,31
BMW,ActiveHybrid 5,3,26
Nissan,SENTRA,1.8,30
Ford,TAURUS AWD FFV,3.5,21
Porsche,Panamera GTS,4.8,19
Subaru,IMPREZA WAGON AWD,2,28
GMC,TERRAIN FWD,2.4,26
Jeep,Cherokee FWD,2.4,25
BMW,X3 xDrive35i,3,21
Chevrolet,EQUINOX AWD,3.6,19
Volvo,XC60 AWD,3.2,20
Chevrolet,C10 TAHOE 2WD,5.3,17
Porsche,Boxster S,3.4,23
BMW,650i Coupe,4.4,20
Chevrolet,SONIC,1.4,31
Volkswagen,BEETLE,2,26
Chevrolet,SONIC 5,1.4,33
Kia,OPTIMA,2.4,27
Mercedes-Benz,E 350,3.5,24
Toyota,AVALON HYBRID,2.5,40
Chevrolet,IMPALA,2.4,29
Chrysler,Charger AWD,3.6,21
Porsche,Panamera Turbo Executive,4.8,18
Volkswagen,JETTA SPORTWAGEN,2,34
Mercedes-Benz,E 350 4Matic (Wagon),3.5,21
Nissan,TITAN 4WD,5.6,14
GMC,H1500 SAVANA AWD PASS,5.3,14
Nissan,QX60 AWD,3.5,21
Ford,MKT AWD,3.5,18
Nissan,QX60 AWD,2.5,26
Jeep,Grand Cherokee SRT8,6.4,15
Toyota,GX 460,4.6,17
