Year,GDP
1950,300.2
1951,347.3
1952,367.7
1953,389.7
1954,391.1
1955,426.2
1956,450.1
1957,474.9
1958,482
1959,522.5
1960,543.3
1961,563.3
1962,605.1
1963,638.6
1964,685.8
1965,743.7
1966,815
1967,861.7
1968,942.5
1969,1019.9
1970,1075.9
1971,1167.8
1972,1282.4
1973,1428.5
1974,1548.8
1975,1688.9
1976,1877.6
1977,2086
1978,2356.6
1979,2632.1
1980,2862.5
1981,3210.9
1982,3345
1983,3638.1
1984,4040.7
1985,4346.7
1986,4590.1
1987,4870.2
1988,5252.6
1989,5657.7
1990,5979.6
1991,6174
1992,6539.3
1993,6878.7
1994,7308.7
1995,7664
1996,8100.2
1997,8608.5
1998,9089.1
1999,9665.7
2000,10289.7
2001,10625.3
2002,10980.2
2003,11512.2
2004,12277
2005,13095.4
2006,13857.9
2007,14480.3
2008,14720.3
2009,14417.9
2010,14958.3
2011,15533.8
2012,16244.6
