Date,Weekly Price($),Year
1/5/09,1.737,2009
1/12/09,1.835,2009
1/19/09,1.898,2009
1/26/09,1.89,2009
2/2/09,1.944,2009
2/9/09,1.978,2009
2/16/09,2.016,2009
2/23/09,1.963,2009
3/2/09,1.988,2009
3/9/09,1.993,2009
3/16/09,1.964,2009
3/23/09,2.014,2009
3/30/09,2.097,2009
4/6/09,2.09,2009
4/13/09,2.104,2009
4/20/09,2.112,2009
4/27/09,2.102,2009
5/4/09,2.129,2009
5/11/09,2.29,2009
5/18/09,2.36,2009
5/25/09,2.485,2009
6/1/09,2.572,2009
6/8/09,2.673,2009
6/15/09,2.722,2009
6/22/09,2.743,2009
6/29/09,2.695,2009
7/6/09,2.666,2009
7/13/09,2.584,2009
7/20/09,2.519,2009
7/27/09,2.557,2009
8/3/09,2.61,2009
8/10/09,2.7,2009
8/17/09,2.691,2009
8/24/09,2.682,2009
8/31/09,2.667,2009
9/7/09,2.642,2009
9/14/09,2.632,2009
9/21/09,2.607,2009
9/28/09,2.554,2009
10/5/09,2.523,2009
10/12/09,2.543,2009
10/19/09,2.626,2009
10/26/09,2.727,2009
11/2/09,2.746,2009
11/9/09,2.72,2009
11/16/09,2.684,2009
11/23/09,2.694,2009
11/30/09,2.684,2009
12/7/09,2.689,2009
12/14/09,2.655,2009
12/21/09,2.645,2009
12/28/09,2.662,2009
1/4/10,2.718,2010
1/11/10,2.804,2010
1/18/10,2.793,2010
1/25/10,2.76,2010
2/1/10,2.717,2010
2/8/10,2.707,2010
2/15/10,2.664,2010
2/22/10,2.709,2010
3/1/10,2.756,2010
3/8/10,2.804,2010
3/15/10,2.841,2010
3/22/10,2.87,2010
3/29/10,2.851,2010
4/5/10,2.877,2010
4/12/10,2.909,2010
4/19/10,2.911,2010
4/26/10,2.901,2010
5/3/10,2.95,2010
5/10/10,2.958,2010
5/17/10,2.918,2010
5/24/10,2.842,2010
5/31/10,2.784,2010
6/7/10,2.78,2010
6/14/10,2.756,2010
6/21/10,2.795,2010
6/28/10,2.809,2010
7/5/10,2.779,2010
7/12/10,2.771,2010
7/19/10,2.775,2010
7/26/10,2.801,2010
8/2/10,2.788,2010
8/9/10,2.835,2010
8/16/10,2.798,2010
8/23/10,2.759,2010
8/30/10,2.736,2010
9/6/10,2.735,2010
9/13/10,2.772,2010
9/20/10,2.775,2010
9/27/10,2.747,2010
10/4/10,2.784,2010
10/11/10,2.871,2010
10/18/10,2.887,2010
10/25/10,2.87,2010
11/1/10,2.861,2010
11/8/10,2.917,2010
11/15/10,2.944,2010
11/22/10,2.931,2010
11/29/10,2.912,2010
12/6/10,3.013,2010
12/13/10,3.035,2010
12/20/10,3.037,2010
12/27/10,3.106,2010
1/3/11,3.124,2011
1/10/11,3.142,2011
1/17/11,3.158,2011
1/24/11,3.163,2011
1/31/11,3.155,2011
2/7/11,3.185,2011
2/14/11,3.193,2011
2/21/11,3.243,2011
2/28/11,3.435,2011
3/7/11,3.572,2011
3/14/11,3.621,2011
3/21/11,3.617,2011
3/28/11,3.65,2011
4/4/11,3.737,2011
4/11/11,3.843,2011
4/18/11,3.896,2011
4/25/11,3.932,2011
5/2/11,4.014,2011
5/9/11,4.018,2011
5/16/11,4.014,2011
5/23/11,3.904,2011
5/30/11,3.848,2011
6/6/11,3.833,2011
6/13/11,3.767,2011
6/20/11,3.708,2011
6/27/11,3.631,2011
7/4/11,3.634,2011
7/11/11,3.695,2011
7/18/11,3.736,2011
7/25/11,3.754,2011
8/1/11,3.766,2011
8/8/11,3.73,2011
8/15/11,3.662,2011
8/22/11,3.638,2011
8/29/11,3.682,2011
9/5/11,3.727,2011
9/12/11,3.715,2011
9/19/11,3.657,2011
9/26/11,3.568,2011
10/3/11,3.492,2011
10/10/11,3.476,2011
10/17/11,3.533,2011
10/24/11,3.52,2011
10/31/11,3.511,2011
11/7/11,3.482,2011
11/14/11,3.495,2011
11/21/11,3.427,2011
11/28/11,3.368,2011
12/5/11,3.35,2011
12/12/11,3.346,2011
12/19/11,3.29,2011
12/26/11,3.317,2011
1/2/12,3.358,2012
1/9/12,3.441,2012
1/16/12,3.451,2012
1/23/12,3.45,2012
1/30/12,3.5,2012
2/6/12,3.542,2012
2/13/12,3.584,2012
2/20/12,3.652,2012
2/27/12,3.78,2012
3/5/12,3.849,2012
3/12/12,3.884,2012
3/19/12,3.923,2012
3/26/12,3.973,2012
4/2/12,3.996,2012
4/9/12,3.997,2012
4/16/12,3.98,2012
4/23/12,3.929,2012
4/30/12,3.889,2012
5/7/12,3.849,2012
5/14/12,3.814,2012
5/21/12,3.773,2012
5/28/12,3.728,2012
6/4/12,3.671,2012
6/11/12,3.629,2012
6/18/12,3.589,2012
6/25/12,3.494,2012
7/2/12,3.415,2012
7/9/12,3.469,2012
7/16/12,3.485,2012
7/23/12,3.554,2012
7/30/12,3.568,2012
8/6/12,3.702,2012
8/13/12,3.779,2012
8/20/12,3.803,2012
8/27/12,3.837,2012
9/3/12,3.903,2012
9/10/12,3.907,2012
9/17/12,3.939,2012
9/24/12,3.889,2012
10/1/12,3.866,2012
10/8/12,3.914,2012
10/15/12,3.886,2012
10/22/12,3.756,2012
10/29/12,3.638,2012
11/5/12,3.563,2012
11/12/12,3.518,2012
11/19/12,3.497,2012
11/26/12,3.505,2012
12/3/12,3.463,2012
12/10/12,3.419,2012
12/17/12,3.324,2012
