Player,Average_Drive
Hideki Matsuyama,317.8
Jimmy Walker,316.2
Jason Kokrak,314.8
Max Homa,314.3
Gary Woodland,312.3
Ryo Ishikawa,310.7
Brooks Koepka,309
Robert Garrigus,307.3
Jonas Blixt,306.3
Kyle Stanley,306.3
Carl Pettersson,306.2
Jim Herman,305
Sean O'Hair,304.8
Brendan Steele,304.6
Nick Watney,304.6
Jhonattan Vegas,303.8
Geoff Ogilvy,303.4
Vijay Singh,303.3
Charlie Beljan,303.1
Josh Teater,303.1
John Merrick,302.6
Lucas Glover,302.2
Morgan Hoffmann,301.6
Davis Love III,301.6
Andres Gonzales,301.4
Charles Howell III,301.4
Patrick Reed,299.3
Matt Jones,299.2
Aaron Baddeley,298.8
Charley Hoffman,298.5
Chris Kirk,298.1
Kevin Chappell,297.9
Will MacKenzie,297
Ryan Palmer,296.7
Troy Matteson,296.6
Billy Horschel,295.8
Edward Loar,295.8
Jamie Lovemark,295.8
Kevin Stadler,295.7
Derek Ernst,295.5
Brian Stuard,295.5
Chesson Hadley,295
Bryce Molder,294.9
Scott Piercy,294.9
Martin Laird,294.8
John Peterson,294.5
Harris English,294.3
Tommy Gainey,294.3
Rory Sabbatini,294.2
Andres Romero,294.1
Tyrone Van Aswegen,294.1
Scott Stallings,293.7
Ben Martin,293.6
Jeff Overton,293.5
Alex Aragon,293.2
John Senden,293.1
Freddie Jacobson,292.9
Kyle Reifers,292.5
Chez Reavie,292.4
Ryan Moore,292.3
Charlie Wi,292.3
J.J. Henry,292.1
Brian Harman,291.9
Ken Duke,291.5
George McNeill,291.5
Luke Guthrie,291.2
Andrew Svoboda,291.1
Scott Brown,290.9
Kevin Tway,290.9
Michael Putnam,290.8
Chad Campbell,290.4
David Duval,290.3
Seung-Yul Noh,290.2
Briny Baird,289.3
Daniel Summerhays,289.3
James Hahn,289
Justin Hicks,288.8
Webb Simpson,288.7
Trevor Immelman,288.5
Stewart Cink,288.3
Hudson Swafford,288.3
Russell Henley,288.2
Martin Flores,288.1
Marc Leishman,288
Will Claxton,287.9
Bud Cauley,287.6
James Driscoll,287.6
David Lingmerth,287.4
Cameron Tringale,287.4
Camilo Villegas,287.4
Pat Perez,287
Brendon de Jonge,286.9
John Huh,286.9
Boo Weekley,286.8
Scott Gardiner,286.5
John Rollins,286.5
Brice Garnett,286.2
Jonathan Byrd,285.6
Blake Adams,285.5
Ricky Barnes,285.3
Steven Bowditch,285.2
Billy Hurley III,284.9
Richard Lee,284.8
Ben Crane,284.3
Retief Goosen,283.9
Zach Johnson,283.9
Stuart Appleby,283.8
Danny Lee,283.8
Johnson Wagner,283.7
"Ted Potter, Jr.",283.5
Y.E. Yang,283.5
Russell Knox,283.3
Brian Davis,283
Spencer Levin,282.9
Robert Allenby,282.8
Erik Compton,282.6
Ben Curtis,282.4
Jeff Maggert,282.3
Scott Langley,281.8
Brendon Todd,281.8
Kevin Kisner,281.5
Woody Austin,281.3
David Toms,281.3
Jason Bohn,280.4
Stephen Ames,280.3
Wes Roach,280.2
Harrison Frazar,279.8
Graham DeLaet,279.3
Robert Karlsson,279.2
Chris Stroud,278.8
Mark Wilson,278.8
Matt Every,278.4
David Hearn,278.4
Nicholas Thompson,278.4
Cameron Beckman,277.8
Greg Chalmers,277.5
William McGirt,277.4
Tim Wilkinson,277.3
Joe Durant,275.4
Chad Collins,275.1
Heath Slocum,274.4
Jerry Kelly,274
Lee Williams,273.4
Justin Leonard,273.1
Mike Weir,272.4
Kevin Na,272
Tim Clark,271.1
Peter Malnati,271
Darren Clarke,268.1
Bob Estes,267.4
Scott Verplank,265.8
Brian Gay,265.3
Paul Goydos,264.8
D.H. Lee,262.9
Jose Coceres,258.4
