HDI rank,Country,Abbreviation,HDI,Life Expectancy,Mean School yrs 2010,Exp school yrs 2011,GNI/cap2012,GNI rank-HDIrank,NonIncome HDI 2012,Type
175,Afghanistan,AFG,0.374,49.1,3.1,8.1,1000,-3,0.393,Ranked Country
70,Albania,ALB,0.749,77.1,10.4,11.4,7822,21,0.807,Ranked Country
93,Algeria,DZA,0.713,73.4,7.6,13.6,7418,4,0.755,Ranked Country
33,Andorra,AND,0.846,81.1,10.4,11.7,33918,-15,0.839,Ranked Country
148,Angola,AGO,0.508,51.5,4.7,10.2,4812,-35,0.479,Ranked Country
67,Antigua and Barbuda,ATG,0.76,72.8,8.9,13.3,13883,-12,0.776,Ranked Country
45,Argentina,ARG,0.811,76.1,9.3,16.1,15347,7,0.848,Ranked Country
87,Armenia,ARM,0.729,74.4,10.8,12.2,5540,16,0.808,Ranked Country
2,Australia,AUS,0.938,82,12,19.6,34340,15,0.978,Ranked Country
18,Austria,AUT,0.895,81,10.8,15.3,36438,-5,0.908,Ranked Country
82,Azerbaijan,AZE,0.734,70.9,11.2,11.7,8153,5,0.78,Ranked Country
49,Bahamas,BHS,0.794,75.9,8.5,12.6,27401,-21,0.777,Ranked Country
48,Bahrain,BHR,0.796,75.2,9.4,13.4,19154,-3,0.806,Ranked Country
146,Bangladesh,BGD,0.515,69.2,4.8,8.1,1785,9,0.567,Ranked Country
38,Barbados,BRB,0.825,77,9.3,16.3,17308,10,0.859,Ranked Country
50,Belarus,BLR,0.793,70.6,11.5,14.7,13385,11,0.83,Ranked Country
17,Belgium,BEL,0.897,80,10.9,16.4,33429,3,0.917,Ranked Country
96,Belize,BLZ,0.702,76.3,8,12.5,5327,8,0.767,Ranked Country
166,Benin,BEN,0.436,56.5,3.2,9.4,1439,-5,0.459,Ranked Country
140,Bhutan,BTN,0.538,67.6,2.3,12.4,5246,-31,0.516,Ranked Country
108,Bolivia (Plurinational State of),BOL,0.675,66.9,9.2,13.5,4444,7,0.74,Ranked Country
81,Bosnia and Herzegovina,BIH,0.735,75.8,8.3,13.4,7713,13,0.787,Ranked Country
119,Botswana,BWA,0.634,53,8.9,11.8,13102,-55,0.596,Ranked Country
85,Brazil,BRA,0.73,73.8,7.2,14.2,10152,-8,0.755,Ranked Country
30,Brunei Darussalam,BRN,0.855,78.1,8.6,15,45690,-23,0.832,Ranked Country
57,Bulgaria,BGR,0.782,73.6,10.6,14,11474,12,0.826,Ranked Country
