Year,Years since 1970,Price(EIA) in 2014$,Nominal Price(EIA),AE098 Forecast in 2014$,AE099 Forecast in 2014$,CPI
1970,0,17.7512684,2.96,,,38.8
1971,1,18.2275,3.17,,,40.5
1972,2,17.9246667,3.22,,,41.8
1973,3,21.216,4.08,,,44.4
1974,4,59.0113797,12.52,,,49.3
1975,5,60.3014742,13.95,,,53.825
1976,6,55.1548092,13.48,,,56.9333333
1977,7,55.7790556,14.53,,,60.6166667
1978,8,52.0231839,14.57,,,65.2416667
1979,9,68.5341633,21.57,,,72.5833333
1980,10,95.770775,33.86,,,82.3833333
1981,11,95.1109091,37.1,,,90.9333333
1982,12,81.0299435,33.57,,,96.5333333
1983,13,68.5176685,29.31,,,99.5833333
1984,14,64.7313809,28.88,,,103.933333
1985,15,58.4014673,26.99,,,107.6
1986,16,29.5674862,13.93,,,109.691667
1987,17,37.1588958,18.14,,,113.616667
1988,18,28.7778077,14.6,,,118.275
1989,19,33.9219149,18.07,,,123.941667
1990,20,38.5967529,21.73,,,130.658333
1991,21,32.0171733,18.73,,,136.166667
1992,22,30.2049506,18.21,,,140.308333
1993,23,26.000597,16.13,,,144.475
1994,24,24.4015709,15.54,,,148.225
1995,25,26.1858269,17.14,,,152.383333
1996,26,30.5873412,20.62,,,156.858333
1997,27,26.8224034,18.49,27.0563877,,160.525
1998,28,17.2385139,12.07,27.4381357,17.0235737,163.008333
1999,29,24.0695411,17.27,27.9153206,18.4909175,166.583333
2000,30,37.4559036,27.72,28.3925056,20.2803611,172.191667
2001,31,28.9216304,21.99,28.8696906,22.0698048,177.041667
2002,32,30.6535686,23.71,29.3468755,23.8592484,179.866667
2003,33,35.100632,27.73,29.8240605,25.648692,184
2004,34,44.1906346,35.89,30.1819492,27.4381357,188.908333
2005,35,58.2205256,48.89,30.6591342,29.2275793,195.266667
2006,36,68.1657804,59.05,31.0170229,31.0170229,201.558333
2007,37,75.2904766,67.19,31.3749117,31.3749117,207.344167
2008,38,99.7545977,92.57,31.7328004,31.7328004,215.25425
2009,39,63.9416006,59.04,32.0906891,32.0906891,214.5665
2010,40,80.9841132,75.87,32.4485778,32.4485778,218.084833
2011,41,106.235202,102.65,32.8064666,32.8064666,224.935417
2012,42,102.516438,101.09,33.1643553,33.1643553,229.60425
2013,43,100.075951,99.63,33.522244,33.522244,232.945257
2014,44,,,33.8801327,33.8801327,
2015,45,,,34.2380215,34.2380215,
2020,50,,,35.7888726,35.7888726,
