Name,Year,Max Wind Speed(kts),Central Pressure(mb),Category
-----,1851,80,977,1
Great Middle Florida,1851,100,960,3
-----,1852,80,977,1
Great Mobile,1852,100,961,3
-----,1852,70,985,1
Middle Florida,1852,90,969,2
-----,1853,70,965,1
-----,1854,70,985,1
Great Carolina,1854,100,950,3
Matagorda,1854,90,969,2
Middle Gulf Shore,1855,110,950,3
Last Island,1856,130,934,4
Southeastern States,1856,90,969,2
-----,1857,80,961,1
New England,1858,80,976,1
-----,1859,70,985,1
-----,1860,110,950,3
-----,1860,90,969,2
-----,1860,90,969,2
Key West,1861,70,970,1
Equinoctial,1861,70,985,1
Expedition,1861,70,985,1
Sabine River-Lake Calcasieu,1865,90,969,2
-----,1865,90,969,2
-----,1866,90,969,2
-----,1867,70,985,1
Galveston,1867,90,969,2
Lower Texas Coast,1869,90,969,2
-----,1869,70,985,1
Eastern New England,1869,100,963,3
Saxby's Gale,1869,90,965,2
Mobile,1870,70,985,1
Twin Key West (I),1870,70,970,1
Twin Key West (II),1870,80,977,1
-----,1871,100,955,3
-----,1871,90,965,2
-----,1871,70,985,1
-----,1873,70,985,1
-----,1873,100,959,3
-----,1874,70,985,1
-----,1875,100,960,3
-----,1876,80,980,1
-----,1876,90,973,2
-----,1877,70,985,1
-----,1877,100,960,3
-----,1878,90,970,2
-----,1878,90,963,2
-----,1879,100,971,3
-----,1879,90,964,2
-----,1879,110,950,3
-----,1880,110,931,3
-----,1880,90,972,2
-----,1880,70,987,1
-----,1880,70,985,1
-----,1881,90,970,2
-----,1881,90,975,2
-----,1882,100,949,3
-----,1882,90,969,2
-----,1882,70,985,1
-----,1883,90,965,2
-----,1885,100,953,3
-----,1886,85,973,2
-----,1886,85,973,2
-----,1886,85,973,2
-----,1886,70,985,1
Indianola,1886,135,925,4
-----,1886,80,973,1
-----,1886,105,955,3
-----,1887,75,981,1
-----,1887,65,946,1
-----,1887,85,973,2
-----,1887,75,981,1
-----,1888,70,985,1
-----,1888,110,945,3
-----,1888,95,970,2
-----,1889,70,985,1
-----,1891,80,977,1
-----,1891,70,985,1
Midnight Storm,1893,75,986,1
Sea Islands,1893,100,954,3
-----,1893,85,973,2
Chenier Caminanda,1893,115,948,4
-----,1893,105,955,3
-----,1894,90,975,2
-----,1894,105,955,3
-----,1895,65,973,1
-----,1896,85,973,2
-----,1896,70,985,1
-----,1896,110,960,3
-----,1897,75,981,1
-----,1898,70,985,1
-----,1898,75,980,1
-----,1898,115,938,4
