Year,Rate
1934,0.28
1935,0.17
1936,0.17
1937,0.28
1938,0.07
1939,0.05
1940,0.04
1941,0.13
1942,0.34
1943,0.38
1944,0.38
1945,0.38
1946,0.38
1947,0.6
1948,1.05
1949,1.12
1950,1.2
1951,1.52
1952,1.72
1953,1.89
1954,0.94
1955,1.73
1956,2.63
1957,3.23
1958,1.77
1959,3.39
1960,2.88
1961,2.35
1962,2.77
1963,3.16
1964,3.55
1965,3.95
1966,4.86
1967,4.31
1968,5.34
1969,6.67
1970,6.39
1971,4.33
1972,4.07
1973,7.03
1974,7.83
1975,5.78
1976,4.97
1977,5.27
1978,7.19
1979,10.07
1980,11.43
1981,14.03
1982,10.61
1983,8.61
1984,9.52
1985,7.48
1986,5.98
1987,5.78
1988,6.67
1989,8.11
1990,7.49
1991,5.38
1992,3.43
1993,3
1994,4.25
1995,5.49
1996,5.01
1997,5.06
1998,4.78
1999,4.64
2000,5.82
2001,3.39
2002,1.6
2003,1.01
2004,1.37
2005,3.15
2006,4.73
2007,4.35
2008,1.37
2009,0.15
2010,0.14
2011,0.05
2012,0.09
2013,0.06
