Interest Rates,Amount($T 2013),Year
12.43,1.96811754,1985
10.19,2.15962404,1986
10.21,2.34679178,1987
10.34,2.4859907,1988
10.32,2.58444813,1989
7.93,2.64778178,1990
7.81,2.66315317,1991
7.6,2.66458385,1992
6.94,2.6556502,1993
7.44,2.69033506,1994
7.93,2.72806013,1995
7.81,2.79836461,1996
7.6,2.9036938,1997
6.94,3.09167609,1998
7.44,3.34556674,1999
8.05,3.55000384,2000
6.97,3.79375343,2001
6.54,4.15509831,2002
5.83,4.56594488,2003
5.84,5.01993754,2004
5.87,5.51193447,2005
6.41,6.04586701,2006
6.34,6.41641284,2007
6.03,6.40374364,2008
5.04,6.34305773,2009
4.69,6.01000598,2010
4.45,5.63051357,2011
3.66,5.38855582,2012
3.98,5.28344676,2013
