Country,Birth Rate,Life Expectancy
Argentina,17.12,76.1
Barbados,12.1,77
Belize,25.58,76.3
Canada,10.28,81.1
Chile,14.12,79.3
Colombia,16.98,73.9
Costa Rica,16.25,79.4
Cuba,9.92,79.3
Dominican Republic,19.21,73.6
Ecuador,19.23,75.8
El Salvador,17.12,72.4
Guatemala,25.99,71.4
Guyana,16.31,70.2
Haiti,23.35,62.4
Honduras,24.16,73.4
Jamaica,18.65,73.3
Mexico,18.61,77.1
Nicaragua,18.77,74.3
Panama,18.91,76.3
Paraguay,16.95,72.7
Saint Kitts and Nevis,13.79,73.3
Saint Lucia,14.19,74.8
Saint Vincent and the Grenadines,14.12,72.5
Trinidad and Tobago,14.07,70.3
Uruguay,13.28,77.2
