Treatment,Memory
ginkgo,-1
ginkgo,4
ginkgo,8
ginkgo,7
ginkgo,8
ginkgo,6
ginkgo,3
ginkgo,0
ginkgo,8
ginkgo,6
ginkgo,9
ginkgo,-6
ginkgo,14
ginkgo,6
ginkgo,8
ginkgo,3
ginkgo,1
ginkgo,8
ginkgo,7
ginkgo,-1
ginkgo,1
ginkgo,12
ginkgo,8
ginkgo,3
ginkgo,8
ginkgo,1
ginkgo,-1
ginkgo,8
ginkgo,7
ginkgo,14
ginkgo,6
ginkgo,8
ginkgo,-6
ginkgo,1
ginkgo,6
ginkgo,4
ginkgo,14
ginkgo,0
ginkgo,1
ginkgo,3
ginkgo,8
ginkgo,8
ginkgo,14
ginkgo,-6
ginkgo,1
ginkgo,6
ginkgo,8
ginkgo,4
ginkgo,-6
ginkgo,1
ginkgo,-10
ginkgo,14
ginkgo,8
ginkgo,8
ginkgo,3
ginkgo,1
ginkgo,6
ginkgo,1
ginkgo,0
ginkgo,0
ginkgo,6
ginkgo,1
ginkgo,8
ginkgo,8
ginkgo,11
ginkgo,1
ginkgo,4
ginkgo,6
ginkgo,6
ginkgo,1
ginkgo,-6
ginkgo,14
ginkgo,0
ginkgo,4
ginkgo,7
ginkgo,1
ginkgo,14
ginkgo,4
ginkgo,6
ginkgo,-1
ginkgo,6
ginkgo,4
ginkgo,7
ginkgo,6
ginkgo,8
ginkgo,0
ginkgo,0
ginkgo,1
ginkgo,0
ginkgo,1
ginkgo,-6
ginkgo,6
ginkgo,9
ginkgo,0
ginkgo,4
ginkgo,0
ginkgo,7
ginkgo,4
ginkgo,-6
ginkgo,0
ginkgo,8
ginkgo,8
ginkgo,9
ginkgo,4
placebo,12
placebo,4
placebo,10
placebo,10
placebo,6
placebo,6
placebo,0
placebo,4
placebo,6
placebo,11
placebo,7
placebo,12
placebo,2
placebo,0
placebo,4
placebo,12
placebo,5
placebo,1
placebo,0
placebo,0
placebo,-4
placebo,3
placebo,8
placebo,0
placebo,3
placebo,8
placebo,0
placebo,3
placebo,8
placebo,11
placebo,1
placebo,8
placebo,8
placebo,8
placebo,2
placebo,7
placebo,6
placebo,5
placebo,2
placebo,0
placebo,1
placebo,4
placebo,11
placebo,8
placebo,3
placebo,8
placebo,6
placebo,12
placebo,8
placebo,6
placebo,4
placebo,8
placebo,10
placebo,7
placebo,4
placebo,-4
placebo,7
placebo,4
placebo,12
placebo,4
placebo,-2
placebo,8
placebo,7
placebo,1
placebo,0
placebo,12
placebo,7
placebo,4
placebo,4
placebo,8
placebo,8
placebo,3
placebo,4
placebo,-4
placebo,12
placebo,4
placebo,-2
placebo,8
placebo,10
placebo,7
placebo,0
placebo,12
placebo,6
placebo,6
placebo,6
placebo,4
placebo,10
placebo,-1
placebo,-2
placebo,4
placebo,6
placebo,8
placebo,10
placebo,8
placebo,1
placebo,3
placebo,8
placebo,7
placebo,0
