Title,Running Time
Toy Story 3,103
Alice in Wonderland (2010),109
Iron Man 2,125
The Twilight Saga: Eclipse,124
Harry Potter and the Deathly Hallows Part 1,150
Inception,148
Despicable Me,95
Shrek Forever After,93
How to Train Your Dragon,98
Tangled,100
The Karate Kid,140
Tron Legacy,125
True Grit,110
Clash of the Titans (2010),118
Grown Ups,102
Little Fockers,98
Megamind,96
The King's Speech,118
The Last Airbender,103
Shutter Island,138
The Other Guys,107
Salt,99
Jackass 3-D,94
Valentine's Day,117
Black Swan,103
Robin Hood,148
The Chronicles of Narnia: The Voyage of the Dawn Treader,112
The Expendables,103
Due Date,95
Yogi Bear,82
Date Night,88
The Social Network,120
Sex and the City 2,147
The Book of Eli,118
The Fighter,114
The Town,123
Prince of Persia: The Sands of Time,115
Red,111
Percy Jackson & The Olympians: The Lightning Thief,120
Paranormal Activity 2,91
Unstoppable,98
Eat Pray Love,133
Dear John,108
The A-Team,117
Knight & Day,130
Dinner for Schmucks,110
The Tourist,103
The Bounty Hunter,106
Diary of a Wimpy Kid,120
The Sorcerer's Apprentice,111
A Nightmare on Elm Street (2010),90
The Last Song,107
The Wolfman,102
Get Him to the Greek,109
Resident Evil: Afterlife,100
Tyler Perry's Why Did I Get Married Too?,121
Tooth Fairy,102
Secretariat,116
Easy A,92
Takers,107
Legend of the Guardians: The Owls of Ga'Hoole,90
Life as We Know It,112
Letters to Juliet,105
Wall Street: Money Never Sleeps,127
Predators,107
Hot Tub Time Machine,100
Kick-Ass,117
Killers,100
Saw 3D,91
Cop Out,110
Cats & Dogs: The Revenge of Kitty Galore,82
Edge of Darkness,108
Gulliver's Travels,85
Death at a Funeral (2010),90
Step Up 3-D,97
The Last Exorcism,100
Legion (2010),100
Burlesque,100
The Crazies,101
For Colored Girls,120
The Back-Up Plan,98
Vampires Suck,80
The American,105
Green Zone,115
Marmaduke,87
Devil,80
Hereafter,129
When in Rome,91
Love and Other Drugs,113
She's Out of My League,104
Scott Pilgrim vs. the World,113
Charlie St. Cloud,90
Morning Glory,102
How Do You Know,116
Daybreakers,98
Nanny McPhee Returns,100
Hubble 3D,43
The Switch,100
Brooklyn's Finest,133
Machete,105
Ramona and Beezus,104
Leap Year,97
You Again,105
Alpha and Omega,88
Piranha 3D,89
Lottery Ticket,99
The Spy Next Door,92
From Paris with Love,95
The Losers,98
Faster,98
Just Wright,111
Skyline,100
The Next Three Days,122
The Kids Are All Right,106
Our Family Wedding,90
Country Strong,112
Oceans,103
Remember Me,128
127 h,93
Going the Distance,97
Furry Vengeance,92
Splice,104
The Ghost Writer,128
Youth in Revolt,90
My Soul to Take,107
Repo Men,111
Case 39,109
Let Me In,115
Extraordinary Measures,106
Avatar: Special Edition,160
Jonah Hex,81
The Girl with the Dragon Tattoo,152
Blue Valentine,112
Fair Game (2010),108
Get Low,100
MacGruber,88
The Girl Who Played with Fire,129
Cyrus,92
Babies,79
Conviction,107
City Island,100
The Last Station,112
Winter's Bone,100
"Waiting for ""Superman""",102
The Secret in Their Eyes,127
It's Kind of a Funny Story,101
The Warrior's Way,100
The Girl Who Kicked the Hornet's Nest,148
I Am Love,120
Mao's Last Dancer,127
