Symbol,Fund,1 Yr,3 Yr
ALVIX,American Century Large Co Val Inv,19.09,12.85
SINAX,ClearBridge Large Cap Value A,19.27,12.91
INDZX,Columbia Diversified Equity Income A,16.76,11.71
CFVLX,Commerce Value,18.23,15.76
EHSTX,Eaton Vance Large-Cap Value A,17.45,9.66
HFCVX,Hennessy Cornerstone Value Investor,17.15,13.61
HDCAX,Huntington Dividend Capture A,11.95,12.32
JIVAX,JPMorgan Intrepid Value A,18.77,13.25
NPRTX,Neuberger Berman Large Cap Value Inv,19.05,9.51
NQCAX,Nuveen NWQ Large-Cap Value A,7.96,8.61
PQIAX,Principal Equity Income A,14.77,14.28
PEYAX,Putnam Equity Income A,20.75,14.39
STVTX,RidgeWorth Large Cap Value Equity I,18.66,14.03
