Ice Breakup Days After Midnight,Years Since 1900,Year
119.479,17,1917
130.398,18,1918
122.606,19,1919
131.448,20,1920
130.279,21,1921
131.556,22,1922
128.083,23,1923
131.632,24,1924
126.772,25,1925
115.669,26,1926
131.238,27,1927
126.684,28,1928
124.653,29,1929
127.794,30,1930
129.391,31,1931
121.427,32,1932
127.813,33,1933
119.588,34,1934
134.564,35,1935
120.54,36,1936
131.836,37,1937
125.843,38,1938
118.56,39,1939
110.644,40,1940
122.076,41,1941
119.561,42,1942
117.807,43,1943
124.589,44,1944
135.404,45,1945
124.694,46,1946
122.745,47,1947
133.467,48,1948
133.527,49,1949
125.676,50,1950
119.746,51,1951
132.711,52,1952
118.662,53,1953
125.751,54,1954
128.592,55,1955
121.975,56,1956
124.396,57,1957
118.622,58,1958
127.476,59,1959
122.8,60,1960
124.98,61,1961
131.974,62,1962
124.767,63,1963
140.487,64,1964
126.792,65,1965
127.508,66,1966
123.497,67,1967
128.393,68,1968
117.519,69,1969
123.442,70,1970
127.897,71,1971
130.497,72,1972
123.499,73,1973
125.656,74,1974
129.576,75,1975
122.452,76,1976
125.532,77,1977
119.638,78,1978
119.761,79,1979
119.553,80,1980
119.781,81,1981
129.733,82,1982
118.776,83,1983
129.648,84,1984
130.608,85,1985
127.951,86,1986
124.633,87,1987
117.385,88,1988
120.843,89,1989
113.722,90,1990
120.003,91,1991
134.269,92,1992
112.542,93,1993
118.959,94,1994
115.557,95,1995
125.522,96,1996
119.436,97,1997
109.704,98,1998
118.908,99,1999
121.449,100,2000
127.542,101,2001
126.894,102,2002
118.765,103,2003
113.594,104,2004
117.501,105,2005
121.729,106,2006
117.658,107,2007
126.953,108,2008
120.862,109,2009
118.379,110,2010
123.685,111,2011
113.819,112,2012
139.612,113,2013
113.658,114,2014
