Passengers,Year,Month,Year Numeric
349915,1990,1,1990
329695,1990,2,1990.083333
389161,1990,3,1990.166667
456288,1990,4,1990.25
487582,1990,5,1990.333333
525004,1990,6,1990.416667
530800,1990,7,1990.5
584371,1990,8,1990.583333
457120,1990,9,1990.666667
457811,1990,10,1990.75
471904,1990,11,1990.833333
472682,1990,12,1990.916667
471788,1991,1,1991
465014,1991,2,1991.083333
523667,1991,3,1991.166667
516343,1991,4,1991.25
554601,1991,5,1991.333333
509546,1991,6,1991.416667
539940,1991,7,1991.5
600020,1991,8,1991.583333
490545,1991,9,1991.666667
504741,1991,10,1991.75
489761,1991,11,1991.833333
515285,1991,12,1991.916667
459579,1992,1,1992
457473,1992,2,1992.083333
510264,1992,3,1992.166667
513418,1992,4,1992.25
524939,1992,5,1992.333333
572210,1992,6,1992.416667
614805,1992,7,1992.5
683024,1992,8,1992.583333
545942,1992,9,1992.666667
553405,1992,10,1992.75
549228,1992,11,1992.833333
557833,1992,12,1992.916667
534665,1993,1,1993
502243,1993,2,1993.083333
594182,1993,3,1993.166667
630804,1993,4,1993.25
660361,1993,5,1993.333333
670489,1993,6,1993.416667
685281,1993,7,1993.5
729377,1993,8,1993.583333
605594,1993,9,1993.666667
635498,1993,10,1993.75
613308,1993,11,1993.833333
631980,1993,12,1993.916667
583451,1994,1,1994
556067,1994,2,1994.083333
637880,1994,3,1994.166667
628794,1994,4,1994.25
666555,1994,5,1994.333333
728011,1994,6,1994.416667
759704,1994,7,1994.5
801146,1994,8,1994.583333
683504,1994,9,1994.666667
733758,1994,10,1994.75
779163,1994,11,1994.833333
787692,1994,12,1994.916667
683900,1995,1,1995
683692,1995,2,1995.083333
795881,1995,3,1995.166667
821444,1995,4,1995.25
823129,1995,5,1995.333333
897389,1995,6,1995.416667
900149,1995,7,1995.5
960799,1995,8,1995.583333
792645,1995,9,1995.666667
811645,1995,10,1995.75
817363,1995,11,1995.833333
846833,1995,12,1995.916667
726630,1996,1,1996
731582,1996,2,1996.083333
823312,1996,3,1996.166667
827306,1996,4,1996.25
851089,1996,5,1996.333333
828905,1996,6,1996.416667
822492,1996,7,1996.5
939342,1996,8,1996.583333
828348,1996,9,1996.666667
822289,1996,10,1996.75
729883,1996,11,1996.833333
803681,1996,12,1996.916667
725727,1997,1,1997
653038,1997,2,1997.083333
745798,1997,3,1997.166667
718150,1997,4,1997.25
781158,1997,5,1997.333333
795127,1997,6,1997.416667
819281,1997,7,1997.5
897085,1997,8,1997.583333
738083,1997,9,1997.666667
764115,1997,10,1997.75
760021,1997,11,1997.833333
747223,1997,12,1997.916667
649441,1998,1,1998
646388,1998,2,1998.083333
751903,1998,3,1998.166667
771455,1998,4,1998.25
804696,1998,5,1998.333333
817789,1998,6,1998.416667
834326,1998,7,1998.5
882187,1998,8,1998.583333
758714,1998,9,1998.666667
769816,1998,10,1998.75
770993,1998,11,1998.833333
773845,1998,12,1998.916667
690073,1999,1,1999
698621,1999,2,1999.083333
809801,1999,3,1999.166667
829614,1999,4,1999.25
846391,1999,5,1999.333333
858985,1999,6,1999.416667
892736,1999,7,1999.5
942458,1999,8,1999.583333
806481,1999,9,1999.666667
857422,1999,10,1999.75
847199,1999,11,1999.833333
799737,1999,12,1999.916667
729669,2000,1,2000
757506,2000,2,2000.083333
842180,2000,3,2000.166667
867809,2000,4,2000.25
891146,2000,5,2000.333333
931048,2000,6,2000.416667
960355,2000,7,2000.5
1013726,2000,8,2000.583333
882534,2000,9,2000.666667
929831,2000,10,2000.75
914716,2000,11,2000.833333
900278,2000,12,2000.916667
844497,2001,1,2001
793708,2001,2,2001.083333
974903,2001,3,2001.166667
1010985,2001,4,2001.25
1034431,2001,5,2001.333333
1096770,2001,6,2001.416667
1144485,2001,7,2001.5
1205921,2001,8,2001.583333
676551,2001,9,2001.666667
885680,2001,10,2001.75
877990,2001,11,2001.833333
