Year,Month,Pct_Cancelled
1994,January,4.86
1994,February,4.37
1994,March,1.2
1994,April,0.59
1994,May,0.38
1994,June,0.63
1994,July,0.86
1994,August,0.54
1994,September,0.41
1994,October,0.49
1994,November,0.62
1994,December,0.97
1995,January,3.07
1995,February,2.38
1995,March,1.59
1995,April,1.32
1995,May,1.43
1995,June,1.32
1995,July,1.29
1995,August,1.66
1995,September,1.16
1995,October,1.09
1995,November,1.47
1995,December,2.87
1996,January,6.62
1996,February,3.47
1996,March,1.98
1996,April,1.27
1996,May,1.57
1996,June,1.81
1996,July,2.04
1996,August,1.72
1996,September,1.76
1996,October,1.74
1996,November,2.19
1996,December,2.7
1997,January,3.95
1997,February,2.07
1997,March,1.81
1997,April,1.58
1997,May,1.13
1997,June,1.51
1997,July,1.69
1997,August,1.48
1997,September,1.43
1997,October,1.64
1997,November,1.55
1997,December,1.82
1998,January,3.07
1998,February,2.54
1998,March,2.14
1998,April,1.57
1998,May,2.09
1998,June,2.88
1998,July,2.02
1998,August,3.16
1998,September,7.41
1998,October,1.71
1998,November,1.47
1998,December,2.18
1999,January,5.85
1999,February,3.48
1999,March,2.66
1999,April,1.98
1999,May,2.57
1999,June,2.75
1999,July,3.14
1999,August,2.44
1999,September,3.31
1999,October,2.04
1999,November,1.68
1999,December,1.74
2000,January,5.21
2000,February,3.42
2000,March,2.12
2000,April,2.51
2000,May,3.45
2000,June,3.95
2000,July,3.21
2000,August,3.05
2000,September,2.24
2000,October,2.13
2000,November,2.34
2000,December,5.95
2001,January,3.75
2001,February,3.65
2001,March,3.37
2001,April,2.22
2001,May,1.78
2001,June,2.98
2001,July,2.1
2001,August,2.45
2001,September,20.24
2001,October,1.54
2001,November,1.08
2001,December,1.01
2002,January,1.67
2002,February,1.08
2002,March,1.35
2002,April,1.03
2002,May,0.99
2002,June,1.71
2002,July,1.34
2002,August,1.14
2002,September,0.86
2002,October,1.02
2002,November,0.89
2002,December,1.72
2003,January,1.51
2003,February,4
2003,March,1.71
2003,April,1.2
2003,May,0.81
2003,June,0.78
2003,July,1.4
2003,August,1.64
2003,September,1.46
2003,October,0.92
2003,November,1.4
2003,December,2.09
2004,January,3.02
2004,February,1.71
2004,March,1.26
2004,April,0.77
2004,May,1.75
2004,June,1.49
2004,July,1.65
2004,August,1.63
2004,September,3.07
2004,October,1.1
2004,November,1.26
2004,December,2.82
2005,January,4.22
2005,February,1.74
2005,March,1.65
2005,April,1.27
2005,May,0.96
2005,June,1.63
2005,July,2.21
2005,August,2.13
2005,September,2.01
2005,October,1.77
2005,November,0.99
2005,December,1.88
2006,January,1.68
2006,February,2.13
2006,March,1.25
2006,April,1.13
2006,May,1.17
2006,June,1.69
2006,July,1.73
2006,August,1.56
2006,September,1.7
2006,October,1.86
2006,November,1.63
2006,December,2.99
2007,January,2.54
2007,February,4.5
2007,March,2.64
2007,April,1.81
2007,May,1.08
2007,June,2.74
2007,July,2.08
2007,August,1.88
2007,September,1.08
2007,October,1.16
2007,November,1.04
2007,December,3.5
2008,January,2.86
2008,February,3.62
2008,March,2.63
2008,April,1.73
2008,May,1.03
2008,June,1.8
2008,July,1.69
2008,August,1.61
2008,September,1.83
2008,October,0.58
2008,November,0.85
2008,December,3.26
2009,January,2.33
2009,February,1.25
2009,March,2.1
2009,April,1.48
2009,May,0.88
2009,June,1.49
2009,July,1.18
2009,August,0.99
2009,September,0.57
2009,October,0.99
2009,November,0.54
2009,December,2.78
2010,January,2.46
2010,February,5.44
2010,March,1.5
2010,April,0.69
2010,May,1.24
2010,June,1.5
2010,July,1.43
2010,August,0.99
2010,September,0.9
2010,October,0.97
2010,November,0.72
2010,December,3.65
2011,January,3.87
2011,February,4.87
2011,March,1.27
2011,April,2
2011,May,2.07
2011,June,1.76
2011,July,1.69
2011,August,2.54
2011,September,0.82
2011,October,0.77
2011,November,0.68
2011,December,0.75
2012,January,1.46
2012,February,1
2012,March,1.04
2012,April,0.98
2012,May,0.86
2012,June,1.1
2012,July,1.41
2012,August,1.31
2012,September,0.81
2012,October,2.84
2012,November,1.05
2012,December,1.61
2013,January,1.48
2013,February,2.41
2013,March,1.62
2013,April,1.76
2013,May,1.14
2013,June,1.78
2013,July,1.68
2013,August,0.98
2013,September,0.86
2013,October,0.61
