State,Percent_Change,Region
Alabama,7.5,S/W
Alaska,13.3,S/W
Arizona,24.6,S/W
Arkansas,9.1,S/W
California,10,S/W
Colorado,16.9,S/W
Connecticut,4.9,NE/MW
Delaware,14.6,NE/MW
District of Columbia,5.2,
Florida,17.6,S/W
Georgia,18.3,S/W
Hawaii,12.3,S/W
Idaho,21.1,S/W
Illinois,3.3,NE/MW
Indiana,6.6,NE/MW
Iowa,4.1,NE/MW
Kansas,6.1,NE/MW
Kentucky,7.4,NE/MW
Louisiana,1.4,S/W
Maine,4.2,NE/MW
Maryland,9,NE/MW
Massachusetts,3.1,NE/MW
Michigan,-0.6,NE/MW
Minnesota,7.8,NE/MW
Mississippi,4.3,S/W
Missouri,7,NE/MW
Montana,9.7,S/W
Nebraska,6.7,NE/MW
Nevada,35.1,S/W
New Hampshire,6.5,NE/MW
New Jersey,4.5,NE/MW
New Mexico,13.2,S/W
New York,2.1,NE/MW
North Carolina,18.5,S/W
North Dakota,4.7,S/W
Ohio,1.6,NE/MW
Oklahoma,8.7,S/W
Oregon,12,S/W
Pennsylvania,3.4,NE/MW
Rhode Island,0.4,NE/MW
South Carolina,15.3,S/W
South Dakota,7.9,S/W
Tennessee,11.5,NE/MW
Texas,20.6,S/W
Utah,23.8,S/W
Vermont,2.8,NE/MW
Virginia,13,NE/MW
Washington,14.1,S/W
West Virginia,2.5,NE/MW
Wisconsin,6,NE/MW
Wyoming,14.1,S/W
