Name,TEAM,YDS
Josh Gordon,CLE,1646
Antonio Brown,PIT,1499
Calvin Johnson,DET,1492
Demaryius Thomas,DEN,1430
A.J. Green,CIN,1426
Alshon Jeffery,CHI,1421
Andre Johnson,HOU,1407
Pierre Garcon,WSH,1346
DeSean Jackson,PHI,1332
Jordy Nelson,GB,1314
Brandon Marshall,CHI,1295
Eric Decker,DEN,1288
Dez Bryant,DAL,1233
Vincent Jackson,TB,1224
Anquan Boldin,SF,1179
Torrey Smith,BAL,1128
T.Y. Hilton,IND,1083
Kendall Wright,TEN,1079
Harry Douglas,ATL,1067
Julian Edelman,NE,1056
Keenan Allen,SD,1046
Michael Floyd,ARI,1041
Brian Hartline,MIA,1016
Victor Cruz,NYG,998
Larry Fitzgerald,ARI,954
Marques Colston,NO,943
Mike Wallace,MIA,930
Nate Washington,TEN,919
Golden Tate,SEA,898
Hakeem Nicks,NYG,896
Rod Streater,OAK,888
Riley Cooper,PHI,835
James Jones,GB,817
Terrance Williams,DAL,736
Jerome Simpson,MIN,726
Marvin Jones,CIN,712
Roddy White,ATL,711
Denarius Moore,OAK,695
Jarrett Boykin,GB,681
Dwayne Bowe,KC,673
Kenny Stills,NO,641
Danny Amendola,NE,633
Eddie Royal,SD,631
Brandon LaFell,CAR,627
Rueben Randle,NYG,611
Jerricho Cotchery,PIT,602
Steve Johnson,BUF,597
Donnie Avery,KC,596
Robert Woods,BUF,587
Julio Jones,ATL,580
Timothy Wright,TB,571
Chris Givens,STL,569
Ted Ginn,CAR,556
Marlon Brown,BAL,524
Jeremy Kerley,NYJ,523
Aaron Dobson,NE,519
Dexter McCluster,KC,511
Reggie Wayne,IND,503
Kris Durham,DET,490
Ace Sanders,JAX,484
Vincent Brown,SD,472
Andre Roberts,ARI,471
Cordarrelle Patterson,MIN,469
Kenbrell Thompkins,NE,466
Greg Little,CLE,465
Nate Burleson,DET,461
Lance Moore,NO,457
Santonio Holmes,NYJ,456
Jacoby Jones,BAL,455
Mohamed Sanu,CIN,455
Santana Moss,WSH,452
Rishard Matthews,MIA,448
Jason Avant,PHI,447
Mike Brown,JAX,446
Tiquan Underwood,TB,440
Jarius Wright,MIN,434
Randall Cobb,GB,433
Andre Holmes,OAK,431
David Nelson,NYJ,423
Tavon Austin,STL,418
Justin Blackmon,JAX,415
Austin Pettis,STL,399
Leonard Hankerson,WSH,375
Cole Beasley,DAL,368
Aldrick Robinson,WSH,365
Davone Bess,CLE,362
T.J. Graham,BUF,361
Justin Hunter,TEN,354
Jermaine Kearse,SEA,346
Stephen Hill,NYJ,342
Jerrel Jernigan,NYG,329
Brandon Gibson,MIA,326
Robert Meachem,NO,324
Darrius Heyward-Bey,IND,309
Tandon Doss,BAL,305
Brian Quick,STL,302
Michael Crabtree,SF,284
Marquise Goodwin,BUF,283
Kevin Ogletree,DET/TB,269
Griff Whalen,IND,259
Keshawn Martin,HOU,253
Miles Austin,DAL,244
Earl Bennett,CHI,243
Sidney Rice,SEA,231
Kerry Taylor,ARI/JAX,229
Stedman Bailey,STL,226
Mike Williams,TB,216
Drew Davis,ATL,216
Josh Morgan,WSH,214
Darius Johnson,ATL,210
Andre Caldwell,DEN,200
Andrew Hawkins,CIN,199
Da'Rick Rogers,IND,192
Damian Williams,TEN,178
LaVon Brazill,IND,161
DeVier Posey,HOU,155
Malcom Floyd,SD,149
Greg Salas,NYJ,143
Jaron Brown,ARI,140
Brittan Golden,ARI,136
A.J. Jenkins,KC,130
Junior Hemingway,KC,125
Clyde Gates,NYJ,122
Josh Boyce,NE,121
Brandon Stokley,BAL,115
Chris Owusu,TB,114
Kyle Williams,SF,113
Travis Benjamin,CLE,105
Brice Butler,OAK,103
Jacoby Ford,OAK,99
Kenny Britt,TEN,96
Deonte Thompson,BAL,96
Mario Manningham,SF,85
Ryan Broyles,DET,85
Chris Hogan,BUF,83
Ricardo Lockette,SEA,82
Dwayne Harris,DAL,80
Stephen Burton,JAX,76
Nick Toon,NO,68
Eric Page,TB,68
Jeremy Ross,DET/GB,67
Jeff Maehl,PHI,67
Myles White,GB,66
Seyi Ajirotutu,SD,64
Markus Wheaton,PIT,64
Austin Collie,NE,63
Marlon Moore,MIA/SF,62
Dane Sanzenbacher,CIN,61
Josh Cooper,CLE,60
Domenik Hixon,CAR,55
Teddy Williams,ARI,51
Pat Edwards,DET,46
Louis Murphy,NYG,37
Michael Preston,TEN,37
Lestar Jean,HOU,35
Dorin Dickerson,DET,34
Quinton Patton,SF,34
Joe Webb,MIN,33
Juron Criner,OAK,32
Lamaar Thomas,JAX,31
Jon Baldwin,SF,28
Brad Smith,PHI,27
Chad Hall,KC,20
Derek Moye,PIT,20
Jeremy Ebert,JAX,18
Kassim Osgood,SF,17
Percy Harvin,SEA,17
Tori Gurley,CLE,15
Nick Williams,WSH,15
Damaris Johnson,PHI,14
Marcus Easley,BUF,13
Marquess Wilson,CHI,13
Kevin Cone,ATL,12
Brian Tyms,CLE,12
Skye Dawson,TB,12
Armanti Edwards,CLE/CAR,10
Ben Obomanu,NYJ,8
Eric Weems,CHI,8
Josh Cribbs,NYJ,6
Brandon Tate,CIN,6
David Reed,IND,2
