Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions,Opened
Top Thrill Dragster,Cedar Point,Steel,120,420,400,2800,,0,2003
Superman The Escap,Six Flags Magic Mountain,Steel,100,415,328.1,1235,,0,1997
Millennium Force,Cedar Point,Steel,93,310,300,6595,165,0,2000
Goliath,Six Flags Magic Mountain,Steel,85,235,255,4500,180,0,2000
Titan,Six Flags Over Texas,Steel,85,245,255,5312,210,0,2001
Phantom's Revenge,Kennywood Park,Steel,82,160,228,3200,,0,2001
Xcelerator,Knott's Berry Farm,Steel,82,205,130,2202,62,0,2002
Desperado,Buffalo Bill's Resort & Casino,Steel,80,209,225,5843,163,0,1909
HyperSonic XLC,Paramount's Kings Dominion,Steel,80,165,133,1560,,0,2001
Nitro,Six Flags Great Adventure,Steel,80,230,215,5394,240,0,2001
Phantom's Revenge,Kennywood Park,Steel,80,160,225,3000,,1,2001
Son Of Beast,Paramount's Kings Island,Wood,78.4,218,214,7032,,1,2000
Superman - Ride Of Steel,Six Flags New England,Steel,77,208,221,5400,155,0,2000
X,Six Flags Magic Mountain,Steel,76,175,215,3610,,1,2002
Mamba,Worlds of Fun,Steel,75,205,205,5600,180,0,1998
Steel Force,Dorney Park,Steel,75,200,205,5600,180,0,1997
Wild Thing,Valleyfair!,Steel,74,207,196,5460,180,0,1996
Apollo's Chariot,Busch Gardens Williamsburg,Steel,73,170,210,4882,135,0,1999
Raging Bull,Six Flags Great America,Steel,73,202,208,5057,150,0,1999
Rattler,Six Flags Fiesta Texas,Wood,73,179.5,166.5,5080,146,0,1992
Superman - Ride Of Steel,Six Flags Darien Lake,Steel,73,208,205,5400,200,0,1999
Magnum XL-200,Cedar Point,Steel,72,205,194.6,5106,120,0,1989
Viper,Six Flags Magic Mountain,Steel,70,188,171,3830,150,1,1990
"Volcano, The Blast Coaster",Paramount's Kings Dominion,Steel,70,155,80,2757,,1,1998
Great American Scream Machine,Six Flags Great Adventure,Steel,68,173,155,3800,140,1,1909
Alpengeist,Busch Gardens Williamsburg,Steel,67,195,170,3828,190,1,1997
Incredible Hulk,Universal Studios Islands of Adventure,Steel,67,110,105,3700,135,1,1999
Manhattan Express,"New York, New York Hotel & Casino",Steel,67,203,144,4777,160,1,1997
Boss,Six Flags St. Louis,Wood,66.3,122,150,5051,,0,2000
American Eagle,Six Flags Great America,Wood,66,127,147,4650,143,0,1981
Wildfire,Silver Dollar City,Steel,66,120,155,3073,136,1,2001
Deja Vu,Six Flags Great America,Steel,65.6,191.5,177,1204,92,1,2001
Batman Knight Flight,Six Flags Worlds of Adventure,Steel,65,157,148,4210,,1,2000
Hercules,Dorney Park,Wood,65,95,151,4000,135,0,1909
Kraken,SeaWorld Orlando,Steel,65,149,144,4177,219,1,2000
Mean Streak,Cedar Point,Wood,65,161,155,5427,193,0,1991
Medusa,Six Flags Marine World,Steel,65,150,150,3937,195,1,2000
Orient Express,Worlds of Fun,Steel,65,117,115,3470,150,1,1980
Rattler,Six Flags Fiesta Texas,Wood,65,179.5,124,5080,146,0,1992
Riddler's Revenge,Six Flags Magic Mountain,Steel,65,156,146,4370,180,1,1998
