Model,Battery life (hrs),Max Brightness(cd/m2),Resolution,Pixel density (ppi),Screen size(in)
Acer Iconia A1-810,7.5,285,"1,024x768",160,8
Amazon Kindle Fire HD (2013),9.3,421,"1,280x800",216,7
Amazon Kindle Fire HDX 7,9.8,430,"1,920x1,200",323,7
Amazon Kindle Fire HDX 8.9,IP,472,"2,560x1,600",339,8.9
Apple iPad (fourth generation),13.1,n/a,"2,048x1,536",263,9.7
Apple iPad Air,13.2,421,"2,048x1,536",264,9.7
Apple iPad Mini,12.1,n/a,"1,024x768",162,7.9
Asus Eee Pad Transformer Prime,9.6,570,"1,280x800",149,10.1
Asus Fone Pad,7.3,242,"1,280x800",216,7
Asus Memo Pad HD 7,9.7,353,"1,024x600",169,7
Asus Transformer Pad TF300,8.7,331,"1,280x800",149,10.1
Asus Transformer Pad Infinity TF700,8.5,422,"1,920x1,200",224,10.1
Barnes & NobleNook HD,7.3,455,"1,440x900",243,7
Barnes & Noble Nook HD+,9.5,496,"1,920x1,280",256,9
Dell Venue 7,7.7,342,"1,280x800",217,7
Dell Venue 8,7.9,356,"1,280x800",189,8
Dell XPS 10,9.6,335,"1,366x768",155,10.1
EVGA Tegra Note 7,IP,423,"1,280x800",216,7
Google Nexus 7 (2013),11.5,570,"1,920x1,200",323,7
Google Nexus 10,8.4,368,"2,560x1,600",301,10
Hisense Sero 7 LT,6.2,242,"1,024x600",169,7
Hisense Sero 7 Pro,8.4,320,"1,280x800",215,7
HP Slate Book x2,IP,350,"1,920x1,200",226,10
Lenovo IdeaTab A1000,4.6,369,"1,280x800",216,7
Lenovo Idea Pad Yoga 11,12.6,232,"1,366x768",135,11.6
Lenovo Yoga Tablet 8,14.2,438,"1,280x800",209,8
Lenovo YogaTablet 10,12.4,435,"1,280x800",167,10
LG G Pad 8.3,6.4,289,"1,920x1,200",273,8.3
Microsoft Surface Pro 2,6.9,n/a,"1,920x1,080",208,10.6
Microsoft Surface 2,11.6,315,"1,920x1,080",208,10.6
Nokia Lumia 2520,IP,676,"1,920x1,080",218,10.1
Samsung Galaxy Note 8,IP,458,"1,280x800",182,8.3
Samsung Galaxy Note 10.1,9.6,411,"1,280x800",149,10.1
Samsung Galaxy Note 10.1 (2014 Edition),6,326,"2,5601x1,600",298,10.1
Samsung Galaxy Tab 2 7.0,7.1,379,"1,024x600",170,7
Samsung Galaxy Tab 2 7.0 4G LTE,8.4,454,"1,024x600",170,7
Samsung Galaxy Tab 2 10.1,6.2,380,"1,280x800",149,10.1
Samsung Galaxy Tab 3 8.0,10,395,"1,280x800",189,8
Samsung Galaxy Tab 3 10.1,8.3,421,"1,280x800",149,10.1
Sony Xperia Tablet Z,7.2,411,"1,920x1,200",226,10
Toshiba Excite 7,IP,340,"1,024x600",170,7
Toshiba Excite Pro,7.9,301,"2,560x1,600",302,10
Toshiba Excite Pure,6.3,284,"1,280x800",151,10
Toshiba Excite Write,IP,335,"2,560x1,600",302,10
