Rank,Roller Coaster,Park,Location,Drop(ft),Duration(sec),Height,Max speed,Max vert angle,Length
1,Bizarro,SF New England,MA,221,155,208,77,72,5400
2,Expedition GeForce,Holiday Park,DE,184,75,188,74.6,82,4003
3,Intimidator 305,Kings Dominion,VA,300,98,305,93,85,5100
4,Kawasemi,Tobu Zoo,JP,,60,108,54,67.4,2454
5,Nemesis,Alton Towers,UK,104,80,43,50,40,2349
6,Piraten,Djurs Sommerland,DK,100,61,105,56,70,2477
7,Goliath,Walibi World,NL,152,92,155,66.9,70,3984
8,Millennium Force,Cedar Point,OH,300,120,310,93,80,6595
9,Katun,Mirabilandia,IT,148,142,169,65,,3937
10,iSpeed,Mirabilandia,IT,181,60,180,74.6,90,3281
