Survived	Age	Sex	Class
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Male	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Child	Female	Third
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
Dead	Adult	Male	First
