Year,Winner,Country,Age,Team,Total Time(h.min.sec),Total Time(h),Average Speed,Stages,Total Distance Ridden,Starting Riders,Finishing Riders
1903,Maurice Garin,France,32,La Française,94.33.00,94.55,25.679,6,2428,60,21
1904,Henri Cornet,France,20,Cycles JC,96.05.56,96.098889,25.265,6,2428,88,27
1905,Louis Trousselier,France,24,Peugeot,110.26.58,110.44944,27.107,11,2994,60,24
1906,René Pottier,France,27,Peugeot,189.34.00,189.56667,24.463,13,4637,82,14
1907,Lucien Petit-Breton,France,24,Peugeot,158.45.05,158.75139,28.47,14,4488,93,33
1908,Lucien Petit-Breton,France,25,Peugeot,156.53.29,156.89139,28.74,14,4488,112,36
1909,François Faber,Luxembourg,22,Alcyon,157.01.22,157.02278,28.658,14,4497,150,55
1910,Octave Lapize,France,21,Alcyon,162.41.30,162.69167,29.099,15,4734,110,41
1911,Gustave Garrigou,France,27,Alcyon,195.37.00,195.61667,27.322,15,5343,84,28
1912,Odile Defraye,Belgium,24,Alcyon,190.30.28,190.50778,27.763,15,5289,131,41
1913,Philippe Thys,Belgium,23,Peugeot,197.54.00,197.9,26.715,15,5287,140,25
1914,Philippe Thys,Belgium,24,Peugeot,200.28.48,200.48,26.835,15,5380,145,54
1919,Fir Lambot,Belgium,33,La Sportive,231.07.15,231.12083,24.056,15,5560,69,11
1920,Philippe Thys,Belgium,30,La Sportive,228.36.13,228.60361,24.072,15,5503,113,22
1921,Léon Scieur,Belgium,33,La Sportive,221.50.26,221.84056,24.724,15,5485,123,38
1922,Fir Lambot,Belgium,36,Peugeot,222.08.06,222.135,24.196,15,5375,121,38
1923,Henri Pélissier,France,33,Automoto,222.15.30,222.25833,24.233,15,5386,139,48
1924,Ottavio Bottecchia,Italy,30,Automoto,226.18.21,226.30583,24.25,15,5425,157,60
1925,Ottavio Bottecchia,Italy,31,Automoto,219.10.18,219.17167,24.82,18,5440,130,49
1926,Lucien Buysse,Belgium,34,Automoto,238.44.25,238.74028,24.273,17,5745,126,41
1927,Nicolas Frantz,Luxembourg,28,Alcyon,198.16.42,198.27833,27.224,24,5398,142,39
1928,Nicolas Frantz,Luxembourg,29,Alcyon,192.48.58,192.81611,28.4,22,5476,162,41
1929,Maurice De Walel,Belgium,33,Alcyon,186.39.16,186.65444,28.319,22,5286,155,60
1930,André Leducq,France,26,France,172.12.16,172.20444,28,21,4822,100,59
1931,Antonin Magne,France,27,France,177.10.03,177.1675,28.735,24,5091,81,35
1932,André Leducq,France,28,France,154.12.59,154.21639,29.047,21,4479,80,57
1933,Georges Speicher,France,26,France,147.51.37,147.86028,29.818,23,4395,80,40
1934,Antonin Magne,France,30,France,147.13.58,147.23278,30.36,23,4470,60,39
1935,Romain Maes,Belgium,22,Belgium,141.23.00,141.38333,30.65,21,4338,93,46
1936,Silvère Maes,Belgium,27,Belgium,142.47.32,142.79222,31.108,21,4442,90,43
1937,Roger Lapébie,France,26,France,138.58.31,138.97528,31.768,20,4415,98,46
1938,Gino Bartali,Italy,24,Italy,148.29.12,148.48667,31.565,21,4694,96,55
1939,Silvère Maes,Belgium,30,Belgium,132.03.17,132.05472,31.986,18,4224,79,49
1947,Jean Robic,France,26,Ouest,148.11.25,148.19028,31.412,21,4642,100,53
1948,Gino Bartali,Italy,34,Italy,147.10.36,147.17667,33.442,21,4922,120,44
1949,Fausto Coppi,Italy,30,Italy,149.40.49,149.68028,32.121,21,4808,120,55
1950,Ferdy Kübler,Switzerland,31,Switzerland,145.36.46,145.61278,32.778,22,4773,116,51
1951,Hugo Koblet,Switzerland,26,Switzerland,142.20.14,142.33722,32.949,24,4690,123,66
1952,Fausto Coppi,Italy,33,Italy,151.57.20,151.95556,32.233,23,4898,122,78
1953,Louison Bobet,France,28,France,129.23.25,129.39028,34.593,22,4476,119,76
1954,Louison Bobet,France,29,France,140.06.05,140.10139,33.229,23,4656,110,69
1955,Louison Bobet,France,30,France,130.29.26,130.49056,34.446,22,4495,130,69
1956,Roger Walkowiak,France,29,Nord-Est- Centre,124.01.16,124.02111,36.268,22,4498,120,88
1957,Jacques Anquetil,France,23,France,135.44.42,135.745,34.52,22,4669,120,56
1958,Charly Gaul,Luxembourg,26,Holland- Luxembourg,116.59.05,116.98472,36.919,24,4319,120,78
1959,Federico Bahamontes,Spain,31,Spain,123.46.45,123.77917,35.474,22,4358,120,65
1960,Gastone Nencini,Italy,30,Italy,112.08.42,112.145,37.21,22,4173,128,81
1961,Jacques Anquetil,France,27,France,122.01.33,122.02583,36.033,21,4397,132,72
1962,Jacques Anquetil,France,28,St-Raphaël,114.31.45,114.52917,37.317,22,4274,149,94
1963,Jacques Anquetil,France,29,St-Raphaël,113.30.05,113.50139,37.092,21,4138,130,76
1964,Jacques Anquetil,France,30,St-Raphaël,127.09.44,127.16222,35.419,22,4504,132,81
1965,Felice Gimondi,Italy,23,Salvarini,116.42.06,116.70167,35.886,22,4188,130,96
1966,Lucien Aimar,France,25,Ford,117.34.21,117.5725,36.76,22,4329,130,82
1967,Roger Pingeon,France,27,France,136.53.50,136.89722,34.756,22,4779,130,88
1968,Jan Janssen,Netherlands,28,Holland,133.49.32,133.82556,33.556,22,4492,110,63
1969,Eddy Merckx,Belgium,24,Faema,116.16.02,116.26722,35.409,22,4117,130,86
1970,Eddy Merckx,Belgium,25,Faeo,119.31.49,119.53028,35.589,23,4254,150,100
1971,Eddy Merckx,Belgium,26,Molteni,96.45.14,96.753889,38.084,20,3608,130,94
1972,Eddy Merckx,Belgium,27,Molteni,108.17.18,108.28833,35.514,20,3846,132,88
1973,Luis Ocaña,Spain,28,Bic,122.25.34,122.42611,33.407,20,4090,132,87
1974,Eddy Merckx,Belgium,29,Molteni,116.16.58,116.28278,35.241,22,4098,130,105
1975,Bernard Thévenet,France,27,Peugeot,114.35.31,114.59194,34.906,22,4000,140,86
1976,Lucien van Impe,Belgium,30,Gitane,116.22.23,116.37306,34.518,22,4017,130,87
1977,Bernard Thévenet,France,29,Peugeot,115.38.30,115.64167,35.419,22,4096,100,53
1978,Bernard Hinault,France,24,Renault,108.18.00,108.3,36.084,22,3908,110,78
1979,Bernard Hinault,France,25,Renault,103.06.50,103.11389,36.513,24,3765,150,90
1980,Joop Zoetemelk,Netherlands,34,TI-Raleigh,109.19.14,109.32056,35.144,22,3842,130,85
1981,Bernard Hinault,France,27,Renault,96.19.38,96.327222,38.96,24,3753,150,121
1982,Bernard Hinault,France,28,Renault,92.08.46,92.146111,38.059,21,3507,169,125
1983,Laurent Fignon,France,23,Renault,105.07.52,105.13111,36.23,22,3809,140,88
1984,Laurent Fignon,France,24,Renault,112.03.40,112.06111,35.882,23,4021,170,124
1985,Bernard Hinault,France,31,La Vie Claire,113.24.23,113.40639,36.232,22,4109,180,144
1986,Greg LeMond,USA,25,La Vie Claire,110.35.19,110.58861,37.02,23,4094,210,132
1987,Stephen Roche,Ireland,28,Carrera,115.27.42,115.46167,36.645,25,4231,207,135
1988,Pedro Delgado,Spain,28,Reynolds,84.27.53,84.464722,38.909,22,3286,198,151
1989,Greg LeMond,USA,28,ADR,87.38.35,87.643056,37.487,21,3285,198,138
1990,Greg LeMond,USA,29,Z,90.43.20,90.722222,38.621,21,3504,198,156
1991,Miguel Induráin,Spain,27,Banesto,101.01.20,101.02222,38.747,22,3914,198,158
1992,Miguel Induráin,Spain,28,Banesto,100.49.30,100.825,39.504,21,3983,198,130
1993,Miguel Induráin,Spain,29,Banesto,95.57.09,95.9525,38.709,20,3714,180,136
1994,Miguel Induráin,Spain,30,Banesto,103.38.38,103.64389,38.383,21,3978,189,117
1995,Miguel Induráin,Spain,31,Banesto,92.44.59,92.749722,39.193,20,3635,189,115
1996,Bjarne Riis,Denmark,32,Deutsche Telekom,95.57.16,95.954444,39.227,21,3765,198,129
1997,Jan Ullrich,Germany,24,Telekom,100.30.35,100.50972,39.237,21,3950,198,139
1998,Marco Pantani,Italy,28,Mercatone Uno,92.49.46,92.829444,39.983,21,3875,189,96
1999,Lance Armstrong,USA,28,US Postal,91.32.16,91.537778,40.276,20,3870,180,141
2000,Lance Armstrong,USA,29,US Postal,92.33.08,92.552222,39.569,21,3662,177,128
2001,Lance Armstrong,USA,30,US Postal,86.17.28,86.291111,40.07,20,3458,189,144
2002,Lance Armstrong,USA,31,US Postal,82.05.12,82.086667,39.92,20,3278,189,153
2003,Lance Armstrong,USA,32,US Postal,83.41.12,83.686667,40.94,20,3427,198,147
2004,Lance Armstrong,USA,33,US Postal,83.36.02,83.600556,40.553,20,3391,188,147
2005,Lance Armstrong,USA,34,Discovery,86.15.02,86.250556,41.654,21,3593,189,155
2006,Pereiro Oscar,Spain,30,Caisse d'Epargne,89.39.30,89.658333,40.784,21,3657,176,139
2007,Contador Alberto,Spain,24,Discovery,91.00.26,91.007222,39.228,21,3570,189,141
2008,Sastre Carlos,Spain,33,CSC-Saxo Bank,87.52.52,87.881111,40.492,21,3559,180,145
2009,Contador Alberto,Spain,26,Astana,85.48.35,85.809722,40.315,21,3459.5,180,156
2010,Andy Schleck,Luxembourg,25,Saxo Bank,91.58.48,91.98,39.594,20,3642,198,170
2011,Cadel Evans,Australia,34,BMC,86.12.22,86.206111,39.788,21,3630,198,167
2012,Bradley Wiggins,Great Britain,32,Sky,87.34.47,87.579722,39.883,20,3497,198,153
2013,Christopher Froome,Great Britain,28,Sky,94.33.00,94.55,40.55,21,3404,198,169
2014,Vincezo Nibali,Italy,29,Astana,89.56.06,89.9343333,40.735,21,3663.5,198,164
