Year,Error24h,Error48h,Error72h
1970,84.3,185.8,253.8
1971,112.4,242,381.9
1972,142.3,390.6,689.2
1973,116.7,246.2,363.2
1974,97.1,206.5,348.3
1975,117,256.9,402.1
1976,127.9,285.2,433
1977,132.9,331,485.1
1978,144.2,323.5,423.3
1979,89.5,160.1,238.4
1980,128.6,273.2,404.8
1981,125.9,248.3,423
1982,131.3,244.6,271.3
1983,83.4,190.7,418
1984,131.7,265.3,387.4
1985,109.6,222.5,339.7
1986,107.4,237.5,383.5
1987,108.6,229.6,349.2
1988,71.6,143,230.8
1989,95.6,192.1,281.2
1990,100.8,194.1,301.7
1991,113.5,191.9,296.6
1992,82.9,167.8,279.9
1993,101,179.5,240.5
1994,102.7,209.6,341.6
1995,87.1,160.2,233.3
1996,72,128.1,189.8
1997,87.2,150.1,229.2
1998,83.9,144.3,201.8
1999,70.2,139.7,211.1
2000,70.6,131.8,220.7
2001,74.1,125.1,187.7
2002,66.6,122.4,177.9
2003,57.3,107.4,132.4
2004,53.7,94.4,143
2005,55.2,101.2,150.1
2006,48,96.6,147.3
2007,50.2,86.2,139.6
2008,48,87.5,124.7
2009,46,70.1,111.5
2010,49.9,80.8,123.8
2011,42.3,69.7,105
2012,38.5,65.7,95.2
