Institution,Resident,NonResident
Univ of Akron (OH),10130,18494
Athens State (AL),5760,10770
Ball State (IN),9610,24124
Bloomsburg U (PA),8582,18516
UC Irvine (CA),13149,36027
Central State (OH),6058,13510
Clarion U (PA),9404,12716
Dakota State,8286,10286
Fairmont State (WV),5824,12288
Johnson State (VT),10286,21950
Lock Haven U (PA),8898,16832
New College of Florida,6783,29812
Oakland U (MI),10613,23873
U Pittsburgh,17100,27106
Savannah State (GA),6340,18542
Louisiana State,5241,10973
W Liberty University (WV),6226,13540
Central Texas College,2130,6270
Worcester State (MA),8157,14237
