Year,Wname,Wtime,MName,Mtime
1977,Sharon Rahn,228.85,Jerome Drayton,134.76667
1978,Susan Schapiro,232.88333,Bill Rodgers,130.21667
1979,Sheryl Bair,207.93333,Bill Rodgers,129.45
1980,Sharon Limpert,169.06667,Bill Rodgers,132.18333
1981,Candace Cable-Brookes,158.68333,Toshihiko Seko,129.43333
1982,Candace Cable-Brookes,132.71667,Alberto Salazar,128.86667
1983,Sherry Ramsey,147.11667,Greg Meyer,129
1984,Sherry Ramsey,146.85,Geoff Smith,130.56667
1985,Candace Cable-Brookes,125.43333,Geoff Smith,134.08333
1986,Candace Cable-Brookes,129.46667,Robert de Castella,127.85
1987,Candace Cable-Brookes,139.91667,Toshihiko Seko,131.83333
1988,Candace Cable-Brookes,130.73333,Ibrahim Hussein,128.71667
1989,Connie Hansen,110.1,Abebe Mekonnen,129.1
1990,Jean Driscoll,103.28333,Gelindo Bordin,128.31667
1991,Jean Driscoll,102.7,Ibrahim Hussein,131.1
1992,Jean Driscoll,96.866667,Ibrahim Hussein,128.23333
1993,Jean Driscoll,94.833333,Cosmas Ndeti,129.55
1994,Jean Driscoll,94.366667,Cosmas Ndeti,127.25
1995,Jean Driscoll,100.68333,Cosmas Ndeti,129.36667
1996,Jean Driscoll,112.93333,Moses Tanui,129.25
1997,Louise Sauvage,114.46667,Lameck Aguta,130.56667
1998,Louise Sauvage,101.31667,Moses Tanui,127.56667
1999,Louise Sauvage,102.38333,Joseph Chebet,129.86667
2000,Jean Driscoll,120.86667,Elijah Lagat,129.78333
2001,Louise Sauvage,113.9,Lee Bong-Ju,129.71667
2002,Edith Hunkeler,105.95,Rodgers Rop,129.03333
2003,Christina Ripp,114.78333,Robert Kipkoech Cheruiyot,130.18333
2004,Cheri Blauwet,99.883333,Timothy Cherigat,130.61667
2005,Cheri Blauwet,107.75,Hailu Negussie,131.75
2006,Edith Hunkeler,103.7,Robert Kipkoech Cheruiyot,127.23333
2007,Wakako Tsuchida,113.5,Robert Kipkoech Cheruiyot,134.21667
2008,Wakako Tsuchida,108.5333,Robert Kipkoech Cheruiyot,127.7666
2009,Wakako Tsuchida,114.616666,Deriba Merga,128.7
2010,Wakako Tsuchida,103.53333,Robert Kipkoech Cheruiyot,125.85
2011,Wakako Tsuchida,94.1,Geoffrey Mutai,123.02
2012,Shirley Reilly,97.6,Wesley Korir,132.67
2013,Tatyana McFadden,105.4,Lelisa Desisa,130.367
