District Name,School Name,Enrollment,Average Score Math
Whitefish Bay,Whitefish Bay Hi,216,26.6754
Middleton-Cross Plains Area,Middleton Hi,464,26.0911
Mequon-Thiensville,Homestead Hi,397,25.2138
New Berlin,Eisenhower Mid/Hi,187,25.4911
Arrowhead UHS,Arrowhead Hi,580,24.8903
Elmbrook,East Hi,301,25.4509
Elmbrook,Central Hi,353,25.13
Madison Metropolitan,West Hi,468,25.2633
Platteville,Platteville Hi,119,25.027
Madison Metropolitan,Memorial Hi,436,25.8107
New Berlin,New Berlin Mid/Hi,185,24.7682
Waunakee Community,Waunakee Hi,308,24.3581
Spring Valley,Spring Valley Hi,53,24.6579
Waterloo,Waterloo Hi,62,24.6471
Ashwaubenon,Ashwaubenon Hi,287,24.5642
Neenah Joint,Neenah Hi,573,24.2151
Kohler,Kohler Hi,39,24.5
Oregon,Oregon Hi,316,23.7574
Rice Lake Area,Rice Lake Hi,200,24.2857
Wauwatosa,East Hi,297,24.2426
Lakeland UHS,Lakeland Hi,240,24.2365
Marshfield Unified,Marshfield Hi,331,23.6195
Appleton Area,North Hi,407,24.2096
Muskego-Norway,Muskego Hi,415,24.1083
Verona Area,Verona Area Hi,376,24.2169
Howard-Suamico,Bay Port Hi,466,23.1385
Hamilton,Hamilton Hi,303,23.7409
Port Washington-Saukville,Port Washington Hi,191,24.0704
Eau Claire Area,Memorial Hi,467,24.166
Mukwonago,Mukwonago Hi,432,23.4552
Loyal,Loyal Hi,42,23.9412
Greendale,Greendale Hi,228,23.9399
Nicolet UHS,Nicolet Hi,288,23.9188
Fennimore Community,Fennimore Hi,63,23.9032
Mellen,Mellen Hi,19,23.875
Hudson,Hudson Hi,391,24.0614
Onalaska,Onalaska Hi,232,23.8487
Crivitz,Crivitz Hi,62,23.7949
Athens,Athens Hi,51,23.7778
Kettle Moraine,Kettle Moraine Hi,385,24.5367
New Richmond,New Richmond Hi,209,23.7541
Waukesha,West Hi,342,23.2912
Slinger,Slinger Hi,240,23.7345
Hilbert,Hilbert Hi,53,23.7333
Phillips,Phillips Hi,76,23.68
Marathon City,Marathon Hi,59,23.6667
Stoughton Area,Stoughton Hi,267,23.6481
Highland,Highland Hi,30,23.6471
Shorewood,Shorewood Hi,147,23.624
Menomonee Falls,Menomonee Falls Hi,387,22.6523
Albany,Albany Hi,23,23.6
Grafton,Grafton Hi,233,23.5921
Germantown,Germantown Hi,366,22.952
Cambridge,Cambridge Hi,62,23.5652
Oshkosh Area,West Hi,453,23.9964
Sheboygan Falls,Sheboygan Falls Hi,139,23.5474
New Glarus,New Glarus Mid/Hi,63,23.5238
Cedar Grove-Belgium Area,Cedar Grove-Belgium Hi,78,23.5
Mount Horeb Area,Mount Horeb Hi,194,23.4887
Hayward Community,Hayward Hi,159,23.4615
D C Everest Area,D C Everest Hi,478,22.2979
Wauwatosa,West Hi,249,23.4464
Dodgeville,Dodgeville Hi,116,23.4348
Lancaster Community,Lancaster Hi,68,23.4318
McFarland,McFarland Hi,171,23.386
Lomira,Lomira Hi,77,23.3778
Hartford UHS,Hartford Hi,391,23.1644
Stanley-Boyd Area,Stanley-Boyd Hi,79,23.3421
Baraboo,Baraboo Hi,242,23.3333
River Ridge,River Ridge Hi,53,23.3214
Fall Creek,Fall Creek Hi,58,23.3056
De Pere,De Pere Hi,341,23.1538
Clear Lake,Clear Lake Hi,66,23.2857
West Bend,West Hi,254,23.2818
Wrightstown Community,Wrightstown Hi,113,23.2537
Greenwood,Greenwood Hi,27,23.25
Washburn,Washburn Hi,65,23.2222
Waterford UHS,Waterford Hi,270,23.2176
Algoma,Algoma Hi,58,23.2174
Freedom Area,Freedom Hi,129,23.186
Green Bay Area Public,Preble Hi,581,23.8617
Cedarburg,Cedarburg Hi,269,23.1577
Pulaski Community,Pulaski Hi,331,24.7047
Randolph,Randolph Hi,33,23.15
Kaukauna Area,Kaukauna Hi,322,22.1087
Southern Door County,Southern Door Hi,115,23.125
Benton,Benton Hi,25,23.0909
Stevens Point Area Public,Stevens Point Area Senior Hi,500,23.0621
Glenwood City,Glenwood City Hi,60,23.0606
Chequamegon,Chequamegon Hi,63,23.0588
Pewaukee,Pewaukee Hi,157,23.0448
Medford Area Public,Medford Hi,191,23.0364
Winneconne Community,Winneconne Hi,141,23.0227
Oshkosh Area,North Hi,315,22.6667
Ripon Area,Ripon Hi,126,23
Suring Public,Suring Hi,56,23
Viroqua Area,Viroqua Hi,78,22.9815
Seymour Community,Seymour Hi,209,22.9694
Wausau,West Hi,421,22.966
Tri-County Area,Tri-County Hi,47,22.963
Appleton Area,West Hi,365,23.55
Hortonville Area,Hortonville Hi,290,22.9392
Southwestern Wisconsin,Southwestern Wisconsin Hi,47,22.92
Port Edwards,John Edwards Hi,43,22.9091
Clintonville,Clintonville Hi,142,22.8788
