Name,Country,Skating Pair,Lane,Time
KLASSEN Cindy,Canada CAN,17,O,115.27
GROVES Kristina,Canada CAN,15,O,116.74
WUST Ireen,Netherlands NED,18,I,116.9
FRIESINGER Anni,Germany GER,17,I,117.31
SIMIONATO Chiara,Italy ITA,12,I,118.76
LOBYSHEVA Yekaterina,Russian Fed. RUS,11,O,118.87
NESBITT Christine,Canada CAN,16,O,119.15
RODRIGUEZ Jennifer,United States USA,16,I,119.3
GROENEWOLD Renate,Netherlands NED,15,I,119.33
ANSCHUETZ THOMS Daniela,Germany GER,13,I,119.74
WOJCICKA Katarzyna,Poland POL,9,O,119.96
WANG Fei,China CHN,13,O,120.13
van DEUTEKOM Paulien,Netherlands NED,14,O,120.15
TIMMER Marianne,Netherlands NED,5,O,120.45
TABATA Maki,Japan JPN,18,O,120.77
LEE Ju-Youn,Korea KOR,5,I,120.85
BJELKEVIK Annette,Norway NOR,10,O,121.03
RANEY Catherine,United States USA,10,I,121.17
HAUGLI Maren,Norway NOR,8,O,121.22
BARYSHEVA Varvara,Russian Fed. RUS,14,I,121.6
ABRAMOVA Yekaterina,Russian Fed. RUS,3,I,121.63
ISHINO Eriko,Japan JPN,9,I,121.85
JI Jia,China CHN,12,O,121.85
LAMB Maria,United States USA,3,O,122.12
YAKSHINA Valentina,Russian Fed. RUS,7,I,122.15
BJELKEVIK Hedvig,Norway NOR,8,I,122.16
ROKITA Anna Natalia,Austria AUT,6,I,122.19
REMPEL Shannon,Canada CAN,4,I,122.24
NEMOTO Nami,Japan JPN,2,O,122.34
OPITZ Lucille,Germany GER,7,O,122.75
MARRA Adelia,Italy ITA,6,O,123.07
NOH Seon Yeong,Korea KOR,4,O,123.35
OTSU Hiromi,Japan JPN,11,I,124.77
ZHANG Xiaolei,China CHN,2,I,125.75
OLTEAN Daniela,Romania ROM,1,I,129.24
