Item	Calories	Protein	Total Fat	Carbs(g)	Na/S	Meat?
Whopper	680	29	39	53	3.3813	Y
Whopper w/ Cheese	780	34	47	55	4.5875	Y
Double Whopper	920	48	57	53	2.8895	Y
Double Whopper w/ Cheese	1020	53	65	55	3.8624	Y
Hamburger	320	18	14	30	4.3089	Y
Cheeseburger	370	20	18	31	5.5147	Y
Double Hamburger	480	31	26	30	3.3721	Y
Double Cheeseburger	570	35	34	32	5.1777	Y
Double Cheeseburger w/ Bacon	610	38	37	32	5.7073	Y
Veggie Burger	330	14	10	43	.	N
BK Big Fish	710	24	38	67	4.5627	Y
BK Broiler Chicken	550	30	25	52	4.3023	Y
Chicken Tenders Sandwich	450	14	27	37	4.5946	Y
Chicken Tenders (4pc)	170	11	9	10	6.7742	Y
Fries (med)	360	4	18	46	5.8974	N
Onion rings (med)	320	4	16	40	5.0549	N
Jalapeno poppers (4pc)	230	7	13	22	10.2597	N
Mozzarella Sticks (4pc)	290	12	16	25	7.6136	N
Apple Pie	340	2	14	52	4.1593	N
"Croissan'wich w/Sausage, Egg&Cheese"	500	19	36	26	6.6667	Y
Biscuit	300	6	15	35	9.6512	N
"Biscuit w/Sausage, Egg&Cheese"	650	20	46	38	8.4656	Y
Biscuit w/ Sausage	510	13	35	35	9.084	Y
French Toast Stix (5)	390	6	20	46	3.9286	N
Cini-minis (4)	440	6	23	51	6.5741	N
Hash Brown Rounds (small)	240	2	15	23	6	N
Vanilla Shake (med)	440	12	8	79	0.8564	N
Chocolate Shake (Med w/ Syrup)	500	13	8	95	1.0353	N
Strawberry Shake (Med)	500	12	8	95	0.8235	N
Coke (med)	230	0	0	56	0	N
Tropicana OJ	140	2	0	33	0	N
1% Milk	110	8	2.5	12	0.5123	N
