City,State,Job Rating Index
Austin-Round Rock-San Marcos,TX,89.1
New Orleans-Metairie-Kenner,LA,88.9
Houston-Sugar Land-Baytown,TX,82.1
San Antonio-New Braunfels,TX,80.7
Dallas-Plano-Irving,TX Metropolitan Division,80.6
Washington-Arlington-Alexandria,DC-VA-MD-WV Metropolitan Division,74.1
Northern Virginia,VA,73.8
Nashville-Davidson--Murfreesboro--Franklin,TN,73.1
New York City,NY,72.6
Philadelphia City,PA,71.9
Pittsburgh,PA,71.7
Bethesda-Rockville-Frederick,MD Metropolitan Division,70.7
Boston-Cambridge-Quincy,MA NECTA Division,70.4
Raleigh-Cary,NC,67.8
Fort Worth-Arlington,TX Metropolitan Division,67.8
Rochester,NY,66.7
Nassau-Suffolk,NY Metropolitan Division,65.5
Buffalo-Niagara Falls,NY,64.7
Columbus,OH,64.3
Salt Lake City,UT,64.2
