Location,Jan,July
Amsterdam (Netherlands),41,69
Athens (Greece),54,90
Auckland (New Zealand),73,56
Beijing (China),35,87
Belgrade (Yugoslavia),38,81
Berlin (Germany),35,74
Cairo (Egypt),65,96
Calcutta (India),80,89
Copenhagen (Denmark),36,72
Dublin (Ireland),47,67
Glasgow (Scotland),43,66
Hamilton (Bermuda),68,85
Helsinki (Finland),27,71
Hong Kong (China),67,90
Istanbul (Turkey),48,78
Jerusalem (Israel),55,87
Lisbon (Portugal),56,79
London (United Kingdom),44,73
Madrid (Spain),50,89
Montreal (Canada),22,79
Moscow (Russia),21,76
Nassau (Bahamas),77,88
Oslo (Norway),30,73
Paris (France),42,76
Prague (Czech Republic),34,74
Quebec (Canada),19,77
Rome (Italy),54,88
Seoul (Korea),33,84
Stockholm (Sweden),31,70
Taipei (Taiwan),66,92
Tokyo (Japan),48,84
Toronto (Canada),30,79
Vancouver (Canada),42,71
Vienna (Austria),34,75
Zurich (Switzerland),36,77
