City,COL 2013,COL 2010
Oslo,170.04,152.85
Copenhagen,124.9,138.91
Zurich,166.51,132.03
Paris,125.02,130.3
Geneva,156.17,122.69
Milan,106.12,122.58
Dublin,121.5,120.79
Brussels,111.55,120
London,116.06,118.47
Berlin,86.65,115.24
Lyon,104.08,115.04
Helsinki,111.76,113.91
Tampere,109.04,111.96
Amsterdam,107.61,111.3
Stockholm,126.96,111.02
Oxford,109.15,110.15
Tampa,81.32,109.64
Munich,105.01,107.96
Sydney,139.25,104.83
Vienna,99.5,103.88
Madrid,88.27,103.67
Atlanta,77.77,100.99
Edmonton,105.24,100.36
Seattle,91.79,100.33
New York,100,100
