Body,Head,Species
177,35,Indian
264,49,Indian
311,56,Indian
382,64,Indian
385,61,Indian
475,71,Indian
548,83,Indian
343,51,Indian
386,62,Indian
338,52,Indian
319,52,Indian
224,39.5,Indian
202,38.3,Indian
218,37.5,Indian
183,32.3,Indian
203,35.8,Indian
209,38.2,Indian
161,24,Australian
179,24,Australian
226,32,Australian
259,35,Australian
287,40,Australian
300,40,Australian
342,46,Australian
333,48,Australian
406,52,Australian
459.4,60.5,Australian
376.2,50.7,Australian
380,53.5,Australian
265,37.6,Australian
349,45.9,Australian
263.6,37.6,Australian
