Race,Age,Proportion,Deaths,Death_Rate
Black,Under 1 year,0.024935627,7234,1051.3
Black,1‰€“4 years,0.003615907,1049,38.2
Black,5‰€“14 years,0.004064018,1179,17.6
Black,15‰€“24 years,0.023077692,6695,92.4
Black,25‰€“34 years,0.031243645,9064,151.1
Black,35‰€“44 years,0.04754108,13792,248.6
Black,45‰€“54 years,0.115488423,33504,579.3
Black,55‰€“64 years,0.185462605,53804,1257.8
Black,65‰€“74 years,0.183735656,53303,2465.2
Black,75‰€“84 years,0.199833165,57973,5217.6
Black,85 years and over,0.181002182,52510,12886.4
White,Under 1 year,0.00716792,15438,515.5
White,1‰€“4 years,0.001380375,2973,24.5
White,5‰€“14 years,0.001814034,3907,12.5
White,15‰€“24 years,0.010033602,21610,64.9
White,25‰€“34 years,0.01513862,32605,101.2
White,35‰€“44 years,0.024541697,52857,166.8
White,45‰€“54 years,0.066495246,143215,397.4
White,55‰€“64 years,0.120438507,259396,820.3
White,65‰€“74 years,0.162401341,349774,1823.5
White,75‰€“84 years,0.25609828,551575,4794
White,85 years and over,0.334490378,720413,14016.6
