Col1,Col2
Bloat,Cracker
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Little/None,Bran
Moderate/Severe,Bran
Moderate/Severe,Bran
Little/None,Gum
Little/None,Gum
Little/None,Gum
Little/None,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Moderate/Severe,Gum
Little/None,Combo
Little/None,Combo
Little/None,Combo
Little/None,Combo
Little/None,Combo
Little/None,Combo
Little/None,Combo
Moderate/Severe,Combo
Moderate/Severe,Combo
Moderate/Severe,Combo
Moderate/Severe,Combo
Moderate/Severe,Combo
Moderate/Severe,Combo
Little/None,Control
Little/None,Control
Little/None,Control
Little/None,Control
Little/None,Control
Little/None,Control
Little/None,Control
Little/None,Control
Moderate/Severe,Control
Moderate/Severe,Control
Moderate/Severe,Control
Moderate/Severe,Control
