Year,Manufacturer,Model,MSRP,Displacement,Engine Type,Cooling,Fuel System,Ignition,Starting System,Transmission,Wheel Base,Seat Height,Front Suspension,Rear Suspension,Front Brake,Rear Brake,Front Tire,Rear Tire,Fuel Capacity,Dry Weight,Bore,Stroke,Ratio,Weight,Rake,Trail,Tank,Air-Cooled
2014,Beta,250 RR,7999,249,"Beta-Built single cylinder, 2-stroke",Liquid-Cooled,Keihin PXK 36 mm,AC-CDI Kokusan,Electric with backup kick starter,Six Speed,58.3,36.6,"48mm Sachs USD fork, adjustable compression and rebound, TFX technology","Aluminum Body Sachs shock w/adjustable rebound, hi/lo speed compression",260 mm floating rotor,240 mm rotor,Michelin Enduro Competition,Michelin Enduro Competition,2.5 gal.,223 lbs.,66.4,72,12.8,223,27,,2.5,Liquid
2014,Honda,CRF110F,1999,109,"Single cylinder four stroke, SOHC; two-valve",Air-Cooled,13 mm piston-valve carburetor,CDI,Electric,Four speed with automatic clutch,41.9,26.3,31.0 mm telescopic fork; 3.9 inches of travel,Single-shock; 3.4 inches of travel,Drum,Drum,70/100-14,80/100-12,"1.1 gallons, including 0.3 gallons reserve",163 lbs. (Wet),50,,9,163,24.41666667,2,1.1,Air
2014,Honda,CRF125F,2799,124.9,"Single cylinder four stroke, SOHC; two-valve",Air-Cooled,20 mm piston-valve carburetor,DC-CDI,Electric,Four speed,48,28.9,31 mm telescopic fork; 5.5 inches of travel,Pro-Link single-shock; 4.5 inches of travel,220 mm hydraulic disc,Drum,70/100-17,90/100-14,"1.1 gallons, including 0.2-gallon reserve",192 lbs. (Wet),52.4,57.9,9,192,25.5,3.2,1.1,Air
2014,Honda,CRF450R,8699,449,Single-cylinder four-stroke,Liquid-Cooled,"Programmed Fuel Injection (PGM-FI), 46mm throttle body",Full transistor with electronic advance,Electric,Close-ratio five-speed,58.7,37.5,48 mm inverted KYB PSF(tm) (Pneumatic Spring Fork) with rebound and compression,"Pro-Link KYB single shock with spring preload, rebound damping adjustability",Single 240 mm disc with twin-piston caliper,Single 240 mm disc,80/100-21 Dunlop MX51FA,120/80-19 Dunlop MX51,1.66 gal.,242.7 lbs. (Wet),96,62.1,12.5,242.7,27.04,4.5,1.66,Liquid
2014,Honda,CRF450X,8440,449,"Single cylinder four stroke, Unicam, four-valve, 35 mm intake valve",Liquid-Cooled,Keihin 40 mm flat-slide carburetor with Throttle Position Sensor (TPS),CD with electronic advance and lighting coil,Electric,Wide-ratio five-speed,58.3,37.9,47 mm inverted Showa cartridge fork with 16-position rebound,"Pro-Link Showa single shock w/adjustable spring-preload, 17-position rebound",Single 240 mm disc with twin-piston caliper,Single 240 mm disc,80/100-21,110/100-18,"1.9 gallons, including 0.4 gallons reserve",269 lbs. (Wet),96,62,12,269,27.1,4.3,1.9,Liquid
2014,Honda,CRF50F,1399,49,"Single cylinder four stroke, SOHC; two-valve",Air-Cooled,13 mm piston-valve carburator,CD,Electric,Three-speed with automatic clutch,36,21.6,Inverted telescopic fork; 3.5-inch travel,Single-shock; 2.8-inch travel,Drum,Drum,2.50-10,2.50-10,"0.7 gallons, including 0.2 gallon reserve",110 lbs. (Wet),39,41.4,10,110,25,1.3,0.7,Air
2014,Kawasaki,KLX110,2299,111,"Four-stroke, SOHC, two-valve single",Air-Cooled,Mikuni PB18,CDI,Push Button Electric Start,Four-speed with automatic clutch,42.3,26.8,30 mm hydraulic telescopic fork / 4.3,Swingarm with single hydraulic shock / 4.3,Mechanical Drum,Mechanical Drum,2.50x14,3.00x12,1.0 gal.,168 lbs. (Wet),53,50.6,9.5,168,24.8,2,1,Air
2014,Kawasaki,KLX110L,2499,111,"Four-stroke, SOHC, two-valve single",Air-Cooled,Mikuni PB18,CDI,Push Button Electric Start,Four-speed,42.3,28.7,30 mm hydraulic telescopic fork / 5.5,Swingarm with single hydraulic shock / 5.2,Mechanical Drum,Mechanical Drum,2.50x14,3.00x12,1.0 gal.,168 lbs. (Wet),53,50.6,9.5,168,24.2,1.9,1,Air
2014,Kawasaki,KLX140,3099,144,"Four-stroke, SOHC, two-valve single",Air-Cooled,Keihin PB20,CDI,Push Button Electric Start,Five-speed with wet multi-disc manual clutch,49.6,30.7,33 mm telescopic fork / 7.1,UNI-TRAK linkage system and single shock with 5-way preload adjustability,Single 220 mm petal disc with a dual-piston caliper,Single 186 mm petal disc with single-piston caliper,70/100-17,90/100-14,1.5 gal.,205 lbs. (Wet),58,54.4,9.5,205,27,3.3,1.5,Air
2014,Kawasaki,KX100,4599,99,Two-stroke single with KIPS,Liquid-Cooled,Keihin PWK28,Digital CDI,Electric,Six Speed,51.6,34.3,36 mm inverted telescopic cartridge fork with 20-way compression damping,Uni-Trak single shock system with 24-way compression,Hydraulic disc,Disc,70/100x19,90/100x16,1.32 gal.,169.7 lbs. (Wet),52.5,45.8,10.2,169.7,29,4.3,1.32,Liquid
2014,Kawasaki,KX250F,7599,249,"Four-stroke, DOHC, four-valve single cylinder",Liquid-Cooled,DFI with 43 mm Keihin throttle body and dual injectors,Digital CDI,Electric,Five-speed with wet multi-disc manual clutch,58.1,37.2,48 mm inverted Showa SFF telescopic fork w/40-way spring preload adjustability,Uni-Trak linkage system and Showa shock with 9 position low-speed,Single semi-floating 250 mm petal disc with dual piston caliper,Single 240 mm petal disc with single-piston caliper,80/100-21,100/90-19,1.61 gal.,233.6 lbs. (Wet),77,53.6,13.8,233.6,28.7,5,1.61,Liquid
2014,Kawasaki,KX450F,8699,449,"Four-stroke, DOHC, four-valve single cylinder",Liquid-Cooled,DFI with 43 mm Keihin throttle body,Digital DC-CDI,Electric,Five-Speed,58.3,37.6,"48 mm inverted, Kayaba PSF with DLC coated sliders, 22-position compression",UNI-TRAK linkage system and Kayaba shock with 50 mm piston,Single rigid-mount 250mm petal disc with dual-piston caliper,Single 240 mm petal disc with single-piston caliper,80/100-21,120/80-19,1.64 gal.,248 lbs. (Wet),96,62.1,12.5,248,26.9,4.4,1.64,Liquid
2014,Kawasaki,KLX140L,3399,144,"Four-stroke, SOHC, two-valve single",Air-Cooled,Keihin PB20,CDI,Push Button Electric Start,Five-speed with wet multi-disc manual clutch,50.6,31.5,33 mm telescopic fork / 7.1,Uni-Trak linkage system and single shock with piggyback reservoir,Single 220 mm petal disc with a dual-piston caliper,Single 186 mm petal disc with single-piston caliper,70/100-19,90/100-16,1.5 gal.,209.4 lbs.,58,54.4,9.5,209.4,27,3.8,1.5,Air
2014,Kawasaki,KX65,3699,64.7,Two-stroke single,Liquid-Cooled,Mikuni VM24SS,Digital CDI,Electric,Six Speed,44.1,29.9,33 mm leading axle conventional fork with four-way rebound damping / 8.3,Uni-Trak single shock system with four-way rebound damping,Hydraulic disc,Disc,60/100x14,80/100x12,1.0 gal.,132.2lbs. (Wet),44.5,41.6,8.4,,27,2.4,1,Liquid
2014,Kawasaki,KX85,4349,85,Two-stroke single with KIPS,Liquid-Cooled,Keihin PWK28,Digital CDI,Electric,Six Speed,49.8,32.7,36 mm inverted telescopic cartridge fork with 20-way compression damping,UNI-TRAK single-shock system with 24-way compression,Hydraulic disc,Disc,70/100x17,90/100x14,1.32 gal.,165.3 lbs. (Wet),48.5,45.8,10.9,165.3,29,3.8,1.32,Liquid
2014,KTM,125 SX,6499,124.8,1-cylinder 2-stroke engine with reed intake and exhaust control,Water-Cooled,NA,Contactless controlled fully electronic ignition w/digital ignition adjustment,Kickstart,"Six Speed, claw shifted, Multidisc clutch in oil bath/hydraulically activated",58.2,39.06,WP Suspension Up Side Down 4860 MXMA  / 11.8,WP Suspension 5018 BAVP D / 12.48,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,1.98 gal.,200.2 lbs.,54,54.5,,200.2,,,1.98,Liquid
2014,KTM,150 SX,6599,143.6,"1-cylinder 2-stroke engine, with reed intake and exhaust control",Water-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kickstart,"Six Speed, claw shifted, Multidisc clutch in oil bath/hydraulically activated",58.2,39.06,WP Suspension Up Side Down 4860 MXMA  / 11.81,WP Suspension 5018 BAVP D / 12.48,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,1.98 gal.,200.2 lbs.,56,58.4,,200.2,,,1.98,Liquid
2014,KTM,250 SX,7199,249,1-cylinder 2-stroke engine with reed intake and exhaust control,Water-Cooled,NA,Contactless controlled fully electronic ignition w/digital ignition adjustment,Kickstart,"Six Speed, claw shifted, Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,"WP Suspension Up Side Down 4860 MXMA , 300 mm",WP Suspension 5018 BAVP D / 12.48,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,1.98 gal.,212.3 lbs.,66.4,72,,212.3,,,1.98,Liquid
2014,KTM,250 SX-F,7999,249.91,1-cylinder 4-stroke,Water-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"Five speed, claw shifted, DDS-Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,1.98 gal.,226.2 lbs.,78,52.3,,226.2,,,1.98,Liquid
2014,KTM,250 XC,8299,249,"1-cylinder 2-stroke, with reed intake and exhaust control",Water-Cooled,Digital Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Kickstart with electric start,"Six Speed, claw shifted, Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.6 gal.,229.1 lbs.,66.4,72,,229.1,,,2.6,Liquid
2014,KTM,150 XC,7199,143.6,1-cylinder 2-stroke engine with reed intake and exhaust control,Water-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kickstart,"Six Speed, claw shifted, Multidisc clutch in oil bath/hydraulically activated",58.2,39.06,"WP Suspension Up Side Down 4860 MXMA ,300","WP Suspension 5018 BAVP D, 317 mm","Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.6 gal.,207.5 lbs.,56,58.4,,207.5,,,2.6,Liquid
2014,KTM,300 XC,8499,293.2,"1-cylinder 2-stroke, with reed intake and exhaust control",Water-Cooled,Digital Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Kickstart with electric start,"Six Speed, claw shifted, Multidisc clutch DDS in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.6 gal.,229.1 lbs.,72,72,,229.1,,,2.6,Liquid
2014,KTM,250 XC-F,8599,249.91,1-cylinder 4-stroke,Water-Cooled,Digital Fuel Injection,Contactless controlled fully electronic ignition with digital ignition adjustment,Electric,"Five speed, claw shifted, CSS Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.4 gal.,233 lbs.,78,52.3,,233,,,2.4,Liquid
2014,KTM,350 SX-F,8749,349.7,1-cylinder 4-stroke,Water-Cooled,NA,Contactless controlled fully electronic ignition w/digital ignition adjustment,Electric,"Five speed, claw shifted, DDS-Multidisc clutch in oil bath/hydraulically activated",58.8,39.06,WP Suspension Up Side Down 4860 MXMA,WP Suspension 5018 BAVP D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,1.98 gal.,231.3 lbs.,88,57.5,,231.3,,,1.98,Liquid
2014,KTM,350 EXC-F,9899,349.7,1-cylinder 4-stroke,Water-Cooled,NA,Contactless controlled fully electronic ignition with digital ignition adjustment,Kick starter and electric starter,DDS Multidisc clutch in oil bath/hydraulically activated,58.3,38.1,WP Suspension Up Side Down 4860 MXMA PA,WP Suspension PDS 5018 D,"Disc brakes, brake calipers on floating bearings, 260 mm","Disc brakes, brake calipers on floating bearings, 220 mm",,,2.25 gal.,241.4 lbs.,88,57.5,,241.4,,,2.25,Liquid
