Year,DJIA Average Close
1972,950.1169721
1973,924.0696825
1974,759.1293676
1975,802.8885771
1976,975.2009881
1977,894.3286111
1978,821.1335714
1979,844.3960079
1980,891.1242293
1981,932.9466008
1982,884.5283399
1983,1190.780395
1984,1178.55004
1985,1327.994206
1986,1793.104032
1987,2277.533636
1988,2061.475889
1989,2510.335754
1990,2679.45253
1991,2929.036206
1992,3284.077559
1993,3524.917708
1994,3794.221905
1995,4494.27623
1996,5739.626299
1997,7447.032846
1998,8630.740198
1999,10481.21234
2000,10729.33726
2001,10208.62766
2002,9213.416587
2003,9006.50381
2004,10315.49238
2005,10546.19579
2006,11409.51849
2007,13178.26259
2008,11243.75229
2009,8886.089881
2010,10668.59409
2011,11958.35282
2012,12964.78036
2013,15009.75996
