Country,Canabis,Cocaine
Austria,3.5,0.9
Belgium,5.1,0.9
Cyprus,4.4,1.2
Czeh republic,15.2,0.7
Denmark,5.5,1.4
Estonia,6,1.4
Finland,3.1,0.5
France,8.6,0.6
Germany,4.8,0.9
Gibraltar,5.2,
Greece,1.7,0.1
Greenland,7.6,0.4
Hungary,2.3,0.2
Iceland,3.4,1.7
Isle of Man,9.4,3.5
Italy,14.6,2.2
Latvia,4.9,0.5
Liechtenstein,8.6,0.8
Lithuania,5.6,0.2
Luxembourg,7.6,0.9
Malta,4.5,1.1
Monaco,8.9,1.9
Monaco,8.9,1.9
Netherlands,5.4,0.6
Norway,4.6,0.8
Poland,2.7,0.2
Portugal,3.6,0.6
Slovakia,6.9,0.6
Slovenia,4.1,0.9
Spain,10.6,2.6
Sweden,1.2,0.5
Switzerland,3.4,0.2
United Kingtom,6.6,2.5
