Tuition,Enrollment,Acceptance,Retention,Grad
40170,8010,0.079,0.98,0.96
42292,19726,0.061,0.98,0.97
44000,11906,0.071,0.99,0.96
49138,23168,0.074,0.99,0.97
43245,18217,0.066,0.98,0.95
46386,12508,0.132,0.99,0.92
45476,15386,0.134,0.97,0.95
43498,11189,0.09,0.97,0.93
45890,21339,0.126,0.98,0.96
41538,2243,0.118,0.98,0.92
46752,6277,0.098,0.98,0.96
45470,21001,0.177,0.97,0.94
45527,20439,0.153,0.97,0.93
45612,8885,0.096,0.98,0.95
44841,13952,0.179,0.97,0.94
45359,21424,0.166,0.96,0.93
42978,12710,0.142,0.96,0.92
38941,6484,0.167,0.96,0.92
44605,12126,0.233,0.98,0.95
44008,14236,0.263,0.95,0.9
44805,17357,0.17,0.96,0.93
,35899,0.18,0.97,0.91
46962,12569,0.278,0.96,0.87
,41341,0.22,0.97,0.92
