Season	AvgWindSpeed	Month	Day	DayofYear	AvgTempC	AvgTempF	MaxWindSpeed	AvgBarom	Precip
Winter	0.53	1	1	1	5.21	41.38	8.55	1011.47	0
Winter	2.13	1	2	2	2.53	36.55	27.4	1008.17	0.07
Winter	4.43	1	3	3	-4.17	24.5	26.74	1011.17	0
Winter	0.43	1	4	4	-3.97	24.85	11.84	1005.7	0
Winter	3.38	1	5	5	-3.13	26.37	26.08	1001.78	0
Winter	0.82	1	6	6	-7.05	19.31	13.15	998.5	0
Winter	2.33	1	7	7	-6.14	20.95	17.97	992.08	0.1
Winter	2.01	1	8	8	-4.6	23.73	15.56	991.13	0.01
Winter	3.82	1	9	9	-6.17	20.89	28.72	1001.66	0.05
Winter	2.39	1	10	10	-7.89	17.8	27.62	1014.19	0
Winter	1.7	1	11	11	-7.45	18.59	13.59	1014.85	0
Winter	3.76	1	12	12	-7.29	18.88	25.43	998.73	0.82
Winter	2.98	1	13	13	-8.4	16.89	17.54	1012.61	0.26
Winter	1.59	1	14	14	-12.03	10.35	11.4	1018.08	0
Winter	1.77	1	15	15	-10.49	13.11	16	1010.4	0.01
Winter	4.03	1	16	16	-5.79	21.59	21.48	1009.59	0
Winter	1.24	1	17	17	-13.59	7.54	17.76	1019.31	0
Winter	3.13	1	18	18	-4.32	24.22	19.51	1008.59	0.76
Winter	1.09	1	19	19	-3.41	25.86	9.86	1001.1	0.07
Winter	1.01	1	20	20	-7.83	17.91	15.56	1008.14	0
Winter	3.51	1	21	21	-7.83	17.91	28.72	996.99	0.35
Winter	1.25	1	22	22	-13.06	8.5	20.17	1005.51	0
Winter	1.89	1	23	23	-16.42	2.44	19.95	1009.26	0
Winter	0.93	1	24	24	-21.27	-6.29	9.86	1021.21	0
Winter	0.63	1	25	25	-8.8	16.17	7.67	1013.82	0.02
Winter	1.26	1	26	26	-4.22	24.41	14.69	1007.69	0
Winter	2.54	1	27	27	-4.78	23.39	20.6	1000.29	0.01
Winter	0.25	1	28	28	-5.98	21.23	8.55	1003.47	0.01
Winter	0.62	1	29	29	-4.14	24.54	10.74	1005.79	0
Winter	2.25	1	30	30	-5.53	22.05	20.82	1011.52	0
Winter	2.19	1	31	31	-10.89	12.39	18.41	1022.74	0
Winter	1.09	2	1	32	-9.37	15.14	9.64	1020.01	0.52
Winter	5.15	2	2	33	-5.48	22.14	28.06	1005.8	0.71
Winter	2.66	2	3	34	-9.95	14.09	23.89	1016.11	0
Winter	1.16	2	4	35	-8.23	17.18	19.07	1013.5	0
Winter	1.64	2	5	36	-4.16	24.51	21.7	1001.34	0.57
Winter	3.93	2	6	37	-0.63	30.87	40.55	1002.12	0.17
Winter	0.68	2	7	38	-0.52	31.07	9.43	1007.39	0.05
Winter	3.1	2	8	39	-5.18	22.68	28.93	999.14	0.42
Winter	2.58	2	9	40	-8.63	16.47	24.11	1010.44	0
Winter	2.65	2	10	41	-10.18	13.68	17.97	1008.36	0
Winter	0.95	2	11	42	-12.54	9.43	14.69	1011.14	0
Winter	2.55	2	12	43	-5.86	21.45	32	1004.43	0
Winter	2.07	2	13	44	-3.27	26.11	28.06	1005.86	0.01
Winter	3.18	2	14	45	3.54	38.37	37.7	993.47	0.02
Winter	3.94	2	15	46	-9.07	15.67	28.06	1016.05	0
Winter	1.13	2	16	47	-4.34	24.18	15.56	1017	0
Winter	0.06	2	17	48	3.46	38.22	5.7	1012.1	0
Winter	1.52	2	18	49	7.77	45.99	28.5	1000.24	0
Winter	6.73	2	19	50	-5.09	22.84	39.46	1000.23	0.09
Winter	3.3	2	20	51	-9.51	14.88	32.44	1012.74	0
Winter	2.35	2	21	52	-8.74	16.26	17.97	1005.12	0.04
Winter	2.67	2	22	53	-11.37	11.53	17.76	1012.97	0
Winter	1.52	2	23	54	-9.57	14.78	14.25	1019.3	0
Winter	1.41	2	24	55	-3.75	25.25	23.02	1013.9	0
Winter	0.02	2	25	56	-1.42	29.44	5.48	998.2	1.06
Winter	0.88	2	26	57	-4.18	24.48	23.24	1011.66	0.01
Winter	1.25	2	27	58	-2.61	27.3	9.43	1009.13	0.17
Winter	4.89	2	28	59	0.53	32.95	34.85	1001.69	0.42
Winter	2.84	3	1	60	-4.37	24.14	23.02	1014.93	0
Winter	3.4	3	2	61	-3.63	25.46	34.2	1011.72	0.01
Winter	2.53	3	3	62	-11.92	10.54	19.95	1028.28	0
Winter	2.94	3	4	63	-5.31	22.45	19.73	1029.47	0
Winter	4.46	3	5	64	4.85	40.73	29.59	1019.83	0.02
Winter	2.41	3	6	65	4.9	40.82	20.39	1008.48	1.89
Winter	0.63	3	7	66	-4.75	23.46	12.71	1006.57	0.54
