Year,Year#,Date,Winner,Mins,Secs,Time in Sec,Distance,Speed (mph)
1875,1,###############################################################################################################################################################################################################################################################,Aristides,2,37.75,157.75,1.5,34.23137876
1876,2,###############################################################################################################################################################################################################################################################,Vagrant,2,38.25,158.25,1.5,34.12322275
1877,3,###############################################################################################################################################################################################################################################################,Baden-Baden,2,38,158,1.5,34.17721519
1878,4,###############################################################################################################################################################################################################################################################,Day Star,2,37.25,157.25,1.5,34.34022258
1879,5,###############################################################################################################################################################################################################################################################,Lord Murphy,2,37,157,1.5,34.39490446
1880,6,###############################################################################################################################################################################################################################################################,Fonso,2,37.5,157.5,1.5,34.28571429
1881,7,###############################################################################################################################################################################################################################################################,Hindoo,2,40,160,1.5,33.75
1882,8,###############################################################################################################################################################################################################################################################,Apollo,2,40.25,160.25,1.5,33.69734789
1883,9,###############################################################################################################################################################################################################################################################,Leonatus,2,43,163,1.5,33.12883436
1884,10,###############################################################################################################################################################################################################################################################,Buchanan,2,40.25,160.25,1.5,33.69734789
1885,11,###############################################################################################################################################################################################################################################################,Joe Cotton,2,37.25,157.25,1.5,34.34022258
1886,12,###############################################################################################################################################################################################################################################################,Ben Ali,2,36.5,156.5,1.5,34.50479233
1887,13,###############################################################################################################################################################################################################################################################,Montrose,2,39.25,159.25,1.5,33.9089482
1888,14,###############################################################################################################################################################################################################################################################,Macbeth II,2,38.25,158.25,1.5,34.12322275
1889,15,###############################################################################################################################################################################################################################################################,Spokane,2,34.5,154.5,1.5,34.95145631
1890,16,###############################################################################################################################################################################################################################################################,Riley,2,45,165,1.5,32.72727273
1891,17,###############################################################################################################################################################################################################################################################,Kingman,2,52.25,172.25,1.5,31.34978229
1892,18,###############################################################################################################################################################################################################################################################,Azra,2,41.5,161.5,1.5,33.43653251
1893,19,###############################################################################################################################################################################################################################################################,Lookout,2,39.25,159.25,1.5,33.9089482
1894,20,###############################################################################################################################################################################################################################################################,Chant,2,41,161,1.5,33.54037267
1895,21,###############################################################################################################################################################################################################################################################,Halma,2,37.5,157.5,1.5,34.28571429
1896,22,###############################################################################################################################################################################################################################################################,Ben Brush,2,7.75,127.75,1.25,35.22504892
1897,23,###############################################################################################################################################################################################################################################################,Typhoon II,2,12.5,132.5,1.25,33.96226415
1898,24,###############################################################################################################################################################################################################################################################,Plaudit,2,9,129,1.25,34.88372093
1899,25,###############################################################################################################################################################################################################################################################,Manuel,2,12,132,1.25,34.09090909
1900,26,5/3/00,Lieut. Gibson,2,6.25,126.25,1.25,35.64356436
1901,27,4/29/01,His Eminence,2,7.75,127.75,1.25,35.22504892
1902,28,5/3/02,Alan-a-Dale,2,8.75,128.75,1.25,34.95145631
1903,29,5/2/03,Judge Himes,2,9,129,1.25,34.88372093
1904,30,5/2/04,Elwood,2,8.5,128.5,1.25,35.01945525
1905,31,5/10/05,Agile,2,10.75,130.75,1.25,34.416826
1906,32,5/2/06,Sir Huon,2,8.8,128.8,1.25,34.9378882
1907,33,5/6/07,Pink Star,2,12.6,132.6,1.25,33.93665158
1908,34,5/5/08,Stone Street,2,15.2,135.2,1.25,33.28402367
1909,35,5/3/09,Wintergreen,2,8.2,128.2,1.25,35.10140406
1910,36,5/10/10,Donau,2,6.4,126.4,1.25,35.60126582
1911,37,5/13/11,Meridian,2,5,125,1.25,36
1912,38,5/11/12,Worth,2,9.4,129.4,1.25,34.77588872
1913,39,5/10/13,Donerail,2,4.8,124.8,1.25,36.05769231
1914,40,5/9/14,Old Rosebud,2,3.4,123.4,1.25,36.46677472
1915,41,5/8/15,Regret,2,5.4,125.4,1.25,35.88516746
1916,42,5/13/16,George Smith,2,4,124,1.25,36.29032258
1917,43,5/12/17,*Omar Khayyam,2,4.6,124.6,1.25,36.11556982
1918,44,5/11/18,Exterminator,2,10.8,130.8,1.25,34.40366973
1919,45,5/10/19,Sir Barton,2,9.8,129.8,1.25,34.66872111
1920,46,5/8/20,Paul Jones,2,9,129,1.25,34.88372093
1921,47,5/7/21,Behave Yourself,2,4.2,124.2,1.25,36.23188406
1922,48,5/13/22,Morvich,2,4.6,124.6,1.25,36.11556982
1923,49,5/19/23,Zev,2,5.4,125.4,1.25,35.88516746
1924,50,5/17/24,Black Gold,2,5.2,125.2,1.25,35.94249201
1925,51,5/16/25,Flying Ebony,2,7.6,127.6,1.25,35.26645768
1926,52,5/15/26,Bubbling Over,2,3.8,123.8,1.25,36.34894992
1927,53,5/14/27,Whiskery,2,6,126,1.25,35.71428571
1928,54,5/19/28,Reigh Count,2,10.4,130.4,1.25,34.50920245
1929,55,5/18/29,Clyde Van Dusen,2,10.8,130.8,1.25,34.40366973
1930,56,5/17/30,Gallant Fox,2,7.6,127.6,1.25,35.26645768
1931,57,5/16/31,Twenty Grand,2,1.8,121.8,1.25,36.94581281
1932,58,5/7/32,Burgoo King,2,5.2,125.2,1.25,35.94249201
1933,59,5/6/33,Brokers Tip,2,6.8,126.8,1.25,35.48895899
1934,60,5/5/34,Cavalcade,2,4,124,1.25,36.29032258
1935,61,5/4/35,Omaha,2,5,125,1.25,36
1936,62,5/2/36,Bold Venture,2,3.6,123.6,1.25,36.40776699
1937,63,5/8/37,War Admiral,2,3.2,123.2,1.25,36.52597403
1938,64,5/7/38,Lawrin,2,4.8,124.8,1.25,36.05769231
1939,65,5/6/39,Johnstown,2,3.4,123.4,1.25,36.46677472
1940,66,5/4/40,Gallahadion,2,5,125,1.25,36
1941,67,5/3/41,Whirlaway,2,1.4,121.4,1.25,37.06754531
1942,68,5/2/42,Shut Out,2,4.4,124.4,1.25,36.17363344
1943,69,5/1/43,Count Fleet,2,4,124,1.25,36.29032258
1944,70,5/6/44,Pensive,2,4.2,124.2,1.25,36.23188406
1945,71,6/9/45,Hoop Jr.,2,7,127,1.25,35.43307087
1946,72,5/4/46,Assault,2,6.6,126.6,1.25,35.5450237
1947,73,5/3/47,Jet Pilot,2,6.8,126.8,1.25,35.48895899
1948,74,5/1/48,Citation,2,5.4,125.4,1.25,35.88516746
1949,75,5/7/49,Ponder,2,4.2,124.2,1.25,36.23188406
1950,76,5/6/50,Middleground,2,1.6,121.6,1.25,37.00657895
1951,77,5/5/51,Count Turf,2,2.6,122.6,1.25,36.70473083
1952,78,5/3/52,Hill Gail,2,1.6,121.6,1.25,37.00657895
1953,79,5/2/53,Dark Star,2,2,122,1.25,36.8852459
1954,80,5/1/54,Determine,2,3,123,1.25,36.58536585
1955,81,5/7/55,Swaps,2,1.8,121.8,1.25,36.94581281
1956,82,5/5/56,Needles,2,3.4,123.4,1.25,36.46677472
1957,83,5/4/57,Iron Liege,2,2.2,122.2,1.25,36.82487725
1958,84,5/3/58,Tim Tam,2,5,125,1.25,36
1959,85,5/2/59,*Tomy Lee,2,2.2,122.2,1.25,36.82487725
1960,86,5/7/60,Venetian Way,2,2.4,122.4,1.25,36.76470588
1961,87,5/6/61,Carry Back,2,4,124,1.25,36.29032258
1962,88,5/5/62,Decidedly,2,0.4,120.4,1.25,37.37541528
1963,89,5/4/63,Chateaugay,2,1.8,121.8,1.25,36.94581281
1964,90,5/2/64,Northern Dancer,2,0,120,1.25,37.5
1965,91,5/1/65,Lucky Debonair,2,1.2,121.2,1.25,37.12871287
1966,92,5/7/66,Kauai King,2,2,122,1.25,36.8852459
1967,93,5/6/67,Proud Clarion,2,0.6,120.6,1.25,37.31343284
1968,94,5/4/68,Forward Pass**,2,2.2,122.2,1.25,36.82487725
1969,95,5/3/69,Majestic Prince,2,1.8,121.8,1.25,36.94581281
1970,96,5/2/70,Dust Commander,2,3.4,123.4,1.25,36.46677472
1971,97,5/1/71,Canonero II,2,3.2,123.2,1.25,36.52597403
1972,98,5/6/72,Riva Ridge,2,1.8,121.8,1.25,36.94581281
1973,99,5/5/73,Secretariat,1,59.4,119.4,1.25,37.68844221
1974,100,5/4/74,Cannonade,2,4,124,1.25,36.29032258
1975,101,5/3/75,Foolish Pleasure,2,2,122,1.25,36.8852459
1976,102,5/1/76,Bold Forbes,2,1.6,121.6,1.25,37.00657895
1977,103,5/7/77,Seattle Slew,2,2.2,122.2,1.25,36.82487725
1978,104,5/6/78,Affirmed,2,1.2,121.2,1.25,37.12871287
1979,105,5/5/79,Spectacular Bid,2,2.2,122.2,1.25,36.82487725
1980,106,5/3/80,Genuine Risk,2,2,122,1.25,36.8852459
1981,107,5/2/81,Pleasant Colony,2,2,122,1.25,36.8852459
1982,108,5/1/82,Gato Del Sol,2,2.4,122.4,1.25,36.76470588
1983,109,5/7/83,SunnyÍs Halo,2,2.2,122.2,1.25,36.82487725
1984,110,5/5/84,Swale,2,2.4,122.4,1.25,36.76470588
1985,111,5/4/85,Spend a Buck,2,0.2,120.2,1.25,37.43760399
1986,112,5/3/86,Ferdinand,2,2.8,122.8,1.25,36.64495114
1987,113,5/2/87,Alysheba,2,3.4,123.4,1.25,36.46677472
1988,114,5/7/88,Winning Colors,2,2.2,122.2,1.25,36.82487725
1989,115,5/6/89,Sunday Silence,2,5,125,1.25,36
1990,116,5/5/90,Unbridled,2,2,122,1.25,36.8852459
1991,117,5/4/91,Strike the Gold,2,3,123,1.25,36.58536585
1992,118,5/2/92,Lil E. Tee,2,3,123,1.25,36.58536585
1993,119,5/1/93,Sea Hero,2,2.4,122.4,1.25,36.76470588
1994,120,5/7/94,Go for Gin,2,3.6,123.6,1.25,36.40776699
1995,121,5/6/95,Thunder Gulch,2,1.2,121.2,1.25,37.12871287
1996,122,5/4/96,Grindstone,2,1,121,1.25,37.19008265
1997,123,5/3/97,Silver Charm,2,2.4,122.4,1.25,36.76470588
1998,124,5/2/98,Real Quiet,2,4.2,124.2,1.25,36.23188406
1999,125,5/1/99,Charismatic,2,3.2,123.2,1.25,36.52597403
2000,126,5/6/00,Fusaichi Pegasus,2,1,121,1.25,37.19008265
2001,127,5/5/01,Monarchos,1,59.97,119.97,1.25,37.50937734
2002,128,5/4/02,War Emblem,2,1.1,121.1,1.25,37.15937242
2003,129,5/3/03,Funny Cide,2,1.19,121.19,1.25,37.13177655
2004,130,5/1/04,Smarty Jones,2,4.06,124.06,1.25,36.27277124
2005,131,5/7/05,Giacomo,2,2.75,122.75,1.25,36.6598778
2006,132,5/6/06,Barbaro,2,1.36,121.36,1.25,37.07976269
2007,133,5/5/07,Street Sense,2,2.17,122.17,1.25,36.83391995
2008,134,5/2/08,Big Brown,2,1.82,121.82,1.25,36.93974717
2009,135,5/2/09,Mine That Bird,2,2.66,122.66,1.25,36.68677646
2010,136,5/1/10,Super Saver,2,4.04,124.04,1.25,36.2786198
2011,137,5/7/11,Animal Kingdom,2,2.04,122.04,1.25,36.87315634
2012,138,5/5/12,I'll Have Another,2,1.83,121.83,1.25,36.9367151
2013,139,5/4/13,Orb,2,2.89,122.89,1.25,36.61811376
2014,140,5/2/14,California Chrome2,2,3.66,123.66,1.25,36.39010189
