Year,Month,Domestic,International,Total,Time
2000,1,61.97,66.63,64.07,2000.08333
2000,2,66.2,67.12,66.61,2000.16667
2000,3,73.19,75.63,74.26,2000.25
2000,4,73.02,75.18,74,2000.33333
2000,5,73.25,76.1,74.55,2000.41667
2000,6,78.6,82.19,80.26,2000.5
2000,7,77.96,82.4,80.03,2000.58333
2000,8,75.5,81.5,78.28,2000.66667
2000,9,66.22,76.73,71.12,2000.75
2000,10,68.75,72.97,70.66,2000.83333
2000,11,70.36,70.38,70.37,2000.91667
2000,12,68.43,69.9,69.1,2001
2001,1,62.14,69.42,65.41,2001.08333
2001,2,65.78,66.86,66.26,2001.16667
2001,3,73,74.2,73.54,2001.25
2001,4,71.91,72.71,72.27,2001.33333
2001,5,69.79,71.96,70.77,2001.41667
2001,6,75.13,80.93,77.77,2001.5
2001,7,75.69,79.86,77.58,2001.58333
2001,8,75.72,80.02,77.67,2001.66667
2001,9,55.71,65.65,60.34,2001.75
2001,10,64.69,57.01,61.31,2001.83333
2001,11,68.09,62.78,65.86,2001.91667
2001,12,66.96,70.46,68.45,2002
2002,1,62.83,72.16,66.79,2002.08333
2002,2,66.83,72.05,69,2002.16667
2002,3,74.54,80.23,76.91,2002.25
2002,4,70.61,73.41,71.79,2002.33333
2002,5,70.98,75.08,72.75,2002.41667
2002,6,75.09,81.37,77.8,2002.5
2002,7,75.62,79.9,77.48,2002.58333
2002,8,75.66,80.61,77.82,2002.66667
2002,9,62.89,74.33,67.93,2002.75
2002,10,67.88,72.85,70.01,2002.83333
2002,11,66.62,69.86,68,2002.91667
2002,12,72.88,73.42,73.11,2003
2003,1,64.4,72.5,67.9,2003.08333
2003,2,68.1,68.89,68.43,2003.16667
2003,3,72.43,69.36,71.14,2003.25
2003,4,72.13,66.78,69.97,2003.33333
2003,5,73.98,72.42,73.35,2003.41667
2003,6,78.58,80.01,79.18,2003.5
2003,7,80.98,81.56,81.23,2003.58333
2003,8,78.74,82.39,80.31,2003.66667
2003,9,66.93,75.17,70.51,2003.75
2003,10,71.47,74.5,72.75,2003.83333
2003,11,70.45,74.78,72.26,2003.91667
2003,12,72.52,77.24,74.49,2004
2004,1,65.28,75.02,69.41,2004.08333
2004,2,68.6,71.49,69.79,2004.16667
2004,3,75.13,78.37,76.46,2004.25
2004,4,76.17,77.42,76.69,2004.33333
2004,5,74.41,77.44,75.7,2004.41667
2004,6,80.72,83.66,81.99,2004.5
2004,7,82.2,83.48,82.76,2004.58333
2004,8,78.74,81.91,80.12,2004.66667
2004,9,70.39,76.74,73.19,2004.75
2004,10,74.23,76.38,75.14,2004.83333
2004,11,73.21,74.05,73.56,2004.91667
2004,12,72.74,75.5,73.91,2005
2005,1,69.77,75.95,72.47,2005.08333
2005,2,71.58,72.23,71.86,2005.16667
2005,3,79.58,80.31,79.89,2005.25
2005,4,76.64,76.92,76.76,2005.33333
2005,5,77.52,79.39,78.34,2005.41667
2005,6,82.27,84.5,83.25,2005.5
2005,7,83.94,84.51,84.19,2005.58333
2005,8,80.34,82.16,81.15,2005.66667
2005,9,74.12,77.66,75.72,2005.75
2005,10,75.94,75.99,75.96,2005.83333
2005,11,76.53,75.48,76.08,2005.91667
2005,12,75.81,76.49,76.11,2006
2006,1,72.68,76.03,74.17,2006.08333
2006,2,76.07,71.68,74.13,2006.16667
2006,3,81.31,78.93,80.27,2006.25
2006,4,81.34,79.11,80.34,2006.33333
2006,5,80.39,78.95,79.73,2006.41667
2006,6,84.56,84.92,84.73,2006.5
2006,7,84.95,84.88,84.92,2006.58333
2006,8,80.9,81.73,81.28,2006.66667
2006,9,73.78,76.83,75.23,2006.75
2006,10,77.5,75.29,76.5,2006.83333
2006,11,77.98,75.87,77.05,2006.91667
2006,12,76.57,76.75,76.65,2007
2007,1,72.3,75.56,73.77,2007.08333
2007,2,75.71,71.95,74.02,2007.16667
2007,3,81.57,79.95,80.85,2007.25
2007,4,81.38,78.65,80.15,2007.33333
2007,5,81.27,78.89,80.18,2007.41667
2007,6,86.24,84.12,85.25,2007.5
2007,7,86.24,84.83,85.58,2007.58333
2007,8,84.89,82.97,83.99,2007.66667
2007,9,75.61,78.04,76.75,2007.75
2007,10,78.45,77.71,78.11,2007.83333
2007,11,77.66,76.82,77.28,2007.91667
2007,12,75.6,77.04,76.26,2008
2008,1,72.95,75.8,74.27,2008.08333
2008,2,75.91,71.1,73.69,2008.16667
2008,3,82.19,79.91,81.14,2008.25
2008,4,80.09,75.4,77.87,2008.33333
2008,5,81.34,77.98,79.74,2008.41667
2008,6,84.24,81.6,82.98,2008.5
2008,7,84.11,83.06,83.61,2008.58333
2008,8,83.35,82.39,82.89,2008.66667
2008,9,76.07,74.75,75.41,2008.75
2008,10,79.76,75.73,77.83,2008.83333
2008,11,75.89,74.02,75,2008.91667
2008,12,79.17,76.57,77.93,2009
2009,1,72.82,73.52,73.16,2009.08333
2009,2,75.28,68.76,72.2,2009.16667
2009,3,81.08,73.78,77.65,2009.25
2009,4,82.1,76.44,79.38,2009.33333
2009,5,81.32,75.51,78.53,2009.41667
2009,6,85.37,80.63,83.09,2009.5
2009,7,87.09,83.85,85.51,2009.58333
2009,8,84.97,84.56,84.77,2009.66667
2009,9,79.42,79.81,79.61,2009.75
2009,10,82.22,81.34,81.8,2009.83333
2009,11,79.17,77.61,78.44,2009.91667
2009,12,79.87,80.93,80.37,2010
2010,1,74.89,78.04,76.41,2010.08333
2010,2,77.35,74.44,75.96,2010.16667
2010,3,83.39,80.48,82.03,2010.25
2010,4,82.55,79.36,81.06,2010.33333
2010,5,82.51,82.07,82.3,2010.41667
2010,6,86.32,86.08,86.21,2010.5
2010,7,86.9,86.53,86.72,2010.58333
2010,8,85.2,85.51,85.35,2010.66667
2010,9,79.81,82.88,81.31,2010.75
2010,10,83.32,82.38,82.86,2010.83333
2010,11,81.2,78.09,79.73,2010.91667
2010,12,80.85,80,80.44,2011
2011,1,76.55,76.92,76.73,2011.08333
2011,2,77.92,71.97,75.01,2011.16667
2011,3,82.7,76.66,79.82,2011.25
2011,4,82.13,78.86,80.53,2011.33333
2011,5,84.58,82.15,83.38,2011.41667
2011,6,85.98,84.96,85.48,2011.5
2011,7,87.14,86.08,86.61,2011.58333
2011,8,85.59,85.17,85.38,2011.66667
2011,9,81.84,81.15,81.49,2011.75
2011,10,83.63,79.49,81.56,2011.83333
2011,11,83.48,77.68,80.67,2011.91667
2011,12,81.11,79.28,80.21,2012
2012,1,78.02,77.77,77.89,2012.08333
2012,2,78.9,72.53,75.75,2012.16667
2012,3,84.43,79.82,82.18,2012.25
2012,4,83.61,80.6,82.12,2012.33333
2012,5,84.45,82.28,83.36,2012.41667
2012,6,86.62,86.92,86.77,2012.5
2012,7,86.83,86.33,86.58,2012.58333
2012,8,86.61,86.3,86.46,2012.66667
2012,9,80.64,83.26,81.99,2012.75
2012,10,84.23,81.29,82.75,2012.83333
2012,11,82.78,79.44,81.15,2012.91667
2012,12,81.54,80.85,81.2,2013
2013,1,78.89,79.18,79.04,2013.08333
2013,2,80.77,75.38,78.09,2013.16667
2013,3,84.99,82.09,83.57,2013.25
2013,4,82.81,78.84,80.81,2013.33333
2013,5,84.84,82.8,83.79,2013.41667
2013,6,86.98,86.8,86.89,2013.5
2013,7,86.46,86.3,86.38,2013.58333
2013,8,85.54,87.33,86.46,2013.66667
2013,9,80.91,82.96,81.96,2013.75
