Year,Number
1944,3
1945,3
1946,1
1947,2
1948,4
1949,3
1950,8
1951,5
1952,3
1953,4
1954,2
1955,6
1956,2
1957,2
1958,5
1959,2
1960,2
1961,7
1962,1
1963,2
1964,6
1965,1
1966,3
1967,1
1968,0
1969,5
1970,2
1971,1
1972,0
1973,1
1974,2
1975,3
1976,2
1977,1
1978,2
1979,2
1980,2
1981,3
1982,1
1983,1
1984,1
1985,3
1986,0
1987,1
1988,3
1989,2
1990,1
1991,2
1992,1
1993,1
1994,0
1995,5
1996,6
1997,1
1998,3
1999,5
2000,3
2001,4
2002,2
2003,3
2004,6
2005,7
2006,2
2007,2
2008,5
2009,2
2010,5
2011,4
2012,2
2013,0
