State,Score
Alabama,269
Alaska,283
Arizona,230
Arkansas,276
California,270
Colorado,287
Connecticut,289
Delaware,284
Florida,279
Georgia,278
Hawaii,274
Idaho,287
Illinois,282
Indiana,287
Iowa,284
Kansas,289
Kentucky,279
Louisiana,272
Maine,286
Maryland,288
Massachusetts,299
Michigan,278
Minnesota,294
Mississippi,265
Missouri,286
Montana,292
Nebraska,284
Nevada,274
NewHampshire,292
NewJersey,293
NewMexico,270
NewYork,283
NorthCarolina,284
NorthDakota,293
Ohio,286
Oklahoma,276
Oregon,285
Pennsylvania,288
RhodeIsland,278
SouthCarolina,280
SouthDakota,291
Tennessee,275
Texas,287
Utah,284
Vermont,293
Virginia,286
Washington,289
WestVirginia,270
Wisconsin,288
Wyoming,286
