Rank,Movie,Gross Earnings
1,Iron Man 3,408.992272
2,Despicable Me 2,367.171815
3,The Hunger Games: Catching Fire,337.794484
4,Man of Steel,291.045518
5,Monsters University,268.449861
6,Gravity,251.604851
7,Fast and Furious 6,238.67985
8,Oz the Great and Powerful,234.770996
9,Star Trek Into Darkness,228.778661
10,World War Z,202.359711
11,Thor: The Dark World,194.108665
12,The Croods,187.168425
13,The Heat,159.578352
14,We're the Millers,150.394119
15,The Great Gatsby,144.840419
16,The Conjuring,137.400141
17,Frozen,136.304818
18,Identity Thief,134.50692
19,Grown Ups 2,133.668525
20,The Wolverine,132.556852
21,G.I. Joe: Retaliation,122.52306
22,Now You See Me,117.723989
23,Lee Daniels' The Butler,115.955787
24,Cloudy with a Chance of Meatballs 2,115.279433
25,The Hangover 3,112.200072
26,Epic,107.518682
27,Captain Phillips,103.550441
28,Pacific Rim,101.802906
29,This is the End,101.470202
30,Silver Linings Playbook,101.032899
31,Jackass Presents: Bad Grandpa,100.092337
32,Olympus Has Fallen,98.927592
33,42,95.020213
34,Zero Dark Thirty,94.010584
35,Elysium,93.050117
36,Disney Planes,90.256456
37,The Lone Ranger,89.28991
38,Oblivion,89.107235
39,Insidious Chapter 2,83.533485
40,Turbo,83.0249
41,Django Unchained,76.536057
42,2 Guns,75.61246
43,White House Down,73.103784
44,Mama,71.62818
45,Safe Haven,71.39912
46,The Smurfs 2,71.017784
47,The Best Man Holiday,68.500185
48,Percy Jackson: Sea of Monsters,68.320984
49,A Good Day to Die Hard,67.349198
50,Warm Bodies,66.380662
51,Jack the Giant Slayer,65.187603
52,The Purge,64.473115
53,Les Miserables,61.32229
54,Last Vegas,61.157875
55,Prisoners,61.002302
56,After Earth,60.522097
57,Ender's Game,60.164625
58,Escape From Planet Earth,57.012977
59,The Hobbit: An Unexpected Journey,56.714061
60,Hansel & Gretel: Witch Hunters,55.703475
61,Evil Dead,54.239856
62,Free Birds,53.815346
63,RED 2,53.26256
64,Tyler Perry's Temptation,51.975354
65,The Call,51.872378
66,Pain & Gain,49.875291
67,Gangster Squad,46.000903
68,Jurassic Park 3D,45.385935
69,The Internship,44.672764
70,Instructions Not Included,44.459262
71,Lincoln,43.532754
72,Snitch,42.930462
73,Riddick,42.025135
74,A Haunted House,40.041683
75,The Family,36.862108
76,Life of Pi,36.760926
77,12 Years a Slave,35.537405
78,Carrie,35.266619
79,Parental Guidance,34.632217
80,Texas Chainsaw 3D,34.341945
81,R.I.P.D.,33.618855
82,Blue Jasmine,32.744634
83,Kevin Hart: Let Me Explain,32.244051
84,Side Effects,32.172757
85,Scary Movie 5,32.015787
86,The Mortal Instruments: City of Bones,31.165421
87,One Direction: This is Us,28.873374
88,Kick-Ass 2,28.795985
89,Rush,26.947624
90,Argo,26.707805
91,The Host,26.623701
92,The World's End,26.004851
93,21 and Over,25.68238
94,Delivery Man,25.086987
95,Escape Plan,24.613663
96,Jack Reacher,24.566395
97,Don Jon,24.368057
98,The Incredible Burt Wonderstone,22.537881
99,The Big Wedding,21.819348
100,This is 40,21.64266
101,Mud,21.590086
102,Baggage Claim,21.549737
103,The Way Way Back,21.50269
104,The Place Beyond the Pines,21.403519
105,Broken City,19.701164
106,Beautiful Creatures,19.452138
107,Runner Runner,19.316646
108,You're Next,18.494006
109,Quartet,18.388357
110,The Impossible,18.362853
111,Admission,18.007317
112,Parker,17.616641
113,Dark Skies,17.418667
114,Enough Said,17.299469
115,The Counselor,16.89671
116,Jobs,16.13141
117,Fruitvale Station,16.098998
118,Homefront,15.672074
119,The Last Exorcism Part II,15.179303
120,About Time,15.023988
121,Spring Breakers,14.124286
122,Dallas Buyers Club,12.607472
123,The Book Thief,12.271819
124,Wreck-It Ralph,12.092761
125,The Last Stand,12.050299
126,Top Gun,11.3426
127,Dead Man Down,10.895295
128,Skyfall,10.630707
129,Getaway,10.501938
130,The Guilt Trip,10.457281
131,"Monsters, Inc. 3D",9.559604
132,Bullet to the Head,9.489829
133,Peeples,9.177065
134,Battle of the Year 3D,8.888355
135,Rise of the Guardians,8.860674
136,Movie 43,8.840453
137,Philomena,8.401664
138,Before Midnight,8.110621
139,Machete Kills,8.008161
140,Paranoia,7.388654
141,Promised Land,7.25237
142,Black Nativity,6.90476
143,The Spectacular Now,6.852971
144,The Grandmaster,6.594959
145,Amour,6.487539
146,The Bling Ring,5.845732
147,Pulling Strings,5.842961
148,Closed Circuit,5.750995
149,Out of the Furnace,5.748184
150,The Wizard of Oz,5.509334
151,Hubble 3D,5.503035
152,All is Lost,5.483551
153,Chennai Express,5.30796
154,The Company You Keep,5.132442
155,Twenty Feet From Stardom,4.774371
156,"The Twilight Saga: Breaking Dawn, Part 2",4.568451
157,Much Ado About Nothing,4.32885
158,Hyde Park on Hudson,4.197542
159,Under the Sea 3D,4.192504
160,Frances Ha,4.066582
161,Yeh Jawaani Hai Deewani,3.827466
162,The To Do List,3.491669
163,Metallica Through the Never,3.419967
164,Emperor,3.346264
165,Stand Up Guys,3.310031
166,The Fifth Estate,3.254172
167,To the Arctic 3D,3.005384
168,In a World...,2.963271
169,Cirque du Soleil: Worlds Away,2.919932
170,Home Run,2.859955
171,Filly Brown,2.850357
172,Hotel Transylvania,2.606371
173,Grace Unplugged,2.507159
174,Dabangg 2,2.474674
175,The Sapphires,2.450867
176,Space Station,2.436846
177,The Gatekeepers,2.408553
178,I'm in Love with a Church Girl,2.38773
179,No,2.341226
180,Trance,2.322593
181,Renoir,2.291047
182,Nebraska,2.28927
183,The East,2.274649
184,Blue is the Warmest Color,2.257055
185,2013 Oscar Shorts,2.142342
186,Austenland,2.137573
187,Krrish 3,2.123333
188,Blackfish,2.073582
189,Oldboy,2.001247
190,The Iceman,1.930282
191,Fill the Void,1.774639
192,Stoker,1.703125
193,Unfinished Song,1.698952
194,Anna Karenina,1.642758
195,The Christmas Candle,1.632
196,Love Is All You Need,1.631306
197,Bhaag Milkha Bhaag,1.626289
198,The Attack,1.625707
199,Seethamma Vakitlo Sirimalle Chettu,1.582476
200,Race 2,1.57994
