Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10
Symbol,Mutual Fund,TR 3 month,TR 6 month,Annual Return1 Yr,Annual Return 3 YR,Annual Return 5 YT,Annual Return10 Yr,YTD,Annual Return Since Inception
PEIDX,AllianzGI NFJ Dividend Value D,6.05%,11.54%,15.57%,13.12%,1.07%,8.06%,5.11%,7.04%
PNBDX,AllianzGI NFJ Large-Cap Value D,7.72%,11.92%,17.08%,12.61%,0.04%,6.80%,6.61%,6.87%
AMWYX,ALPS/WMC Disciplined Value A,8.90%,14.31%,19.68%,12.30%,2.12%,7.77%,5.78%,9.50%
AAGPX,American Beacon Lg Cap Value Inv,8.16%,13.38%,19.31%,12.49%,2.15%,8.98%,5.55%,8.34%
ACTIX,American Century Capital Val Inv,7.21%,12.60%,18.95%,12.57%,1.65%,6.74%,6.14%,4.90%
BIGRX,American Century Income & Growth Inv,6.82%,10.24%,15.87%,13.79%,2.85%,7.26%,5.46%,9.56%
ALVIX,American Century Large Co Val Inv,7.33%,12.88%,19.09%,12.85%,1.86%,6.96%,6.21%,4.61%
TWVLX,American Century Value Inv,8.54%,13.15%,17.93%,12.63%,4.77%,8.15%,6.59%,9.42%
ARTLX,Artisan Value Fund Investor Shares,8.35%,11.86%,14.85%,13.04%,4.26%,,6.21%,4.87%
AUXFX,Auxier Focus Inv,6.39%,8.67%,11.52%,10.21%,5.22%,8.24%,4.93%,6.78%
BVEFX,Becker Value Equity Retail,10.02%,13.64%,17.24%,12.10%,4.44%,,6.09%,7.37%
MDBAX,BlackRock Basic Value Inv A,8.52%,14.33%,14.60%,11.35%,3.08%,7.77%,6.96%,8.24%
MDDVX,BlackRock Equity Dividend Inv A,5.13%,7.72%,14.00%,13.22%,3.81%,9.96%,4.27%,9.78%
MDLRX,BlackRock Large Cap Core Inv A,6.23%,11.81%,13.97%,11.16%,1.79%,7.67%,4.93%,3.88%
MDLVX,BlackRock Large Cap Value Inv A,7.46%,14.81%,14.34%,9.74%,0.22%,7.85%,5.99%,5.83%
MREIX,BMO Large-Cap Value Y,8.91%,14.10%,18.55%,11.80%,1.58%,6.44%,5.92%,6.92%
CLVAX,Calvert Large Cap Value A,8.88%,15.54%,19.25%,11.26%,1.33%,7.78%,6.63%,5.18%
CAMAX,Cambiar Aggressive Value Investor,14.69%,16.26%,6.17%,10.73%,6.33%,,8.01%,5.46%
MOATX,Castle Focus Fund Class Investor,2.10%,3.67%,4.59%,,,,3.52%,9.53%
SOPAX,ClearBridge Equity Income A,5.74%,8.38%,16.43%,13.61%,3.88%,7.99%,4.81%,8.11%
SINAX,ClearBridge Large Cap Value A,6.57%,10.70%,19.27%,12.91%,3.25%,7.88%,5.39%,9.49%
INDZX,Columbia Diversified Equity Income A,8.30%,11.73%,16.76%,11.71%,1.64%,9.98%,6.13%,9.88%
SLVAX,Columbia Select Large-Cap Value A,12.22%,19.96%,20.53%,15.37%,4.65%,9.84%,7.89%,6.95%
CFVLX,Commerce Value,5.71%,7.44%,18.23%,15.76%,3.62%,7.49%,5.96%,5.20%
CHDEX,Cullen High Dividend Equity Retail,4.58%,4.72%,13.20%,12.71%,3.34%,,3.89%,7.04%
DHLAX,Diamond Hill Large Cap A,9.58%,14.52%,16.07%,11.03%,3.90%,10.47%,7.44%,6.53%
DQIAX,Dreyfus Equity Income A,4.53%,6.30%,13.89%,14.62%,4.56%,,6.47%,4.71%
KDHAX,DWS Equity Dividend A,5.14%,8.18%,13.31%,10.34%,-2.14%,5.32%,6.13%,10.05%
KDCAX,DWS Large Cap Value A,6.34%,9.92%,11.78%,9.63%,1.75%,7.14%,5.93%,8.77%
