State,Prisoners_2012
Alabama,32431
Alaska,5533
Arizona,40013
Arkansas,14654
California,134534
Colorado,20462
Connecticut,17530
Delaware,6914
Florida,101930
Georgia,55457
Hawaii,5831
Idaho,7985
Illinois,
Indiana,28831
Iowa,8733
Kansas,9682
Kentucky,22110
Louisiana,41248
Maine,2108
Maryland,21522
Massachusetts,11308
Michigan,43636
Minnesota,9938
Mississippi,22319
Missouri,31247
Montana,3609
Nebraska,4705
Nevada,
New Hampshire,2790
New Jersey,23225
New Mexico,6640
New York,54210
North Carolina,37136
North Dakota,1512
Ohio,50876
Oklahoma,25225
Oregon,14840
Pennsylvania,51125
Rhode Island,3229
South Carolina,22388
South Dakota,3650
Tennessee,28411
Texas,166372
Utah,6962
Vermont,2034
Virginia,37044
Washington,
West Virginia,7070
Wisconsin,22600
Wyoming,2204
