City,Food Costs($),Womens Clothing($),Mens Clothing($),iPhone 4S(min),Clothing Index,Hours Worked,Wage Gross,Wage Net,Vacation Days,COL (Excl. rent),COL (incl. rent),Pur Power Gross,Pur Power Net,Pur Power Annual,Big Mac(min),Bread(kg in min),Rice(kg in min),Goods and Services($),Good and Services Index,Food  Index
Amsterdam,364,690,1040,44.5,110.8,1755,78.3,69.4,24,77,69,101.6,90.1,75.7,16,7,9,3034,77,66
Athens,390,630,1110,86,112.5,1822,41.4,40,23,66.1,58.1,62.6,60.5,52.1,30,13,26,2605,66.1,70.7
Auckland,497,560,670,51,79.2,1852,59.8,63.5,20,76.7,67.7,78,82.9,74.8,16,17,8,3019,76.7,90
Bangkok,422,400,600,165,64.2,2312,14.6,17.4,7,55.3,48.1,26.5,31.4,33.7,36,26,20,2178,55.3,76.5
Barcelona,394,580,1110,52.5,109.2,1761,59.6,58.7,29,74.7,65.6,79.7,78.6,66.8,19,12,6,2941,74.7,71.3
Beijing,463,660,700,184,87.5,1979,17,18,9,60.3,51.8,28.3,29.9,28.2,34,28,16,2375,60.3,83.9
Berlin,389,570,710,55.5,82.5,1742,79.2,70.1,29,72.3,64.1,109.6,97,82.1,16,11,9,2847,72.3,70.5
Bogotå‡,363,310,440,142,48.3,1981,22.3,22,15,53.1,46.9,42.1,41.4,38.5,52,34,17,2089,53.1,65.8
Bratislava,345,250,340,126.5,37.5,1884,27.7,27.3,24,53.9,47,51.3,50.7,45.7,32,21,20,2122,53.9,62.4
Brussels,434,630,800,54,92.5,1730,81.5,59.5,20,75.8,68.7,107.6,78.6,65.9,20,11,12,2983,75.8,78.5
Bucharest,244,180,300,229.5,30.8,1837,14.8,13.5,26,39.8,34.7,37.1,34,30.2,57,21,27,1568,39.8,44.2
Budapest,341,580,920,206,96.7,1912,20.1,18.1,23,56.7,50.3,35.5,32,29.3,49,14,27,2232,56.7,61.7
Buenos Aires,310,400,660,187,68.3,1831,23.6,25.4,13,55,47.6,42.9,46.2,41.1,45,12,17,2166,55,56.2
Cairo,300,380,430,290.5,51.7,2331,11,12.1,15,42.4,36.2,26,28.5,32.8,67,8,19,1669,42.4,54.4
Caracas,689,520,950,271.5,94.2,1879,20,23.4,18,91,85.3,21.9,25.7,23,81,59,13,3583,91,124.9
Chicago,460,740,1200,32,125,1854,83.3,80.6,12,79,72.8,105.4,101.9,91.6,11,16,9,3112,79,83.3
Copenhagen,567,950,1150,36.5,135,1674,123.1,93.4,30,100.9,88.8,122,92.5,75.3,16,9,6,3974,100.9,102.8
Delhi,208,260,410,369.5,43.3,2265,7.6,8.3,14,33.1,29.4,23,25,25.9,65,16,40,1304,33.1,37.7
Doha,355,340,470,82.5,51.7,2166,26.6,34.4,26,68.6,66.9,38.8,50.2,50.2,21,13,16,2700,68.6,64.4
Dubai,485,1270,1450,46.5,175,2096,49.6,64.2,25,78.1,77.2,63.5,82.1,79.5,12,10,14,3077,78.1,87.8
Dublin,455,470,600,39,68.3,1707,77.7,78.8,21,76.2,69.7,101.9,103.3,82,14,8,10,3003,76.2,82.3
Frankfurt,439,840,890,41.5,111.7,1731,88.2,78.1,28,86.4,77.2,102.1,90.5,76.1,15,9,11,3402,86.4,79.6
Geneva,714,850,1150,23.5,129.2,1893,123.6,119.2,20,106.5,96.8,116,111.9,98.8,14,6,7,4195,106.5,129.4
Helsinki,497,610,1200,44.5,116.7,1713,80.2,74.2,29,86.5,82.3,92.7,85.8,70.8,16,14,7,3407,86.5,90.1
Hong Kong,651,390,620,53,65,2296,42.8,49.8,12,73.1,75.2,58.5,68.1,72.6,10,24,10,2880,73.1,117.9
Istanbul,430,630,880,165.5,97.5,2140,27.9,28.2,19,71.5,65.5,39,39.4,39.8,42,9,14,2814,71.5,77.9
Jakarta,369,190,390,348.5,37.5,2112,7.9,9.2,12,53.7,48.6,14.7,17.2,16.7,62,47,28,2114,53.7,66.9
Johannesburg,311,310,400,93.5,45.8,1887,41.5,38.9,15,52.1,47.2,79.7,74.7,66.8,26,10,11,2052,52.1,56.3
Kiev,263,430,600,266.5,65.8,1850,10.5,11.2,25,53.1,46.8,19.7,21.1,18.3,46,18,30,2091,53.1,47.6
Kuala Lumpur,346,230,540,129,50,1986,21.5,22,15,52,46.1,41.3,42.2,38.6,26,20,21,2050,52,62.7
Lima,304,310,470,162,50,2107,22.2,23.1,27,50.8,44.4,43.6,45.5,44.2,21,20,16,2000,50.8,55
Lisbon,311,390,510,96.5,57.5,1696,44,42.6,22,67.4,60.1,65.3,63.2,50.6,22,14,8,2656,67.4,56.3
Ljubljana,368,560,1000,101,100,1792,36.4,32,23,63.3,55.1,57.5,50.5,43.8,25,23,38,2493,63.3,66.7
London,436,480,800,42.5,82.5,1787,79.5,75.2,23,87.3,83,91.1,86.2,73,16,7,13,3437,87.3,79
