Race,Section
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,A
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
White,B
Black,A
Black,A
Black,A
Black,A
Black,A
Black,A
Black,A
Black,A
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
Black,B
