Race,Men(mins),Women(mins),Distance(km),Climb(m)
Alva Games Hill Race,18.650000,25.816667,2.5,385
Aonach Mor Uphill Race,22.250000,26.466667,4,610
Arrochar Alps,187.65000,249.43333,25,2400
Beinn Lora Hill Race,26.800000,32.833333,5,340
Ben Aigan Hill Race,28.466667,34.416667,6.4,326
Ben Lomond Hill Race,62.266667,71.950000,12.6,980
Ben Nevis Race,85.566666,103.41667,14,1360
Ben Rinnes Hill Race,117.00000,141.35000,22.4,1570
Ben Sheann Hill Race,22.900000,27.616667,4,426
Bennachie Hill Race,55.166666,61.416667,12.8,550
Birnam Hill Race,29.600001,33.783333,6.5,535
Bishop Hill Race,17.483334,21.266667,3.5,300
Caerketton Hill Race,12.300000,14.800000,2.4,240
Cairn Table Hill Race,31.133333,40.633334,8,360
Cairn William Hill Race,46.300000,53.850000,11,430
Cairnpapple Hill Race,NA,NA,8.5,160
Carnethy 5 Hill Race,46.933334,54.333333,9,750
Carnethy Midweek Hill Race,24.450000,29.349999,5,350
Cathkin Braes Hill Race,34.916666,40.250000,8,305
Chapelgill Hill Race,18.833334,22.166667,2.4,430
Cioch Mhor Hill Race,68.300001,89.783333,12.8,685
Ciachnaben Hill Race,NA,NA,16,1050
Cort-ma Law Hill Race,48.266667,53.283334,10,450
Cow Hill Race,16.933333,21.633333,3.2,280
Craig Dunain Hill Race,32.533334,35.716667,9.7,275
Craigengowr Hill Race,16.183333,20.616667,3,200
Creag Dhubh Hill Race,27.116667,32.350000,7.2,370
Criffel Hill Race,47.566666,56.783333,11,550
Culter Fell Horseshoe Race,103.30000,119.26667,17.5,1490
Deuchary Hill Race,90.833334,98.700000,18,800
Devils Beeftub Hill Race,19.833333,24.100000,3.2,230
Dollar Hill Race,71.883333,84.166667,14,960
Druim Fada Chase,43.366667,54.083333,10.5,335
Dumyat Hill Race,32.866667,36.766666,7.8,440
Durisdeer Hill Race,81.883333,94.716667,14.7,1240
Durris Mast Hill Race,38.833334,43.000000,8.8,305
Eagle Crag Hill Race,58.466667,73.483334,8.7,762
Eildon Hills Race,25.800000,30.466666,7.2,460
El-Brim-Ick Dash,19.766667,23.350000,4.8,230
Falkland Hill Race,19.400000,24.050000,4,365
Fyrish Hill Race,51.616666,52.366667,11.3,365
Gargunnock Hill Race,30.583333,38.133333,7.5,300
Glamaig Hill Race,44.683334,56.166667,7,775
Glas Tulaichean (uphill),33.833333,38.833334,7.2,670
Glen Clova Hill Race,154.03333,177.73333,26,1800
Glen Rosa Horseshoe,138.81667,162.28333,20,1580
Glenshee 9,206.73333,253.51667,33,1800
Goatfell Hill Race,73.666666,86.350000,12.9,870
Grandtully Hill Race,26.716667,31.183334,6.4,280
Greenmantle Dash,15.100000,19.783333,3.2,200
Half Nevis Race,47.650000,61.850000,9.6,670
Hunters Bog Trot,25.333334,30.350000,6.5,240
Isle of Jura Fell Race,186.98333,220.55000,27.7,2420
Isle of Mull Fell Race,106.03333,123.95000,15,1500
Kaim Hill Race,25.866667,32.400000,5.5,380
Kilpatricks Hill Race,43.116667,49.433334,9.6,426
Kinnoull Hill Race,23.233333,27.150000,6.4,240
"Knock Hill Race, Crieff",28.516667,35.266667,8,210
Knockfarrel Hill Race,37.400000,43.333334,8,365
Lairig Ghru Race,184.41667,212.63333,42,640
Lairig Mor,86.216666,99.433333,22,520
Largo Law Hill Race,44.883333,55.650000,10.8,330
Lee Pen Hill Race,NA,NA,4,350
Loch Lochy Munros,126.60000,166.26667,23,1380
Lomonds of Fife Hill Race,89.366666,104.61667,17.7,1040
Maddy Moss Hill Race,47.650000,53.166666,10,710
Manor Water Hill Race,68.233333,75.633333,15.2,670
Meall a 'Buachaille,50.616667,55.800000,10,610
Melantee Hill Race,27.800001,33.733333,5,480
Merrick Hill Race,79.800000,98.416666,13.6,1000
Moffat Chase,NA,NA,25.7,1585
Morvan Hill Race,44.066667,49.783333,8,640
Normans Law Hill Race,27.850000,34.400000,8,215
Ochil 2000s,167.73333,171.55000,28,1500
Off Beat Bikes Aonach Mor Uphill,21.666666,24.683334,4,610
Peebles Gypsy Glen Hill Race,32.383333,36.466667,8,305
Pentland Skyline,142.66667,162.48333,25,1890
Red Moss Revolution,35.450001,39.566667,9,220
Saughhill Race,21.633333,29.100000,4.5,265
Scolty Hill Race,33.083333,37.633333,7.2,396
Screel Hill Race,27.533333,32.616667,6.4,400
Slioch Horseshoe,130.38333,148.66667,20,1180
South Black Hill Race,27.383334,40.233334,5,350
Stuc a 'Chroin Hill Race,119.36667,138.06667,22,1500
Tap o 'Noth Hill Race,33.933334,41.949999,8.8,370
The Law Breaker,32.850000,40.216667,5.3,600
Tinto Hill Race,29.966666,33.716667,7,457
Tomnabat Hill Race,29.150001,37.533334,5.6,340
Traprain Law Race,37.433333,41.216666,10.4,200
Turnhouse Hill Race,25.583334,30.683333,5,350
Two Breweries Hill Race,153.95000,173.93333,29,1500
Whangie Whizz Hill Race,26.533333,30.733334,6.8,240
White Tops Hill Race,31.683334,36.566667,10,270
Yetholm Hill Race,62.033334,77.049999,12.8,762
