Skiier,Slalom_Time
Carlo Janka,157.8
Kjetil Jansrud,158.2
Aksel Lund Svindal,158.4
Marcel Hirscher,158.5
Romed Baumann,158.8
Benjamin Raich,158.8
Ivica Kostelic,158.9
Felix Neureuther,159.1
Ted Ligety,159.1
Ales Gorza,159.2
Massimiliano Blardone,159.4
Philipp Schorghofer,159.4
Steve Missillier,159.4
Didier Cuche,159.4
Sandro Viletta,159.5
Erik Guay,159.6
Ondrej Bank,159.6
Alexander Ploner,159.8
Davide Simoncelli,160
Janez Jazbec,160
Truls Ove Karlsen,160.2
Manfred Moelgg,160.5
Krystof Kryzl,160.7
Robbie Dixon,161
Andrej Sporn,161.1
Tommy Ford,161.1
Markus Larsson,161.4
Leif Kristian Haugen,161.8
Marc Berthod,162.1
Andreas Romar,162.3
Jake Zamansky,162.4
Paul de la Cuesta,163.2
Andrej Krizaj,164.2
Cristian Javier Simari Birkner,164.6
Patrick Biggs,164.8
Andrew Noble,164.9
Edward Drake,165.1
Alexandr Horoshilov,165.4
Filip Trejbal,165.4
Sergei Maitakov,165.7
Natko Zrncic-Dim,166
Brad Spence,166.2
Bjoergvin Bjoergvinsson,166.7
Christophe Roux,167.1
Jaroslav Babusiak,167.1
Iason Abramashvili,167.2
David Ryding,168
Stefan Georgiev,168.9
Ion-Gabriel Nan,170
Jaba Gelashvili,170.3
Igor Zakurdaev,171.4
Jorge Mandru,171.6
Antonio Ristevski,171.9
Augustin Torres,173.3
Mikail Renzhin,173.8
Johnatan Longhi,174
Andrei Drygin,175.3
Marko Rudic,176.4
Vitalij Rumiancev,176.8
Porya Saveh Shemshaki,177.7
Bojan Kosic,178
Kristaps Zvejnieks,178.6
Erjon Tola,179.3
Stepan Zuev,179.7
Stephanos Tsimikalis,180.2
Deyvid Oprja,180.8
Manfred Oettl Reyes,182.1
Rostyslav Feshchuk,182.5
Dow Travers,182.9
Hossein Saveh Shemshaki,185.9
Marton Bene,186
Cedric Notz,186
Leyti Seck,186.1
Samir Azzimani,186.6
Li Lei,187.3
Dmitry Trelevski,188
Oleg Shamaev,189.2
Hubertus Von Hohenlohe,191.5
Abbas Muhammad,200.6
Marino Cardelli,205.8
Jamyang Namgial,214.9
