Name,Age,Month,Year,Time,Dir'n
Cindy Nicholas,16,Aug,1974,910,SN
Diana Nyad,24,Aug,1974,1095,NS
Debbie Roach,17,Aug,1975,1110,SN
Angela Kondrak,17,Aug,1976,1428,SN
Kim Lumsdon,19,Aug,1976,1287,SN
John Kinsella,25,Aug,1978,829,SN
Claudio Plit,23,Aug,1978,901,SN
Raul Villagomez,27,Aug,1978,909,SN
Magdy Mandour,23,Aug,1978,919,SN
Bill Heiss,26,Aug,1978,957,SN
Loreen Passfield,21,Sep,1979,943,SN
Jocelyn Muir,15,Sep,1981,955,SN
Marilyn Korzekwa,26,Sep,1983,1289,SN
Cam Kamula,29,Aug,1984,1207,SN
Marilyn Korzekwa,27,Aug,1984,1283,NS
Kim Middleton,26,Aug,1985,1114,SN
Vicki Keith,25,Aug,1986,1619,NS
Vicki Keith,26,Aug,1987,3370,NSN
Vicki Keith,27,Aug,1988,1413,SN
Rick Wood,31,Aug,1989,1293,SN
Bob Weir,46,Aug,1989,1328,SN
Vicki Keith,28,Sep,1989,1860,SN
Paolo Pinto,52,July,1990,1437,SN
Colleen Shields,38,Aug,1990,1076,SN
Patty Thompson,45,Aug,1991,1158,SN
John Scott,31,Aug,1992,890,SN
Carlos Costa,20,Jul,1993,1963,SN
Shelagh Freedman,17,Aug,1993,1563,SN
Kim Middleton,34,Sep,1993,1740,NS
Kim Middleton,35,Aug,1994,1574,NS
John Scott,33,Aug,1994,882,SN
Rick Goodwin,36,Aug,1994,1626,SN
Ingrid Martin,38,Aug,1996,1405,SN
Paula Stephanson,17,Aug,1996,1360,SN
Nicole Mallette,31,Aug,1997,970,SN
Dan Foster,33,August,1998,1152,SN
Gregg Taylor,19,August,2003,1163,SN
Peter Gibbs,56,August,2004,1120,SN
Melissa Brannagan,23,August,2005,971,SN
Kim Lumsdon,49,August,2006,1598,SN
Samantha Whiteside,16,August,2006,912,SN
Colleen Shields,54,August,2006,991,SN
Stephanie Hermans,21,August,2007,1085,SN
Jay Serdula,35,July,2008,2461,SN
Shaun Chisholm,40,August,2008,1163,SN
Jade Scognamillo,15.649,July,2009,1199,SN
Susanne Robinson,39,August,2010,1468,SN
Miguel Vadillo Sanchez,40,August,2010,1083,SN
Rebekah Boscariol,17,August,2011,933,SN
Christiine Arsenault,35,August,2011,1342,SN
Annaleise Carr,14.433,August,2012,1601,SN
Ashleigh Beacham,15,August,2013,1103,SN
