Year,Rating,Age
1963,5.44,51
1963,6.26,51
2008,6.71,6
1994,6.37,20
1942,5.19,72
1993,5.9,21
1987,4.6,27
1966,5.61,48
1966,5.58,48
1966,4.73,48
2003,6.63,11
1977,4.64,37
1977,6.31,37
1978,5.1,36
2009,6.82,5
1987,4.68,27
2001,6.61,13
1966,5.59,48
1960,5,54
1929,4.22,85
1943,6.31,71
1998,5.81,16
1935,7,79
1964,3.66,50
1932,4.88,82
1932,4.61,82
1960,4.44,54
1975,5.43,39
1935,3.6,79
1999,6.44,15
1965,4.86,49
1965,5.26,49
1920,3.93,94
1940,4.93,74
1983,5.57,31
1910,4.55,104
1971,4.48,43
1990,6.16,24
1887,2.39,127
2007,6.64,7
1988,5.26,26
1936,4.69,78
1985,5.48,29
1991,5.07,23
1982,5.03,32
1915,3.45,99
1997,6.76,17
1981,5.4,33
1992,5.83,22
1953,5.34,61
1953,6.08,61
1970,4.92,44
1998,5.38,16
1987,5.29,27
1930,4.08,84
1938,4.62,76
1938,5.27,76
2009,6.6,5
1951,5.35,63
1949,5.57,65
1955,4.38,59
1939,3.55,75
1930,4,84
2002,6.51,12
2002,6.44,12
1935,3.65,79
1965,5.7,49
1988,5.95,26
1985,4.37,29
1959,4.78,55
1967,4.26,47
1992,5.66,22
1915,4.1,99
2003,6.66,11
1920,5.05,94
1930,4.09,84
1971,5.13,43
1981,5.04,33
1900,2.94,114
1977,5.86,37
1917,5.72,97
2008,7,6
1981,5.05,33
2005,5.73,9
1925,4.68,89
1995,5.97,19
1960,5.41,54
1955,4.23,59
1925,5.67,89
1965,4.65,49
1965,4.97,49
1965,4.77,49
1968,5.67,46
1997,6.45,17
1997,5.78,17
1996,6.23,18
1996,6.6,18
1942,6.84,72
1938,3.86,76
1938,4.46,76
1953,4.64,61
1940,4.43,74
1960,5.99,54
1931,4.84,83
1977,4.91,37
1966,4.27,48
2001,6.36,13
1920,4.98,94
1930,5.41,84
1930,4.35,84
1934,5.42,80
1926,5.09,88
1957,6.22,57
1968,4.16,46
1962,4.4,52
1951,5,63
1960,5.68,54
1996,5.89,18
1995,6.48,19
1995,6.3,19
1996,5.68,18
1995,6.28,19
1964,4.84,50
1964,4.97,50
1987,6.47,27
1995,6.49,19
2003,6.4,11
1986,5.37,28
1909,3.95,105
1982,4.94,32
1996,6.3,18
1970,4.73,44
1929,5.07,85
1992,5.74,22
1936,4.81,78
2000,6.2,14
1975,4.2,39
1950,4.08,64
1995,6.41,19
1936,6.17,78
1930,3.61,84
1930,3.85,84
1945,5.17,69
1964,4.19,50
1900,4.29,114
1986,5.68,28
1945,5.68,69
1960,4.43,54
1998,6.5,16
2002,6.56,12
1935,5.11,79
1961,3.53,53
1977,4.66,37
2000,5.97,14
1975,5.1,39
1960,4.33,54
1959,4.96,55
1959,4.98,55
1959,4.64,55
2012,7,2
1990,4.59,24
1990,5.26,24
1990,5.04,24
1990,6.24,24
1972,5.27,42
1930,6.47,84
1925,3.88,89
1991,5.64,23
1950,3.95,64
1920,4.06,94
1931,7,83
1987,4.68,27
1960,5.3,54
1981,4.71,33
2002,6.29,12
2005,6.92,9
1930,3.98,84
2001,6.55,13
1937,5.58,77
2001,6.73,13
1926,4.79,88
1993,7,21
1993,5.6,21
1997,6.36,17
1949,4.51,65
1915,4.73,99
1930,3.98,84
1935,3.96,79
1990,5.79,24
2007,6.52,7
1990,5.75,24
2013,7,1
1940,5.03,74
1930,3.19,84
