"I_D"	"FLAG_TSUNAMI"	"YEAR"	"MONTH"	"DAY"	"HOUR"	"MINUTE"	"SECOND"	"FOCAL_DEPTH"	"EQ_MAG_MW"	"EQ_MAG_MS"	"Max.Richter"	"EQ_MAG_MB"	"EQ_MAG_ML"	"EQ_MAG_MFA"	"EQ_MAG_UNK"	"INTENSITY"	"COUNTRY"	"STATE"	"LOCATION_NAME"	"LATITUDE"	"LONGITUDE"	"REGION_CODE"	"DEATHS"	"DEATHS_DESCRIPTION"	"MISSING"	"MISSING_DESCRIPTION"	"INJURIES"	"INJURIES_DESCRIPTION"	"DAMAGE_MILLIONS_DOLLARS"	"DAMAGE_DESCRIPTION"	"HOUSES_DESTROYED"	"HOUSES_DESTROYED_DESCRIPTION"	"HOUSES_DAMAGED"	"HOUSES_DAMAGED_DESCRIPTION"	"TOTAL_DEATHS"	"TOTAL_DEATHS_DESCRIPTION"	"TOTAL_MISSING"	"TOTAL_MISSING_DESCRIPTION"	"TOTAL_INJURIES"	"TOTAL_INJURIES_DESCRIPTION"	"TOTAL_DAMAGE_MILLIONS_DOLLARS"	"TOTAL_DAMAGE_DESCRIPTION"	"TOTAL_HOUSES_DESTROYED"	"TOTAL_HOUSES_DESTROYED_DESCRIPTION"	"TOTAL_HOUSES_DAMAGED"	"TOTAL_HOUSES_DAMAGED_DESCRIPTION"
2	"Tsu"	-2000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	"SYRIA"	""	"SYRIA:  UGARIT"	35.683	35.8	130	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5877	"Tsu"	-1410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GREECE"	""	"GREECE:  THERA ISLAND (SANTORINI)"	36.4	25.4	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
9712	"Tsu"	-1365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SYRIA"	""	"SYRIAN COASTS"	35.683	35.8	140	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
7793	"Tsu"	-590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LEBANON"	""	"LEBANON:  SUR (TYRE)"	33.27	35.22	140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7794	"Tsu"	-525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LEBANON"	""	"LEBANON:  SUR (TYRE), SAYDA (SAIDA)"	33.56	35.37	140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9713	"Tsu"	-480	9	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GREECE"	""	"GREECE:  SARONIC GULF"	37.9	23.5	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	"Tsu"	-479	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	9	"GREECE"	""	"GREECE:  MACEDONIA"	39.7	23.3	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5878	"Tsu"	-426	6	NA	NA	NA	NA	NA	NA	7.1	7.1	NA	NA	NA	NA	10	"GREECE"	""	"GREECE:  EUBOEA"	38.9	22.7	130	2500	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA	2500	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA
20	"Tsu"	-373	NA	NA	NA	NA	NA	NA	NA	7.3	7.3	NA	NA	NA	NA	11	"GREECE"	""	"GREECE"	38.25	22.25	130	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
22	"Tsu"	-330	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	11	"GREECE"	""	"GREECE:  AEGEAN SEA"	40	25	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9652	"Tsu"	-326	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"INDIA"	""	"INDIA:  KUTCH"	23	71	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	"Tsu"	-227	NA	NA	NA	NA	NA	100	NA	7.2	7.2	NA	NA	NA	NA	10	"GREECE"	""	"GREECE:  DODECANESE ISLANDS"	36.3	28.3	130	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
9752	"Tsu"	-223	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GREECE"	""	"GREECE"	NA	NA	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9732	"Tsu"	-218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SPAIN"	""	"SPAIN:  CADIZ"	36.2	-7.17	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9733	"Tsu"	-210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PORTUGAL"	""	"PORTUGAL:  CABO SAN VICENTE"	36	-10.5	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7795	"Tsu"	-198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GREECE"	""	"EAST MEDITERRANEAN SEA"	36.404	25.396	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9734	"Tsu"	-60	NA	NA	NA	NA	NA	NA	NA	6.7	6.7	NA	NA	NA	NA	9	"PORTUGAL"	""	"PORTUGAL:  CABO SAN VICENTE"	36	-10	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
9753	"Tsu"	-58	NA	NA	NA	NA	NA	NA	NA	6.6	6.6	NA	NA	NA	NA	NA	"ALBANIA"	""	"ALBANIA:  DYRRACHIUM"	41.3	19.5	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9786	"Tsu"	-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BULGARIA"	""	"BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]"	43.5	28.5	110	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
9754	"Tsu"	-50	NA	NA	NA	NA	NA	NA	NA	5.5	5.5	NA	NA	NA	NA	8	"GEORGIA"	""	"GEORGIA:  DYOSCURIA [SUKHUMI]"	43	41	40	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
7796	"Tsu"	-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	"CYPRUS"	""	"CYPRUS"	35	33	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5880	"Tsu"	62	NA	NA	NA	NA	NA	NA	NA	6.9	6.9	NA	NA	NA	NA	9	"GREECE"	""	"GREECE:  CRETE"	35.2	25.1	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
