Country,Year,Magnitude
GREECE,-479,7.1
GREECE,-426,7.2
GREECE,-373,7.4
GREECE,-330,7.1
GREECE,-227,7.3
PORTUGAL,-60,6.8
ALBANIA,-58,6.7
GEORGIA,-50,5.7
GREECE,62,7
TURKEY,115,7.6
TURKEY,120,7.3
SOUTH KOREA,123,6.4
ALBANIA,346,6.9
JORDAN,362,6.5
GREECE,365,8
TURKEY,407,6.7
TURKEY,447,7.4
TURKEY,478,7.3
TURKEY,543,6.9
TURKEY,557,7.1
TURKEY,558,7.1
JAPAN,684,8.4
JAPAN,701,7.1
JAPAN,704,7.1
TURKEY,740,7.4
JAPAN,744,6.5
JAPAN,745,6.6
JAPAN,818,7.9
JAPAN,850,7.1
JAPAN,863,7.1
JAPAN,869,8.6
JAPAN,887,6.6
JAPAN,887,8.6
JAPAN,922,7.1
IRAN,1008,6.6
JAPAN,1026,7.6
TURKEY,1039,6.9
JAPAN,1088,7.1
JAPAN,1096,8.4
JAPAN,1099,8.4
SYRIA,1202,7.6
TURKEY,1231,7
JAPAN,1241,7.1
JAPAN,1257,7.6
JAPAN,1257,7.1
ALBANIA,1273,6.6
JAPAN,1293,7.2
JAPAN,1331,7.1
JAPAN,1341,7.1
UKRAINE,1341,6.2
TURKEY,1344,7
JAPAN,1360,7.1
JAPAN,1361,8.4
JAPAN,1403,7.1
JAPAN,1406,6.3
JAPAN,1408,7.1
JAPAN,1433,7.2
JAPAN,1448,7.1
GREECE,1481,7.2
GREECE,1494,7.3
JAPAN,1495,7.2
JAPAN,1498,6.5
JAPAN,1498,7.6
JAPAN,1498,8.3
TURKEY,1509,7.7
JAPAN,1510,6.8
JAPAN,1510,7.1
SLOVENIA,1511,6.6
JAPAN,1520,7.1
VENEZUELA,1530,8
CHINA,1531,5
ITALY,1542,6.6
CHILE,1562,8
FRANCE,1564,6
CHILE,1570,8.3
CHILE,1575,8.5
PERU,1582,8.2
PERU,1584,8.4
JAPAN,1586,8.2
PERU,1587,6.3
JAPAN,1589,6.8
PERU,1590,7.7
JAPAN,1596,7
JAPAN,1597,6.5
JAPAN,1602,7.3
PERU,1604,8.5
CHINA,1604,8
JAPAN,1605,7.9
JAPAN,1605,7.9
IRAN,1608,7.6
JAPAN,1611,8.1
ITALY,1613,5.8
JAPAN,1614,7.7
UKRAINE,1615,5.9
JAPAN,1616,7.1
JAPAN,1616,7.6
JAPAN,1619,6.5
PHILIPPINES,1627,8
GREECE,1629,7.1
JAPAN,1633,7.2
GREECE,1633,7
CHINA,1634,5.7
GREECE,1636,7.3
ITALY,1638,7.1
JAPAN,1640,6.6
JAPAN,1642,6.8
SOUTH KOREA,1643,6.6
JAPAN,1644,7
PHILIPPINES,1645,8
ITALY,1646,5.4
JAPAN,1646,7.6
ITALY,1649,5.2
SOUTH KOREA,1649,6.6
PERU,1655,7.7
CHILE,1657,8
TAIWAN,1661,6.2
JAPAN,1662,7.6
JAPAN,1666,6.5
CROATIA,1667,7.3
TURKEY,1667,6.7
JAPAN,1667,6.8
TURKEY,1668,6.7
CHINA,1668,8.5
NORTH KOREA,1668,6.5
CHINA,1670,6.9
JAPAN,1670,6.5
JAPAN,1671,7
ITALY,1672,5.8
INDONESIA,1674,6.9
JAPAN,1677,8.1
JAPAN,1677,7.5
PERU,1678,8.4
CHILE,1681,7.6
CHILE,1687,7.6
PERU,1687,8.5
TURKEY,1688,7.1
ANTIGUA AND BARBUDA,1690,8
JAPAN,1698,6.5
USA,1700,9
JAPAN,1700,7.1
SOUTH KOREA,1700,6.6
ITALY,1703,6.8
ITALY,1703,3.5
JAPAN,1703,8.2
JAPAN,1707,8.4
JAPAN,1707,8.4
JAPAN,1708,7.1
CHINA,1710,5.7
INDONESIA,1711,7.1
JAPAN,1711,6.8
PERU,1715,7.6
JAPAN,1715,6.7
GREECE,1723,7.1
JAPAN,1726,6.7
ITALY,1727,5.4
CHILE,1730,8.7
JAPAN,1730,7.6
JAPAN,1731,6.7
JAPAN,1732,6.6
CHILE,1737,8
GREECE,1738,6.6
GREECE,1743,7
PERU,1746,8
GREECE,1748,6.9
JAPAN,1751,6.7
CHILE,1751,8.5
TAIWAN,1754,6.2
INDONESIA,1754,6.6
PORTUGAL,1755,8.8
INDONESIA,1757,7.6
ISRAEL,1759,6.5
PORTUGAL,1761,8.5
JAPAN,1762,6.7
JAPAN,1763,7.5
JAPAN,1763,7.8
JAPAN,1763,7.2
JAPAN,1766,7
CUBA,1766,6.9
VENEZUELA,1766,7.6
PAPUA NEW GUINEA,1768,7.6
JAPAN,1768,6.6
JAPAN,1769,7.5
INDONESIA,1770,7.1
JAPAN,1771,7.5
JAPAN,1782,7.4
ITALY,1783,7
