Rank,Athlete,Total Points,100 m hurdle points,100 m hurdles,HJ Points,HJ,SP Points,SP,200 m Points,200 m,LJ Points,LJ,JT Points,JT,800 m Points,800 m
1,"Ennis, JessicaJessica Ennis (GBR)",6955,1195,12.54,1054,1.86,813,14.28,1096,22.83,1001,6.48,812,47.49,984,128.65
2,"Schwarzkopf, LilliLilli Schwarzkopf (GER)",6649,1086,13.26,1016,1.83,845,14.77,908,24.77,943,6.3,894,51.73,957,130.5
3,"Chernova, TatyanaTatyana Chernova (RUS)",6628,1053,13.48,978,1.8,805,14.17,1013,23.67,1020,6.54,788,46.49,971,129.56
4,"Yosypenko, LyudmylaLyudmyla Yosypenko (UKR)",6618,1087,13.25,1016,1.83,787,13.9,1012,23.68,946,6.31,853,49.63,917,133.28
5,"SkujytÄó, AustraAustra SkujytÄó (LTU)",6599,978,14,1132,1.92,1016,17.31,848,25.43,927,6.25,882,51.13,816,140.59
6,"Nana Djimou Ida, AntoinetteAntoinette Nana Djimou Ida (FRA)",6576,1130,12.96,978,1.8,811,14.26,913,24.72,890,6.13,974,55.87,912,133.62
7,"Zelinka, JessicaJessica Zelinka (CAN)",6480,1178,12.65,830,1.68,848,14.81,1047,23.32,822,5.91,778,45.75,977,129.15
8,"Savitskaya, KristinaKristina Savitskaya (RUS)",6452,1069,13.37,1016,1.83,845,14.77,937,24.46,915,6.21,738,43.7,932,132.27
9,"Ikauniece, LauraLaura Ikauniece (LAT)",6414,1020,13.71,1016,1.83,704,12.64,965,24.16,890,6.13,885,51.27,934,132.13
10,"Melnychenko, HannaHanna Melnychenko (UKR)",6392,1077,13.32,978,1.8,725,12.96,972,24.09,975,6.4,742,43.86,923,132.9
11,"Theisen, BrianneBrianne Theisen (CAN)",6383,1080,13.3,1016,1.83,720,12.89,947,24.35,853,6.01,792,46.47,975,129.27
12,"Schippers, DafneDafne Schippers (NED)",6324,1053,13.48,978,1.8,772,13.67,1096,22.83,937,6.28,603,36.63,885,135.52
13,"Broersen, NadineNadine Broersen (NED)",6319,1030,13.64,1054,1.86,765,13.57,875,25.13,831,5.94,899,51.98,865,136.98
14,"Samuelsson, JessicaJessica Samuelsson (SWE)",6300,1039,13.58,941,1.77,806,14.18,957,24.25,905,6.18,706,42.02,946,131.31
15,"Johnson-Thompson, KatarinaKatarina Johnson-Thompson (GBR)",6267,1053,13.48,1093,1.89,616,11.32,1007,23.73,908,6.19,636,38.37,954,130.76
16,"Day, SharonSharon Day (USA)",6232,1040,13.57,941,1.77,813,14.28,946,24.36,804,5.85,742,43.9,946,131.31
17,"Maksimava, YanaYana Maksimava (BLR)",6198,983,13.97,1093,1.89,800,14.09,848,25.43,846,5.99,712,42.33,916,133.37
18,"KluÄçinovÃ¡, EliÅ¡kaEliÅ¡ka KluÄçinovÃ¡ (CZE)",6109,977,14.01,978,1.8,723,12.93,887,25,890,6.13,776,45.65,878,136.08
19,"Sprunger, EllenEllen Sprunger (SUI)",6107,1072,13.35,867,1.71,702,12.62,1020,23.59,813,5.88,776,45.63,857,137.54
20,"Kurban, OlgaOlga Kurban (RUS)",6084,1041,13.46,978,1.8,775,13.71,992,23.88,798,5.83,674,40.36,826,139.82
21,"De Aniceto, MarisaMarisa De Aniceto (FRA)",6030,1015,13.74,867,1.71,733,13.09,863,25.26,777,5.76,899,51.98,876,136.2
22,"Farkas, GyÃ¶rgyiGyÃ¶rgyi Farkas (HUN)",6013,932,14.33,978,1.8,764,13.55,822,25.72,871,6.07,793,46.52,853,137.83
23,"Å adeiko, GritGrit Å adeiko (EST)",6013,1050,13.5,903,1.74,690,12.43,957,24.25,883,6.11,747,44.12,783,143.01
24,"Ifadidou, SofiaSofia Ifadidou (GRE)",5947,1004,13.82,830,1.68,725,12.96,805,25.91,792,5.81,995,56.96,796,142.03
25,"Dadic, IvonaIvona Dadic (AUT)",5935,898,14.58,978,1.8,674,12.19,953,24.29,850,6,702,41.82,880,135.9
26,"Cowley, SarahSarah Cowley (NZL)",5873,985,13.95,978,1.8,686,12.37,833,25.6,850,6,704,41.9,837,139.01
